grid_y,grid_x,median_evacuation_time,completed_count,x_min,y_min
13,80,1.65,6,400.0,65.0
13,81,1.3,9,405.0,65.0
13,82,2.1,2,410.0,65.0
14,80,0.0,11,400.0,70.0
14,81,0.0,18,405.0,70.0
14,82,0.0,1,410.0,70.0
15,80,1.1,12,400.0,75.0
15,81,0.0,18,405.0,75.0
15,82,2.4,4,410.0,75.0
16,80,6.75,14,400.0,80.0
16,81,5.9,15,405.0,80.0
16,82,7.749995,4,410.0,80.0
17,80,14.0,15,400.0,85.0
17,81,13.7,15,405.0,85.0
17,82,11.3,7,410.0,85.0
18,80,25.1501,8,400.0,90.0
18,81,26.900100000000002,14,405.0,90.0
18,82,17.9,17,410.0,90.0
18,83,24.30005,4,415.0,90.0
19,80,38.6,13,400.0,95.0
19,81,37.6,15,405.0,95.0
19,82,26.850099999999998,14,410.0,95.0
20,80,48.799800000000005,8,400.0,100.0
20,81,50.7998,19,405.0,100.0
20,82,37.3,18,410.0,100.0
20,83,28.0001,2,415.0,100.0
21,80,66.7996,1,400.0,105.0
21,81,62.3996,13,405.0,105.0
21,82,49.0998,23,410.0,105.0
21,83,36.25,10,415.0,105.0
21,84,39.9,1,420.0,105.0
22,80,66.9995,1,400.0,110.0
22,81,70.4995,19,405.0,110.0
22,82,61.949600000000004,20,410.0,110.0
22,83,48.5998,3,415.0,110.0
22,96,320.6105,12,480.0,110.0
22,97,282.008,9,485.0,110.0
22,98,329.711,7,490.0,110.0
22,99,252.606,3,495.0,110.0
23,81,84.2993,25,405.0,115.0
23,82,72.8995,17,410.0,115.0
23,83,54.79975,14,415.0,115.0
23,96,334.611,19,480.0,115.0
23,97,371.213,11,485.0,115.0
23,98,361.213,17,490.0,115.0
23,99,351.5625,10,495.0,115.0
23,100,344.812,11,500.0,115.0
23,101,325.4605,18,505.0,115.0
23,102,304.409,11,510.0,115.0
23,103,241.606,13,515.0,115.0
23,104,258.8065,4,520.0,115.0
23,105,217.454,2,525.0,115.0
23,106,215.104,7,530.0,115.0
23,107,202.553,2,535.0,115.0
23,130,101.199,1,650.0,115.0
24,80,84.4993,1,400.0,120.0
24,81,100.799,15,405.0,120.0
24,82,81.3993,17,410.0,120.0
24,83,55.9997,7,415.0,120.0
24,84,69.0995,5,420.0,120.0
24,85,63.7996,1,425.0,120.0
24,96,320.11,13,480.0,120.0
24,99,387.214,1,495.0,120.0
24,100,378.114,11,500.0,120.0
