step,time,alive,remaining_fraction
0,0.0,49369,0.98738
1,1.0,49307,0.98614
2,2.0,49197,0.98394
3,3.0,49079,0.98158
4,4.0,48972,0.97944
5,5.0,48858,0.97716
6,6.0,48754,0.97508
7,7.0,48646,0.97292
8,8.0,48547,0.97094
9,9.0,48447,0.96894
10,10.0,48356,0.96712
11,11.0,48268,0.96536
12,12.0,48181,0.96362
13,13.0,48090,0.9618
14,14.0,48003,0.96006
15,15.0,47932,0.95864
16,16.0,47851,0.95702
17,17.0,47784,0.95568
18,18.0,47714,0.95428
19,19.0,47642,0.95284
20,20.0,47582,0.95164
21,21.0,47505,0.9501
22,22.0,47443,0.94886
23,23.0,47378,0.94756
24,24.0,47306,0.94612
25,25.0,47251,0.94502
26,26.0,47178,0.94356
27,27.0,47118,0.94236
28,28.0,47054,0.94108
29,29.0,46995,0.9399
30,30.0,46927,0.93854
31,31.0,46859,0.93718
32,32.0,46798,0.93596
33,33.0,46736,0.93472
34,34.0,46665,0.9333
35,35.0,46593,0.93186
36,36.0,46534,0.93068
37,37.0,46459,0.92918
38,38.0,46396,0.92792
39,39.0,46326,0.92652
40,40.0,46257,0.92514
41,41.0,46186,0.92372
42,42.0,46115,0.9223
43,43.0,46052,0.92104
44,44.0,45983,0.91966
45,45.0,45910,0.9182
46,46.0,45843,0.91686
47,47.0,45771,0.91542
48,48.0,45699,0.91398
49,49.0,45635,0.9127
50,50.0,45558,0.91116
51,51.0,45490,0.9098
52,52.0,45419,0.90838
53,53.0,45353,0.90706
54,54.0,45279,0.90558
55,55.0,45208,0.90416
56,56.0,45135,0.9027
57,57.0,45059,0.90118
58,58.0,44991,0.89982
59,59.0,44919,0.89838
60,60.0,44848,0.89696
61,61.0,44775,0.8955
62,62.0,44710,0.8942
63,63.0,44636,0.89272
64,64.0,44563,0.89126
65,65.0,44493,0.88986
66,66.0,44413,0.88826
67,67.0,44344,0.88688
68,68.0,44279,0.88558
69,69.0,44209,0.88418
70,70.0,44131,0.88262
71,71.0,44064,0.88128
72,72.0,43989,0.87978
73,73.0,43923,0.87846
74,74.0,43845,0.8769
75,75.0,43775,0.8755
76,76.0,43695,0.8739
77,77.0,43622,0.87244
78,78.0,43553,0.87106
79,79.0,43480,0.8696
80,80.0,43405,0.8681
81,81.0,43335,0.8667
82,82.0,43265,0.8653
83,83.0,43185,0.8637
84,84.0,43112,0.86224
85,85.0,43038,0.86076
86,86.0,42961,0.85922
87,87.0,42883,0.85766
88,88.0,42814,0.85628
89,89.0,42730,0.8546
90,90.0,42663,0.85326
91,91.0,42582,0.85164
92,92.0,42510,0.8502
93,93.0,42440,0.8488
94,94.0,42360,0.8472
95,95.0,42287,0.84574
96,96.0,42215,0.8443
97,97.0,42136,0.84272
98,98.0,42067,0.84134
99,99.0,41987,0.83974
100,100.0,41921,0.83842
101,101.0,41841,0.83682
102,102.0,41764,0.83528
103,103.0,41691,0.83382
104,104.0,41613,0.83226
105,105.0,41540,0.8308
106,106.0,41467,0.82934
107,107.0,41396,0.82792
108,108.0,41328,0.82656
109,109.0,41246,0.82492
110,110.0,41187,0.82374
111,111.0,41107,0.82214
112,112.0,41041,0.82082
113,113.0,40970,0.8194
114,114.0,40895,0.8179
115,115.0,40818,0.81636
116,116.0,40756,0.81512
117,117.0,40681,0.81362
118,118.0,40609,0.81218
119,119.0,40541,0.81082
120,120.0,40472,0.80944
121,121.0,40400,0.808
122,122.0,40332,0.80664
123,123.0,40267,0.80534
124,124.0,40196,0.80392
125,125.0,40125,0.8025
126,126.0,40060,0.8012
127,127.0,39987,0.79974
128,128.0,39909,0.79818
129,129.0,39847,0.79694
130,130.0,39779,0.79558
131,131.0,39708,0.79416
132,132.0,39645,0.7929
133,133.0,39574,0.79148
134,134.0,39515,0.7903
135,135.0,39446,0.78892
136,136.0,39380,0.7876
137,137.0,39314,0.78628
138,138.0,39252,0.78504
139,139.0,39183,0.78366
140,140.0,39115,0.7823
141,141.0,39058,0.78116
142,142.0,38991,0.77982
143,143.0,38927,0.77854
144,144.0,38868,0.77736
145,145.0,38801,0.77602
146,146.0,38732,0.77464
147,147.0,38677,0.77354
148,148.0,38610,0.7722
149,149.0,38553,0.77106
150,150.0,38487,0.76974
151,151.0,38431,0.76862
152,152.0,38355,0.7671
153,153.0,38307,0.76614
154,154.0,38245,0.7649
155,155.0,38179,0.76358
156,156.0,38120,0.7624
157,157.0,38066,0.76132
158,158.0,38002,0.76004
159,159.0,37947,0.75894
160,160.0,37891,0.75782
161,161.0,37827,0.75654
162,162.0,37772,0.75544
163,163.0,37711,0.75422
164,164.0,37657,0.75314
165,165.0,37602,0.75204
166,166.0,37541,0.75082
167,167.0,37487,0.74974
168,168.0,37428,0.74856
169,169.0,37369,0.74738
170,170.0,37319,0.74638
171,171.0,37257,0.74514
172,172.0,37200,0.744
173,173.0,37148,0.74296
174,174.0,37091,0.74182
175,175.0,37036,0.74072
176,176.0,36969,0.73938
177,177.0,36918,0.73836
178,178.0,36860,0.7372
179,179.0,36803,0.73606
180,180.0,36745,0.7349
181,181.0,36688,0.73376
182,182.0,36627,0.73254
183,183.0,36575,0.7315
184,184.0,36514,0.73028
185,185.0,36458,0.72916
186,186.0,36395,0.7279
187,187.0,36346,0.72692
188,188.0,36283,0.72566
189,189.0,36230,0.7246
190,190.0,36171,0.72342
191,191.0,36117,0.72234
192,192.0,36068,0.72136
193,193.0,36004,0.72008
194,194.0,35956,0.71912
195,195.0,35896,0.71792
196,196.0,35842,0.71684
197,197.0,35786,0.71572
198,198.0,35730,0.7146
199,199.0,35678,0.71356
200,200.0,35622,0.71244
201,201.0,35563,0.71126
202,202.0,35513,0.71026
203,203.0,35461,0.70922
204,204.0,35400,0.708
205,205.0,35339,0.70678
206,206.0,35287,0.70574
207,207.0,35229,0.70458
208,208.0,35172,0.70344
209,209.0,35119,0.70238
210,210.0,35065,0.7013
211,211.0,35007,0.70014
212,212.0,34957,0.69914
213,213.0,34902,0.69804
214,214.0,34842,0.69684
215,215.0,34791,0.69582
216,216.0,34732,0.69464
217,217.0,34678,0.69356
218,218.0,34621,0.69242
219,219.0,34561,0.69122
220,220.0,34508,0.69016
221,221.0,34452,0.68904
222,222.0,34394,0.68788
223,223.0,34343,0.68686
224,224.0,34287,0.68574
225,225.0,34233,0.68466
226,226.0,34175,0.6835
227,227.0,34119,0.68238
228,228.0,34067,0.68134
229,229.0,34015,0.6803
230,230.0,33956,0.67912
231,231.0,33906,0.67812
232,232.0,33843,0.67686
233,233.0,33795,0.6759
234,234.0,33734,0.67468
235,235.0,33677,0.67354
236,236.0,33623,0.67246
237,237.0,33570,0.6714
238,238.0,33514,0.67028
239,239.0,33456,0.66912
240,240.0,33403,0.66806
241,241.0,33352,0.66704
242,242.0,33291,0.66582
243,243.0,33242,0.66484
244,244.0,33181,0.66362
245,245.0,33127,0.66254
246,246.0,33076,0.66152
247,247.0,33021,0.66042
248,248.0,32966,0.65932
249,249.0,32905,0.6581
250,250.0,32849,0.65698
251,251.0,32799,0.65598
252,252.0,32747,0.65494
253,253.0,32688,0.65376
254,254.0,32636,0.65272
255,255.0,32588,0.65176
256,256.0,32530,0.6506
257,257.0,32475,0.6495
258,258.0,32421,0.64842
259,259.0,32369,0.64738
