variant,metric,density,value,bin_count
coll060,speed,0.09841627363917547,1.3677,4361
coll060,speed,0.18290579390580522,1.3044250000000002,4360
coll060,speed,0.2614381550008365,1.21948,4361
coll060,speed,0.35155672262832943,1.15251,4361
coll060,speed,0.463702824984391,1.05262,4361
coll060,speed,0.6370627433284225,0.9182065,4360
coll060,speed,0.8752371297911066,0.730362,4361
coll060,speed,1.076714098440821,0.579373,4361
coll060,speed,1.2394782237474407,0.4987635,4360
coll060,speed,1.3592898412310344,0.421005,4361
coll060,speed,1.4325339808574775,0.3523405,4360
coll060,speed,1.5003930510992747,0.321416,4361
coll060,speed,1.5744690656713318,0.299977,4361
coll060,speed,1.6576610999399541,0.2732595,4360
coll060,speed,1.7475135598765692,0.228049,4361
coll060,speed,1.833997830828321,0.191596,4361
coll060,speed,1.9337576612697502,0.1884375,4360
coll060,speed,2.069012204975984,0.171924,4361
coll060,speed,2.2271775532088705,0.1491635,4360
coll060,speed,2.4236270500543453,0.136318,4361
coll060,speed,2.7037125941451055,0.114194,4361
coll060,speed,3.344879535364969,0.08789965,4360
coll060,flow,0.09841627363917547,0.13234466390832292,4361
coll060,flow,0.18290579390580522,0.23430117927269994,4360
coll060,flow,0.2614381550008365,0.31715526844060643,4361
coll060,flow,0.35155672262832943,0.4044580208420207,4361
coll060,flow,0.463702824984391,0.48966158347423455,4361
coll060,flow,0.6370627433284225,0.5800716028153885,4360
coll060,flow,0.8752371297911066,0.63378292629942,4361
coll060,flow,1.076714098440821,0.6221232239134356,4361
coll060,flow,1.2394782237474407,0.6159669093217418,4360
coll060,flow,1.3592898412310344,0.571283582117702,4361
coll060,flow,1.4325339808574775,0.5048613480722448,4360
coll060,flow,1.5003930510992747,0.4815166354883536,4361
coll060,flow,1.5744690656713318,0.47404730256992306,4361
coll060,flow,1.6576610999399541,0.4531600158168837,4360
coll060,flow,1.7475135598765692,0.3988163884500954,4361
coll060,flow,1.833997830828321,0.3515040225131908,4361
coll060,flow,1.9337576612697502,0.3635033942970407,4360
coll060,flow,2.069012204975984,0.3536549312033528,4361
coll060,flow,2.2271775532088705,0.3328614833413033,4360
coll060,flow,2.4236270500543453,0.33132958117200656,4361
coll060,flow,2.7037125941451055,0.31089452003425644,4361
coll060,flow,3.344879535364969,0.3040536286527731,4360
coll049,speed,0.09484547961499953,1.363275,4406
coll049,speed,0.1784531158510615,1.29919,4406
coll049,speed,0.25375231559974,1.2312750000000001,4406
coll049,speed,0.34324207521521694,1.16344,4405
coll049,speed,0.45879541168456717,1.05883,4407
coll049,speed,0.6283562592027874,0.921673,4405
coll049,speed,0.8785086340039191,0.739159,4406
coll049,speed,1.1110548021102618,0.558233,4406
coll049,speed,1.2868189158351226,0.4766365,4406
coll049,speed,1.4316346477377215,0.421767,4405
coll049,speed,1.5629334224370364,0.383938,4406
coll049,speed,1.6895279740118947,0.32928199999999996,4406
coll049,speed,1.8141605348985765,0.27233050000000003,4406
coll049,speed,1.9375960038985038,0.234036,4405
coll049,speed,2.045099168758779,0.195999,4407
coll049,speed,2.1332417242584008,0.172743,4406
coll049,speed,2.22989365437933,0.157438,4404
coll049,speed,2.3524346007068,0.141811,4407
coll049,speed,2.500732358852109,0.126614,4406
coll049,speed,2.6999057325663136,0.1041655,4406
coll049,speed,3.1250919468185723,0.0772646,4405
coll049,speed,4.432513717949835,0.014146700000000002,4406
coll049,flow,0.09484547961499953,0.12709760252250907,4406
coll049,flow,0.1784531158510615,0.22884156653104676,4406
coll049,flow,0.25375231559974,0.3101734337351172,4406
coll049,flow,0.34324207521521694,0.3978837959096732,4405
coll049,flow,0.45879541168456717,0.4866833639425129,4407
coll049,flow,0.6283562592027874,0.5756107371315142,4405
coll049,flow,0.8785086340039191,0.639643860722301,4406
coll049,flow,1.1110548021102618,0.6199268977348564,4406
coll049,flow,1.2868189158351226,0.6131675267625365,4406
coll049,flow,1.4316346477377215,0.6032609865223297,4405
coll049,flow,1.5629334224370364,0.5975782730648219,4406
coll049,flow,1.6895279740118947,0.5572068393521226,4406
coll049,flow,1.8141605348985765,0.49329755152533505,4406
coll049,flow,1.9375960038985038,0.4540345691715696,4405
coll049,flow,2.045099168758779,0.4016166602363443,4407
coll049,flow,2.1332417242584008,0.36928666279384453,4406
coll049,flow,2.22989365437933,0.3499945897305384,4404
coll049,flow,2.3524346007068,0.3340509920618996,4407
coll049,flow,2.500732358852109,0.3180588861813706,4406
coll049,flow,2.6999057325663136,0.2803155378382094,4406
coll049,flow,3.1250919468185723,0.24195776706918604,4405
coll049,flow,4.432513717949835,0.06317068889741738,4406
