Run_ID,steps,T_total,N0,N_end
1,911,910.0,49408,10016
2,855,854.0,49408,10007
3,862,861.0,49397,10008
4,935,934.0,49397,10005
5,898,897.0,49395,10016
6,855,854.0,49409,10002
7,901,900.0,49406,10002
8,914,913.0,49405,10012
9,862,861.0,49397,10013
10,896,895.0,49391,10016
11,849,848.0,49395,10014
12,828,827.0,49416,10015
13,879,878.0,49415,10010
14,910,909.0,49399,10016
15,891,890.0,49399,10006
16,1024,1023.0,49387,10001
17,912,911.0,49413,10000
18,857,856.0,49413,10020
19,909,908.0,49406,10017
20,861,860.0,49408,10015
21,909,908.0,49401,10011
22,882,881.0,49404,10003
23,837,836.0,49409,10015
24,932,931.0,49398,10009
25,960,959.0,49397,10001
26,959,958.0,49392,10015
27,867,866.0,49399,10013
28,889,888.0,49415,10017
29,901,900.0,49408,10007
30,903,902.0,49393,10015
31,944,943.0,49396,10009
32,907,906.0,49397,10013
33,892,891.0,49404,10012
34,926,925.0,49409,10017
35,877,876.0,49409,10024
36,918,917.0,49407,10013
37,835,834.0,49408,10010
38,934,933.0,49403,10002
39,942,941.0,49404,10018
40,898,897.0,49400,10008
41,943,942.0,49412,10008
42,901,900.0,49404,10006
43,877,876.0,49399,10015
44,915,914.0,49408,10009
45,969,968.0,49392,10009
46,890,889.0,49408,10008
47,918,917.0,49392,10001
48,919,918.0,49401,10019
49,993,992.0,49399,10004
50,860,859.0,49424,10000
51,850,849.0,49395,10006
52,895,894.0,49390,10016
53,969,968.0,49391,9997
54,933,932.0,49391,10015
55,897,896.0,49395,10007
56,842,841.0,49408,10019
57,974,973.0,49404,10006
58,883,882.0,49408,10015
59,930,929.0,49401,10007
60,892,891.0,49393,10010
61,896,895.0,49406,10006
62,969,968.0,49385,10009
63,888,887.0,49407,10001
64,882,881.0,49393,10019
65,891,890.0,49393,10001
66,874,873.0,49417,10009
67,853,852.0,49412,10001
68,847,846.0,49402,10022
69,902,901.0,49390,10018
70,959,958.0,49397,10013
71,874,873.0,49399,10011
72,870,869.0,49391,10016
73,957,956.0,49392,10006
74,868,867.0,49390,10012
75,878,877.0,49400,10006
76,847,846.0,49399,9999
77,872,871.0,49407,9999
78,904,903.0,49399,10011
79,849,848.0,49417,10012
80,818,817.0,49407,10017
81,850,849.0,49404,10018
82,884,883.0,49391,10013
83,932,931.0,49400,10008
84,937,936.0,49390,10014
85,935,934.0,49393,10002
86,852,851.0,49396,10003
87,899,898.0,49390,10017
88,871,870.0,49414,10007
89,959,958.0,49395,10013
90,876,875.0,49394,10021
91,903,902.0,49399,9995
92,900,899.0,49402,10002
93,933,932.0,49392,10002
94,893,892.0,49392,10002
95,878,877.0,49398,10008
96,843,842.0,49403,10006
97,831,830.0,49407,10009
98,854,853.0,49419,10008
99,906,905.0,49407,10017
100,899,898.0,49393,10018
101,868,867.0,49391,10001
102,891,890.0,49391,10019
103,851,850.0,49400,10000
104,891,890.0,49392,10003
105,875,874.0,49409,10012
106,894,893.0,49404,10015
107,880,879.0,49399,10014
108,900,899.0,49394,10016
109,886,885.0,49411,10014
110,884,883.0,49388,10000
111,895,894.0,49389,10020
112,866,865.0,49402,10000
113,905,904.0,49397,10001
114,930,929.0,49392,10007
115,894,893.0,49390,9997
116,863,862.0,49402,10019
117,879,878.0,49396,10005
118,970,969.0,49396,10000
119,859,858.0,49398,10005
120,838,837.0,49406,10016
121,921,920.0,49394,10006
122,863,862.0,49402,10014
123,940,939.0,49391,10001
124,842,841.0,49397,10014
125,908,907.0,49392,10016
126,902,901.0,49403,10018
127,876,875.0,49395,9999
128,882,881.0,49392,10009
129,916,915.0,49390,9999
130,847,846.0,49399,10003
131,828,827.0,49401,10000
132,843,842.0,49409,10005
133,850,849.0,49394,9999
134,849,848.0,49395,10010
135,862,861.0,49391,10004
136,897,896.0,49395,10023
137,852,851.0,49406,10015
138,833,832.0,49405,10007
139,846,845.0,49390,10008
140,889,888.0,49390,10015
141,865,864.0,49415,10001
142,892,891.0,49392,9999
143,873,872.0,49391,9997
144,892,891.0,49392,9997
145,896,895.0,49390,10021
146,900,899.0,49390,10019
147,871,870.0,49404,10016
148,844,843.0,49393,10014
149,946,945.0,49392,10001
150,864,863.0,49401,10001
151,883,882.0,49388,10020
152,860,859.0,49389,10005
153,853,852.0,49400,10013
154,891,890.0,49392,10000
155,838,837.0,49401,10013
156,861,860.0,49399,10017
157,903,902.0,49392,10013
158,869,868.0,49394,10007
159,850,849.0,49399,10024
160,857,856.0,49391,10007
161,862,861.0,49394,10002
162,847,846.0,49391,10022
163,867,866.0,49396,10017
164,929,928.0,49386,10006
165,900,899.0,49397,10019
166,884,883.0,49387,10009
167,889,888.0,49402,10005
168,891,890.0,49389,10025
169,927,926.0,49393,10017
170,862,861.0,49397,10017
171,875,874.0,49397,10014
172,876,875.0,49389,10017
173,867,866.0,49392,10010
174,850,849.0,49395,10016
175,939,938.0,49391,10000
176,855,854.0,49406,10001
177,885,884.0,49399,10004
178,903,902.0,49390,10000
179,881,880.0,49394,10009
180,844,843.0,49394,10004
