phase,tag,crowd,rep,wall_s,steps,T_total,N0,N_end
A,scale,1000,1,6.50,145,144,985,200
A,scale,1000,2,5.89,145,144,985,200
A,scale,2000,1,6.17,150,149,1974,399
A,scale,2000,2,6.35,150,149,1974,398
A,scale,5000,1,8.51,202,201,4939,1013
A,scale,5000,2,7.67,201,200,4939,1001
A,scale,10000,1,11.68,301,300,9879,2007
A,scale,10000,2,11.75,301,300,9879,2008
A,scale,20000,1,22.75,445,444,19754,4019
A,scale,20000,2,21.83,446,445,19754,4011
A,scale,50000,1,82.23,910,909,49408,10007
A,scale,50000,2,82.44,910,909,49407,10014
A,scale,100000,1,300.79,1761,1760,98787,20007
A,scale,100000,2,301.06,1761,1760,98787,20015
