scenario,param,perturbation_pct,value,unit,replicate,crowd,wall_s,steps,T_total,N0,N_end,person_time,metric
baseline,baseline,0,0.000000,shared,1,8000,8.629,365,364,7904,398,1226484.800000,518.972672
baseline,baseline,0,0.000000,shared,2,8000,7.893,366,364,7904,399,1228287.150000,519.700702
baseline,baseline,0,0.000000,shared,3,8000,8.781,364,363,7904,400,1226108.000000,517.725000
k_m20,k_postnorm,-20,0.800000,dimensionless,1,8000,8.514,401,400,7904,399,1307162.000000,564.879808
k_m20,k_postnorm,-20,0.800000,dimensionless,2,8000,8.253,402,400,7904,399,1312473.500000,566.251809
k_m20,k_postnorm,-20,0.800000,dimensionless,3,8000,8.750,400,398,7904,400,1307530.550000,563.526436
k_m10,k_postnorm,-10,0.900000,dimensionless,1,8000,9.435,380,378,7904,400,1257231.200000,537.262652
k_m10,k_postnorm,-10,0.900000,dimensionless,2,8000,8.288,379,378,7904,400,1262270.550000,537.400221
k_m10,k_postnorm,-10,0.900000,dimensionless,3,8000,8.800,380,379,7904,400,1265882.200000,538.757161
k_p10,k_postnorm,10,1.100000,dimensionless,1,8000,8.817,354,352,7904,400,1196001.200000,503.515941
k_p10,k_postnorm,10,1.100000,dimensionless,2,8000,7.858,353,352,7904,400,1197361.550000,503.188050
k_p10,k_postnorm,10,1.100000,dimensionless,3,8000,7.688,351,350,7904,400,1193389.200000,500.585476
k_p20,k_postnorm,20,1.200000,dimensionless,1,8000,8.074,345,344,7904,400,1171414.750000,492.105307
k_p20,k_postnorm,20,1.200000,dimensionless,2,8000,7.892,346,344,7904,399,1173499.800000,492.769104
k_p20,k_postnorm,20,1.200000,dimensionless,3,8000,8.537,344,342,7904,400,1170108.800000,490.440081
h_m20,neighborhood_length,-20,1.920000,m,1,8000,7.387,298,297,7904,400,1066117.000000,431.883224
h_m20,neighborhood_length,-20,1.920000,m,2,8000,7.597,298,297,7904,400,1064433.800000,431.270268
h_m20,neighborhood_length,-20,1.920000,m,3,8000,7.884,298,296,7904,400,1064647.100000,431.097255
h_m10,neighborhood_length,-10,2.160000,m,1,8000,8.498,326,325,7904,400,1138700.000000,469.066296
h_m10,neighborhood_length,-10,2.160000,m,2,8000,7.588,327,325,7904,400,1137477.550000,469.011633
h_m10,neighborhood_length,-10,2.160000,m,3,8000,7.767,326,325,7904,400,1136171.200000,468.346356
h_p10,neighborhood_length,10,2.640000,m,1,8000,8.876,403,401,7904,399,1320246.150000,568.335191
h_p10,neighborhood_length,10,2.640000,m,2,8000,9.999,404,402,7904,400,1319109.600000,569.091397
h_p10,neighborhood_length,10,2.640000,m,3,8000,8.541,405,403,7904,400,1321592.950000,570.505586
h_p20,neighborhood_length,20,2.880000,m,1,8000,9.580,453,451,7904,400,1429731.650000,632.187101
h_p20,neighborhood_length,20,2.880000,m,2,8000,9.703,451,450,7904,400,1432331.550000,630.916036
h_p20,neighborhood_length,20,2.880000,m,3,8000,9.467,454,452,7904,400,1428707.550000,632.857534
rho_m20,density_threshold,-20,3.200000,ped_per_m2,1,8000,9.412,486,485,7904,400,1472927.700000,671.152189
rho_m20,density_threshold,-20,3.200000,ped_per_m2,2,8000,9.577,486,485,7904,400,1475021.800000,671.417131
rho_m20,density_threshold,-20,3.200000,ped_per_m2,3,8000,9.250,487,486,7904,400,1476067.600000,672.349443
rho_m10,density_threshold,-10,3.600000,ped_per_m2,1,8000,8.258,410,408,7904,399,1322928.050000,575.474500
rho_m10,density_threshold,-10,3.600000,ped_per_m2,2,8000,8.353,412,411,7904,400,1323624.700000,578.362639
rho_m10,density_threshold,-10,3.600000,ped_per_m2,3,8000,9.066,408,407,7904,399,1320325.100000,573.645180
rho_p10,density_threshold,10,4.400000,ped_per_m2,1,8000,7.631,341,340,7904,400,1168034.600000,487.577657
rho_p10,density_threshold,10,4.400000,ped_per_m2,2,8000,7.853,339,337,7904,400,1163768.550000,484.337924
rho_p10,density_threshold,10,4.400000,ped_per_m2,3,8000,8.191,336,334,7904,400,1162196.950000,481.339088
rho_p20,density_threshold,20,4.800000,ped_per_m2,1,8000,8.743,323,321,7904,400,1125180.200000,463.555795
rho_p20,density_threshold,20,4.800000,ped_per_m2,2,8000,7.620,320,318,7904,400,1119287.600000,459.810273
rho_p20,density_threshold,20,4.800000,ped_per_m2,3,8000,7.792,322,320,7904,399,1122463.150000,462.312038
