generation,sim_calls,best_fitness,best_evac,best_cost,relative_improvement,objective_stable,road_set_stable,stagnant
1,8,1274.082658687243,1198.488658687243,755.94,nan,0,0,0
2,12,1274.082658687243,1198.488658687243,755.94,0.0,1,1,1
3,18,1274.082658687243,1198.488658687243,755.94,0.0,1,1,2
4,23,1274.082658687243,1198.488658687243,755.94,0.0,1,1,3
5,28,1274.082658687243,1198.488658687243,755.94,0.0,1,1,4
6,34,1274.082658687243,1198.488658687243,755.94,0.0,1,1,5
7,38,1272.8576247645665,1197.2636247645664,755.94,0.0009615027049648798,1,0,0
8,41,1272.8576247645665,1197.2636247645664,755.94,0.0,1,1,1
9,46,1272.8576247645665,1197.2636247645664,755.94,0.0,1,1,2
10,50,1272.8576247645665,1197.2636247645664,755.94,0.0,1,1,3
11,55,1272.8576247645665,1197.2636247645664,755.94,0.0,1,1,4
