generation,sim_calls,best_fitness,best_evac,best_cost,relative_improvement,objective_stable,road_set_stable,stagnant
1,8,983.2053404897413,927.5933404897413,556.1200000000001,nan,0,0,0
2,13,982.4403056326332,927.6703056326332,547.7,0.0007781028291882339,1,0,0
3,19,982.4403056326332,927.6703056326332,547.7,0.0,1,1,1
4,24,982.4403056326332,927.6703056326332,547.7,0.0,1,1,2
5,28,982.3748953881677,927.6048953881677,547.7,6.657935763678852e-05,1,1,3
6,34,982.3748953881677,927.6048953881677,547.7,0.0,1,1,4
7,38,981.0605839223867,926.2905839223868,547.7,0.0013378919513834361,1,0,0
8,41,981.0605839223867,926.2905839223868,547.7,0.0,1,1,1
9,45,981.0605839223867,926.2905839223868,547.7,0.0,1,1,2
10,49,981.0605839223867,926.2905839223868,547.7,0.0,1,1,3
11,53,981.0605839223867,926.2905839223868,547.7,0.0,1,1,4
