generation,sim_calls,best_fitness,best_evac,best_cost,relative_improvement,objective_stable,road_set_stable,stagnant
1,8,2085.3523742936422,2029.7403742936424,556.1200000000001,nan,0,0,0
2,12,2085.3523742936422,2029.7403742936424,556.1200000000001,0.0,1,1,1
3,18,2085.3523742936422,2029.7403742936424,556.1200000000001,0.0,1,1,2
4,23,2085.3523742936422,2029.7403742936424,556.1200000000001,0.0,1,1,3
5,26,2082.5087856925848,2026.896785692585,556.1200000000001,0.0013636010086883665,1,1,4
6,32,2068.5472710573745,1988.8082710573747,797.3900000000001,0.006704180424654038,0,0,0
7,35,2068.5472710573745,1988.8082710573747,797.3900000000001,0.0,1,1,1
8,39,2068.5472710573745,1988.8082710573747,797.3900000000001,0.0,1,1,2
9,44,2068.5472710573745,1988.8082710573747,797.3900000000001,0.0,1,1,3
10,48,2068.5472710573745,1988.8082710573747,797.3900000000001,0.0,1,1,4
