generation,evaluation,sim_call,cached,fitness,evac,cost,widths
1,9,8,1,1433.2866923232732,1433.2866923232732,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,9,8,0,1433.3817095402067,1433.3817095402067,0.0,"[0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0]"
1,9,8,0,1280.696661657181,1225.084661657181,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
1,9,8,0,1276.8451088158456,1201.2511088158456,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
1,9,8,0,1488.3631638089842,1120.3921638089842,3679.71,"[4,4,4,0,2,0,2,0,4,0,2,0,4,4,4,0]"
1,9,8,0,1461.2441173944744,1421.0571173944745,401.87000000000006,"[0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0]"
1,9,8,0,1342.5276087942805,1283.6546087942804,588.73,"[0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0]"
1,9,8,0,1332.6704218253246,1189.4434218253245,1432.2700000000002,"[0,4,4,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,14,1,1276.8451088158456,1201.2511088158456,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
2,17,14,1,1280.696661657181,1225.084661657181,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,14,0,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
2,17,14,0,1380.3014876260684,1265.3494876260684,1149.5200000000002,"[0,0,0,0,2,0,0,0,2,0,2,0,2,4,0,2]"
2,17,14,0,1331.5531851244357,1188.3261851244356,1432.2700000000002,"[0,4,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
2,17,14,0,1274.1562962107864,1198.5622962107864,755.94,"[0,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,14,0,1352.929743636474,1199.019743636474,1539.1000000000001,"[0,0,4,0,4,0,0,0,2,0,4,0,0,4,0,0]"
2,17,14,0,1284.1848097938353,1184.4638097938353,997.21,"[0,0,4,0,0,0,0,0,2,0,4,0,2,4,0,0]"
3,25,17,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
3,25,17,1,1274.1562962107864,1198.5622962107864,755.94,"[0,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0]"
3,25,17,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
3,25,17,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
3,25,17,1,1276.8451088158456,1201.2511088158456,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
3,25,17,0,1285.7670832759527,1186.0460832759527,997.21,"[0,0,4,0,0,0,0,0,2,0,2,0,2,4,0,0]"
3,25,17,0,1315.7157623686182,1203.2457623686182,1124.7,"[0,0,4,4,0,0,0,0,2,0,2,0,0,4,0,0]"
3,25,17,0,1306.5249543926445,1192.5839543926445,1139.41,"[0,0,4,0,2,0,0,0,0,0,4,0,0,4,0,0]"
4,33,21,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
4,33,21,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
4,33,21,0,1364.9217244381452,1174.1487244381453,1907.73,"[0,4,4,0,0,0,0,0,0,0,4,0,4,4,0,0]"
4,33,21,0,1302.776732558375,1173.613732558375,1291.63,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,4,0]"
4,33,21,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
4,33,21,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
4,33,21,0,1350.3872065452927,1213.4192065452926,1369.6800000000003,"[0,0,4,0,0,4,0,0,2,0,2,0,0,4,0,0]"
4,33,21,0,1434.52729390318,1434.52729390318,0.0,"[0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0]"
5,41,27,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
5,41,27,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
5,41,27,0,1349.4751463982664,1213.3491463982664,1361.2600000000002,"[0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0]"
5,41,27,0,1391.7638527225968,1225.8308527225968,1659.33,"[0,0,4,0,0,2,0,4,0,0,4,0,0,4,0,0]"
5,41,27,0,1296.5327069545144,1198.3647069545143,981.6800000000002,"[0,0,4,0,0,0,2,0,0,0,4,0,0,4,0,0]"
5,41,27,0,1335.167662616936,1157.6166626169359,1775.5100000000002,"[0,0,4,0,0,0,0,0,0,0,4,0,4,4,4,0]"
5,41,27,0,1360.959013223174,1199.809013223174,1611.5,"[2,0,4,0,0,0,0,0,0,0,4,4,0,4,0,0]"
5,41,27,0,1359.6876695824728,1178.0626695824728,1816.25,"[0,0,4,0,0,2,0,0,0,2,4,0,0,4,4,0]"
6,49,32,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
6,49,32,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
6,49,32,0,1273.2067258845211,1198.4547258845212,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]"
6,49,32,1,1306.5249543926445,1192.5839543926445,1139.41,"[0,0,4,0,2,0,0,0,0,0,4,0,0,4,0,0]"
6,49,32,0,1377.6753700238933,1201.1913700238933,1764.8400000000001,"[0,0,4,0,4,0,2,0,0,0,4,0,0,4,0,0]"
6,49,32,0,1353.247424066911,1220.140424066911,1331.0700000000002,"[0,0,4,0,0,0,0,2,0,0,4,2,0,4,0,0]"
6,49,32,0,1324.976925636404,1192.667925636404,1323.0900000000001,"[0,0,4,2,2,0,0,0,0,0,4,0,0,4,0,0]"
6,49,32,0,1307.2779089086457,1193.0619089086456,1142.16,"[0,0,4,0,0,0,2,0,0,0,4,0,0,4,0,2]"
7,57,35,1,1273.2067258845211,1198.4547258845212,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]"
7,57,35,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
7,57,35,0,1442.1853072951467,1197.9073072951467,2442.78,"[2,0,4,0,4,4,0,0,0,0,4,0,0,4,0,0]"
7,57,35,0,1311.3902225552945,1273.8712225552945,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0]"
7,57,35,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
7,57,35,1,1273.2293578791744,1198.4773578791744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]"
7,57,35,1,1273.2067258845211,1198.4547258845212,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]"
7,57,35,0,1318.8700983433919,1213.7980983433918,1050.72,"[0,0,4,0,0,0,0,2,0,0,4,0,0,4,0,0]"
8,65,39,1,1273.2067258845211,1198.4547258845212,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]"
8,65,39,1,1273.2067258845211,1198.4547258845212,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]"
8,65,39,0,1304.792392717552,1181.652392717552,1231.4,"[0,0,4,0,0,0,0,0,0,0,4,0,4,4,0,0]"
8,65,39,0,1356.0321070813843,1202.9641070813843,1530.6800000000003,"[0,0,4,0,4,0,0,0,0,0,2,0,0,4,0,0]"
8,65,39,0,1325.4753734381013,1192.1403734381013,1333.3500000000001,"[0,0,4,0,0,2,0,0,0,0,2,0,0,4,2,0]"
8,65,39,1,1273.2067258845211,1198.4547258845212,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]"
8,65,39,1,1273.2067258845211,1198.4547258845212,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]"
8,65,39,0,1303.2170006885517,1174.0540006885517,1291.63,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,4,0]"
