generation,evaluation,sim_call,cached,fitness,evac,cost,widths
1,9,8,1,2175.905418270205,2175.905418270205,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,9,8,0,2176.035547903585,2176.035547903585,0.0,"[0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0]"
1,9,8,0,2084.1290336013612,2028.5170336013612,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
1,9,8,0,2098.706673917006,2023.1126739170058,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
1,9,8,0,2302.029270410332,1934.0582704103322,3679.71,"[4,4,4,0,2,0,2,0,4,0,2,0,4,4,4,0]"
1,9,8,0,2214.806825002025,2174.619825002025,401.87000000000006,"[0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0]"
1,9,8,0,2096.8677542178925,2037.9947542178925,588.73,"[0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0]"
1,9,8,0,2184.4446659984205,2041.2176659984204,1432.2700000000002,"[0,4,4,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,13,1,2084.1290336013612,2028.5170336013612,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,13,1,2096.8677542178925,2037.9947542178925,588.73,"[0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0]"
2,17,13,1,2096.8677542178925,2037.9947542178925,588.73,"[0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0]"
2,17,13,0,2122.8288930292842,2008.7188930292843,1141.1000000000001,"[0,0,0,0,2,0,0,0,0,0,2,0,2,4,0,2]"
2,17,13,0,2113.6316639390748,2078.8856639390747,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0]"
2,17,13,0,2153.139700020255,2129.012700020255,241.27000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]"
2,17,13,0,2154.915028636235,2020.987028636235,1339.2800000000002,"[0,0,2,0,4,0,0,0,2,0,2,0,0,4,0,0]"
2,17,13,0,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
3,25,15,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
3,25,15,1,2084.1290336013612,2028.5170336013612,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
3,25,15,1,2084.1290336013612,2028.5170336013612,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
3,25,15,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
3,25,15,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
3,25,15,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
3,25,15,0,2148.0186810320383,2051.3746810320386,966.44,"[0,0,0,4,0,0,0,0,0,0,2,0,2,4,0,0]"
3,25,15,0,2082.2259929926886,1963.2979929926887,1189.2800000000002,"[0,0,2,0,2,0,0,0,2,0,2,0,2,4,0,0]"
4,33,19,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
4,33,19,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
4,33,19,0,2179.748308291991,2008.1153082919914,1716.33,"[0,4,2,0,0,0,0,0,2,0,2,0,4,4,0,0]"
4,33,19,0,2082.695485843898,1948.5454858438982,1341.5,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,4,0]"
4,33,19,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
4,33,19,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
4,33,19,0,2154.128790919033,2013.8577909190326,1402.71,"[0,0,2,0,0,4,0,0,0,0,4,0,2,4,0,0]"
4,33,19,0,2159.4420301802716,2134.4730301802715,249.69000000000003,"[0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0]"
5,41,25,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
5,41,25,1,2069.9648946473053,1990.2258946473053,797.3900000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,2,4,0,0]"
5,41,25,0,2151.918308031917,2010.805308031917,1411.13,"[0,0,2,0,0,4,0,0,2,0,2,0,2,4,0,0]"
5,41,25,0,2205.3048770807177,2034.3848770807178,1709.2,"[0,0,2,0,0,2,0,4,2,0,2,0,2,4,0,0]"
5,41,25,0,2098.259633736355,1995.104633736355,1031.55,"[0,0,2,0,0,0,2,0,2,0,2,0,2,4,0,0]"
5,41,25,0,2098.723022842794,1940.3120228427938,1584.1100000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,4,4,4,0]"
