generation,evaluation,sim_call,cached,fitness,evac,cost,widths
1,9,8,1,2290.5006279116874,2290.5006279116874,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,9,8,0,2284.2972655458784,2284.2972655458784,0.0,"[0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0]"
1,9,8,0,2033.369630688838,1977.757630688838,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
1,9,8,0,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
1,9,8,0,2262.001678758679,1894.0306787586792,3679.71,"[4,4,4,0,2,0,2,0,4,0,2,0,4,4,4,0]"
1,9,8,0,2268.2279587207067,2240.6779587207066,275.5,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0]"
1,9,8,0,2320.019320019444,2277.600320019444,424.19000000000005,"[0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0]"
1,9,8,0,2115.266758247767,1998.2807582477672,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,2,0,0,4,0,0]"
2,17,12,1,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
2,17,12,1,2033.369630688838,1977.757630688838,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,12,0,2257.287261369619,2081.372261369619,1759.15,"[0,0,2,0,0,4,0,0,2,4,2,0,0,2,0,4]"
2,17,12,0,2118.4379108086764,2001.4519108086763,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,0,0,0,4,0,0]"
2,17,12,0,2076.98861623833,1962.0366162383298,1149.5200000000002,"[4,0,2,0,0,0,0,0,4,0,2,0,0,4,0,0]"
2,17,12,1,2115.266758247767,1998.2807582477672,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,2,0,0,4,0,0]"
2,17,12,1,2033.369630688838,1977.757630688838,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,12,0,2066.564852363401,1967.5548523634009,990.1,"[0,0,4,0,0,0,2,0,2,0,4,0,0,4,0,0]"
3,25,18,1,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
