step,time,alive
0,0,49377
1,1,49297
2,2,49197
3,3,49072
4,4,48955
5,5,48844
6,6,48747
7,7,48645
8,8,48546
9,9,48458
10,10,48364
11,11,48268
12,12,48196
13,13,48114
14,14,48038
15,15,47956
16,16,47888
17,17,47814
18,18,47739
19,19,47673
20,20,47606
21,21,47534
22,22,47465
23,23,47396
24,24,47335
25,25,47264
26,26,47194
27,27,47127
28,28,47065
29,29,47002
30,30,46936
31,31,46872
32,32,46804
33,33,46741
34,34,46673
35,35,46610
36,36,46550
37,37,46482
38,38,46421
39,39,46342
40,40,46272
41,41,46213
42,42,46143
43,43,46073
44,44,46003
45,45,45940
46,46,45873
47,47,45808
48,48,45727
49,49,45667
50,50,45601
51,51,45534
52,52,45466
53,53,45397
54,54,45332
55,55,45266
56,56,45194
57,57,45122
58,58,45052
59,59,44974
60,60,44913
61,61,44850
62,62,44782
63,63,44709
64,64,44640
65,65,44568
66,66,44498
67,67,44435
68,68,44361
69,69,44287
70,70,44219
71,71,44148
72,72,44084
73,73,44012
74,74,43941
75,75,43872
76,76,43798
77,77,43730
78,78,43666
79,79,43600
80,80,43528
81,81,43464
82,82,43388
83,83,43320
84,84,43245
85,85,43173
86,86,43105
87,87,43033
88,88,42959
89,89,42898
90,90,42817
91,91,42745
92,92,42673
93,93,42613
94,94,42543
95,95,42472
96,96,42402
97,97,42330
98,98,42255
99,99,42194
100,100,42125
101,101,42057
102,102,41984
103,103,41919
104,104,41854
105,105,41784
106,106,41708
107,107,41652
108,108,41581
109,109,41517
110,110,41446
111,111,41382
112,112,41314
113,113,41248
114,114,41185
115,115,41119
116,116,41056
117,117,40991
118,118,40929
119,119,40860
120,120,40791
121,121,40729
122,122,40664
123,123,40606
124,124,40531
125,125,40466
126,126,40401
127,127,40333
128,128,40273
129,129,40209
130,130,40145
131,131,40080
132,132,40015
133,133,39951
134,134,39890
135,135,39827
136,136,39757
137,137,39696
138,138,39628
139,139,39572
140,140,39496
141,141,39443
142,142,39378
143,143,39312
144,144,39252
145,145,39189
146,146,39126
147,147,39070
148,148,39009
149,149,38947
150,150,38885
151,151,38819
152,152,38762
153,153,38705
154,154,38642
155,155,38588
156,156,38523
157,157,38459
158,158,38402
159,159,38343
160,160,38281
161,161,38229
162,162,38167
163,163,38104
164,164,38048
165,165,37999
166,166,37935
