gen,hypervolume,n_front0,best_evac,best_cost
1,1654766.2,10,1140.0,1432.8
2,1848520.0,5,1132.2,1302.8
3,1974793.6,6,1132.2,1302.8
4,1983089.1,6,1132.2,1302.8
5,2045861.0,10,1126.3,987.7
6,2124613.8,12,1126.3,970.9
7,2260023.3,16,1126.3,970.9
8,2502832.1,16,1125.3,560.9
9,2530859.9,14,1125.3,408.5
10,2529154.5,14,1125.3,408.5
11,2544212.1,15,1125.3,408.5
12,2710234.1,14,1123.2,283.9
13,2700230.8,16,1123.2,283.9
14,2718874.1,18,1123.2,283.9
15,2797929.1,22,1121.5,16.8
16,2804871.3,23,1121.5,8.4
17,2812363.1,24,1121.5,8.4
18,2815385.6,28,1121.5,8.4
19,2833100.8,30,1121.5,8.4
20,2836549.0,30,1121.5,8.4
21,2838620.6,30,1121.5,0.0
22,2843468.2,30,1121.5,0.0
23,2853460.4,30,1118.0,0.0
24,2856017.3,30,1118.0,0.0
25,2854423.0,30,1118.0,0.0
