gen,id,evac,cost,rank,widths
1,1,1182.54,3898.32,0,"[4,4,2,0,0,4,2,2,0,0,4,0,2,4,4,2]"
1,2,1247.19,2277.37,0,"[0,0,2,0,0,4,0,0,2,2,2,2,2,2,4,0]"
1,3,1190.48,3439.86,0,"[0,2,2,2,4,0,2,2,0,2,4,0,2,4,2,4]"
1,4,1304.32,1793.04,0,"[4,0,2,0,0,0,0,2,0,4,2,2,0,0,0,0]"
1,5,1318.2,1432.82,0,"[0,0,2,2,0,2,0,0,0,2,2,2,2,0,0,0]"
1,6,1140.04,4735.93,0,"[4,4,4,0,2,2,4,4,4,0,2,0,2,4,4,2]"
1,7,1284.04,1946.14,0,"[0,0,0,0,0,4,0,0,0,0,4,2,0,4,4,2]"
1,8,1161.28,4002.24,0,"[2,2,4,0,2,4,2,2,4,0,2,2,2,4,4,0]"
1,9,1151.37,4365.89,0,"[2,4,4,0,4,0,0,4,4,2,2,0,4,4,4,0]"
1,10,1193.17,2431.02,0,"[0,2,2,0,2,0,0,0,4,2,2,2,4,4,0,2]"
1,11,1274.35,2319.22,1,"[4,0,2,0,0,0,0,0,0,4,4,4,0,0,4,0]"
1,12,1423.76,1856.68,1,"[0,0,0,0,0,4,2,0,4,0,4,2,0,0,4,2]"
1,13,1405.95,1861.04,1,"[0,2,0,2,0,0,0,0,2,4,4,2,0,0,2,4]"
1,14,1291.24,1959.38,1,"[0,4,4,0,2,2,0,0,2,0,0,0,0,0,0,2]"
1,15,1165.92,4350.85,1,"[4,2,2,2,4,0,0,2,0,4,4,0,4,4,4,2]"
1,16,1171.6,4200.29,1,"[4,4,2,2,2,4,0,0,0,2,0,2,0,4,4,2]"
1,17,1174.65,4104.61,1,"[2,0,4,2,4,4,4,2,0,0,4,2,0,4,2,2]"
1,18,1165.37,4385.17,1,"[2,2,4,0,4,4,2,2,2,0,2,2,2,4,4,0]"
1,19,1194.45,3492.3,1,"[0,4,2,2,2,2,4,0,4,2,2,2,2,4,0,2]"
1,20,1225.25,2669.26,1,"[0,0,2,0,2,4,0,0,2,2,2,2,2,2,4,0]"
1,21,1206.16,2793.68,1,"[2,2,2,0,0,0,2,4,2,2,0,0,2,4,0,4]"
1,22,1278.91,2582.69,2,"[0,4,2,2,2,0,0,0,2,2,4,2,0,0,2,4]"
1,23,1287.74,2510.19,2,"[0,0,4,2,0,0,4,4,0,0,4,0,2,0,2,4]"
1,24,1308.64,2102.26,2,"[0,2,0,0,0,0,0,2,2,2,2,2,2,2,4,0]"
1,25,1331.69,2034.19,2,"[2,2,0,0,0,0,0,0,2,0,4,4,4,2,0,2]"
1,26,1183.95,4199.14,2,"[4,0,2,2,4,0,0,4,4,2,2,4,0,4,4,2]"
1,27,1181.24,4270.5,2,"[4,4,2,2,2,2,4,0,0,4,2,2,2,4,0,2]"
1,28,1165.76,5013.33,2,"[2,2,4,2,4,4,2,4,0,0,4,2,2,4,4,2]"
1,29,1169.62,4729.64,2,"[2,2,4,2,4,4,0,4,0,2,2,2,2,4,2,2]"
1,30,1178.84,4560.67,2,"[4,4,4,4,0,2,4,4,2,0,2,0,4,4,0,4]"
1,31,1269.48,2675.49,2,"[0,0,2,0,2,2,4,4,2,0,2,2,2,2,0,0]"
1,32,1207.43,2793.68,2,"[2,2,2,0,0,0,2,4,2,2,0,0,2,4,0,4]"
1,33,1525.57,2199.46,3,"[0,0,0,4,0,2,0,4,2,0,2,4,0,0,0,4]"
1,34,1169.84,4916.47,3,"[4,2,2,2,4,0,0,2,0,4,4,4,4,4,4,2]"
1,35,1323.42,2237.4,3,"[2,2,0,0,0,0,0,0,2,0,4,4,2,2,2,4]"
1,36,1224.96,4219.63,3,"[2,2,0,2,4,2,2,0,0,2,2,4,2,4,4,2]"
1,37,1231.7,3073.43,3,"[4,0,2,2,0,0,0,4,2,4,2,4,0,4,0,2]"
1,38,1318.44,2828.05,3,"[2,0,0,0,0,4,0,0,2,2,2,4,2,2,4,2]"
1,39,1253.51,2927.17,3,"[4,0,2,0,4,0,0,2,4,2,2,2,0,0,4,0]"
1,40,1196.15,4550.31,3,"[0,4,2,4,4,0,4,4,0,4,2,0,2,4,2,2]"
2,41,1193.17,2431.02,0,"[0,2,2,0,2,0,0,0,4,2,2,2,4,4,0,2]"
2,42,1217.35,1302.8,0,"[0,0,4,2,0,0,0,0,0,0,4,0,0,2,4,0]"
2,43,1167.79,2784.65,0,"[0,0,4,2,0,0,4,2,0,0,4,0,4,4,2,4]"
2,44,1132.24,3160.49,0,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
2,45,1211.5,1731.23,0,"[0,0,2,2,0,2,2,0,0,2,4,0,2,4,0,0]"
2,46,1318.2,1432.82,1,"[0,0,2,2,0,2,0,0,0,2,2,2,2,0,0,0]"
2,47,1271.97,1724.84,1,"[0,0,2,0,0,4,0,0,0,2,2,2,2,2,0,0]"
2,48,1206.16,2793.68,1,"[2,2,2,0,0,0,2,4,2,2,0,0,2,4,0,4]"
2,49,1174.6,2810.18,1,"[0,0,4,0,0,4,0,0,2,2,2,2,2,4,4,2]"
2,50,1138.37,3458.85,1,"[2,2,4,4,2,0,2,0,4,0,2,2,2,4,4,0]"
2,51,1265.7,1813.39,1,"[0,0,2,0,0,4,0,0,0,0,4,2,0,2,4,0]"
2,52,1214.09,2123.86,1,"[0,2,2,0,0,2,2,0,4,0,2,2,2,4,0,2]"
2,53,1430.36,1648.86,2,"[0,0,0,2,0,4,0,0,2,2,4,0,0,0,2,4]"
2,54,1304.32,1793.04,2,"[4,0,2,0,0,0,0,2,0,4,2,2,0,0,0,0]"
2,55,1207.43,2793.68,2,"[2,2,2,0,0,0,2,4,2,2,0,0,2,4,0,4]"
2,56,1179.75,3098.3,2,"[4,0,2,0,0,2,2,2,4,0,4,0,2,4,4,4]"
2,57,1140.04,4735.93,2,"[4,4,4,0,2,2,4,4,4,0,2,0,2,4,4,2]"
2,58,1144.56,3974.62,2,"[2,4,4,0,2,0,0,4,4,2,2,0,4,4,4,0]"
2,59,1284.04,1946.14,2,"[0,0,0,0,0,4,0,0,0,0,4,2,0,4,4,2]"
2,60,1247.19,2277.37,2,"[0,0,2,0,0,4,0,0,2,2,2,2,2,2,4,0]"
2,61,1225.25,2669.26,2,"[0,0,2,0,2,4,0,0,2,2,2,2,2,2,4,0]"
2,62,1215.98,2735.79,2,"[0,0,2,2,0,4,2,0,2,0,2,2,0,4,4,4]"
2,63,1423.76,1856.68,3,"[0,0,0,0,0,4,2,0,4,0,4,2,0,0,4,2]"
2,64,1405.95,1861.04,3,"[0,2,0,2,0,0,0,0,2,4,4,2,0,0,2,4]"
2,65,1211.85,3094.0,3,"[0,4,4,0,2,2,4,0,2,4,2,0,2,2,0,0]"
2,66,1190.48,3439.86,3,"[0,2,2,2,4,0,2,2,0,2,4,0,2,4,2,4]"
2,67,1180.44,3544.59,3,"[2,4,2,0,0,0,4,4,2,0,2,0,2,4,4,2]"
2,68,1193.18,3291.7,3,"[0,0,4,2,0,4,4,2,0,0,4,2,0,4,4,2]"
2,69,1161.28,4002.24,3,"[2,2,4,0,2,4,2,2,4,0,2,2,2,4,4,0]"
