cost,evac,widths
0.0,1426.44,"[0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0]"
174.95,1353.59,"[0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1331.51,"[0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0]"
347.46,1291.81,"[0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0]"
355.88,1290.75,"[0,0,0,0,0,0,0,0,2,0,4,0,0,4,0,0]"
507.94,1288.3,"[0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,2]"
556.12,1224.93,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
716.6,1221.32,"[0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,2]"
747.52,1198.37,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]"
755.94,1197.41,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
764.28,1197.13,"[0,0,4,0,0,0,0,0,4,0,4,0,0,4,0,0]"
908.0,1195.83,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,2]"
988.79,1185.58,"[0,0,4,0,0,0,0,0,0,0,2,0,2,4,0,0]"
1023.02,1184.52,"[0,0,4,0,0,0,0,0,0,0,2,0,0,4,2,0]"
1031.44,1183.48,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,2,0]"
1157.69,1181.67,"[0,0,4,0,0,0,0,0,2,0,0,0,2,4,0,2]"
1183.5,1179.36,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,2,2]"
1300.05,1172.79,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,4,0]"
1452.11,1167.22,"[0,0,4,0,0,0,0,0,0,0,4,0,0,4,4,2]"
1532.9,1155.46,"[0,0,4,0,0,0,0,0,0,0,4,0,2,4,4,0]"
1700.28,1154.08,"[0,0,4,0,2,0,0,0,4,0,2,0,0,4,4,0]"
1848.02,1148.0,"[2,0,4,0,0,0,0,0,4,0,2,0,2,4,4,0]"
1924.79,1145.35,"[0,0,4,0,2,0,0,0,0,0,2,0,2,4,4,0]"
2102.03,1138.43,"[0,0,4,0,2,0,0,0,4,0,0,0,2,4,4,2]"
2239.91,1136.02,"[2,0,4,0,2,0,0,0,4,0,4,0,2,4,4,0]"
2482.52,1128.38,"[2,0,4,0,2,0,0,0,4,0,4,0,4,4,4,0]"
2687.09,1124.28,"[4,0,4,0,2,0,0,0,4,0,0,0,2,4,4,2]"
2769.22,1121.89,"[4,0,4,0,2,0,0,0,4,0,2,0,4,4,4,0]"
3558.94,1121.55,"[4,0,4,0,2,0,4,0,2,0,2,0,4,4,4,4]"
3679.71,1117.98,"[4,4,4,0,2,0,2,0,4,0,2,0,4,4,4,0]"
