sim_call,batch,evac,cost_proxy,widths
1,0,1432.085780838566,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1221.9431284418529,2935.9,"[2,0,2,4,0,0,2,2,0,2,2,4,4,0,2]"
3,0,1308.5714039917411,4245.02,"[2,0,4,0,0,4,4,4,0,4,0,4,0,4,4]"
4,0,1285.1038723128618,3991.370000000001,"[2,4,2,0,4,0,0,4,0,4,0,4,0,2,2]"
5,0,1211.794436233322,2802.6900000000005,"[0,4,2,0,4,0,0,2,2,0,4,0,4,0,0]"
6,0,1273.519081264931,3077.7800000000007,"[0,4,0,0,2,4,0,4,4,0,0,0,4,2,2]"
7,0,1303.5157885148676,3807.1700000000005,"[4,2,2,4,0,0,4,4,4,2,0,4,0,2,2]"
8,0,1379.3896220877273,4324.05,"[0,0,0,4,4,2,4,2,2,4,4,2,0,4,4]"
9,0,1376.9772345379085,3413.9800000000005,"[2,0,0,2,2,2,0,4,2,2,2,2,0,4,4]"
10,0,1269.0461170945014,3290.4200000000005,"[0,2,2,2,2,0,2,2,4,2,2,2,0,4,4]"
11,0,1297.1336221731824,2967.4900000000002,"[2,2,0,4,0,0,2,4,2,0,4,2,4,0,0]"
12,0,1253.786354712704,4996.060000000001,"[0,2,0,4,4,0,4,4,4,4,4,4,4,2,4]"
13,0,1345.5902145314712,5324.110000000001,"[4,4,0,0,4,2,4,4,0,2,2,4,0,4,4]"
14,0,1227.7314886037002,4071.0300000000007,"[4,2,2,2,4,0,4,2,0,4,0,0,2,2,4]"
15,0,1292.4642878827744,5104.450000000001,"[4,2,2,4,4,4,4,4,4,0,2,2,0,2,4]"
16,0,1279.1420645527073,2273.7900000000004,"[2,0,2,0,0,0,0,0,0,4,2,4,0,4,0]"
17,0,1241.6044753461258,4582.740000000001,"[0,4,2,2,4,4,0,0,4,0,4,4,2,4,4]"
18,0,1226.2929613959798,3595.0700000000006,"[4,2,2,4,4,0,2,0,0,4,4,0,2,0,0]"
19,0,1240.5080788855594,2771.2200000000003,"[0,0,2,2,4,0,4,0,2,4,2,2,2,0,0]"
20,0,1361.1276946744124,3828.5,"[4,2,0,4,0,2,4,4,2,0,2,4,2,0,2]"
21,0,1442.8583939093285,1850.5200000000002,"[0,0,0,0,0,0,0,2,4,4,4,2,0,0,4]"
22,0,1162.3929648749875,3087.6800000000003,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
23,0,1231.3379475036934,5779.540000000001,"[2,4,2,2,4,2,4,4,2,4,4,4,2,2,4]"
24,0,1265.0573730666451,3076.1200000000003,"[0,2,2,4,4,0,2,0,0,0,2,4,2,0,2]"
25,0,1242.8127517865457,3451.34,"[2,0,2,0,2,4,2,0,4,4,4,2,2,0,4]"
26,0,1371.0384685450572,4244.360000000001,"[4,4,0,4,2,4,4,2,0,4,2,0,0,0,2]"
27,0,1270.095398133339,3183.4,"[4,0,0,0,2,0,4,4,4,4,2,0,2,2,0]"
28,0,1412.1927935222673,3699.2000000000003,"[0,2,0,4,4,2,2,2,0,4,4,2,0,0,2]"
29,0,1224.5900145772594,2605.4700000000003,"[0,4,4,2,2,0,0,0,4,4,0,0,2,0,4]"
30,0,1182.6564853048335,4073.9300000000003,"[2,4,4,4,0,2,4,4,4,0,0,0,4,2,4]"
31,0,1215.3427770355074,3424.09,"[4,2,4,0,0,4,0,2,0,2,2,2,2,2,0]"
32,0,1267.5926372046886,3210.0,"[2,2,4,0,0,4,4,4,0,0,0,0,2,0,4]"
33,0,1420.8193817438305,3283.4500000000003,"[2,2,0,0,4,4,0,2,0,2,0,4,0,0,2]"
