batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,4339097.6,9,1159.94,0.0
1,80,4504817.8,10,1155.22,0.0
2,120,4581834.1,11,1155.22,0.0
3,160,4645388.8,14,1151.98,0.0
4,200,4766009.5,11,1149.81,0.0
5,240,4815681.7,9,1147.16,0.0
6,280,4868689.3,15,1134.91,0.0
7,320,4932599.7,11,1126.42,0.0
8,360,4969758.1,13,1126.18,0.0
9,400,4989168.6,16,1126.18,0.0
10,440,4990932.7,19,1126.18,0.0
11,480,4999037.8,20,1126.18,0.0
12,520,5001117.5,21,1126.18,0.0
13,560,5011672.7,22,1126.18,0.0
14,600,5012137.6,23,1126.18,0.0
15,640,5016036.2,23,1126.18,0.0
16,680,5029444.1,24,1126.18,0.0
17,720,5033018.3,25,1125.51,0.0
18,760,5041734.8,28,1123.11,0.0
19,800,5043744.4,31,1123.11,0.0
20,840,5044047.9,33,1123.11,0.0
21,880,5044493.6,36,1123.11,0.0
22,920,5045740.5,38,1123.11,0.0
23,960,5045842.4,39,1123.11,0.0
24,1000,5049545.6,40,1123.11,0.0
25,1040,5050473.8,39,1123.11,0.0
