gen,id,evac,cost,rank,widths
1,1,1430.61,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1250.24,2872.44,0,"[4,0,2,2,2,0,2,2,4,0,2,0,0,4,2]"
1,3,1261.4,2394.46,0,"[0,4,0,0,0,0,4,0,4,0,0,2,4,2,4]"
1,4,1230.19,2887.36,0,"[2,0,0,0,2,0,4,2,2,0,2,2,4,4,0]"
1,5,1155.22,3809.19,0,"[4,0,2,2,4,0,4,0,2,0,2,2,4,4,2]"
1,6,1276.85,1303.84,0,"[2,0,2,0,0,2,0,2,4,0,0,0,2,0,0]"
1,7,1421.64,751.85,0,"[0,0,0,2,0,0,0,0,2,0,0,2,0,2,0]"
1,8,1186.54,2964.07,0,"[0,2,2,0,2,0,2,2,2,0,0,2,4,4,4]"
1,9,1261.52,1993.58,0,"[0,0,2,2,2,0,0,2,4,0,0,2,2,2,2]"
1,10,1179.11,3653.06,0,"[4,4,2,0,4,2,4,0,2,0,0,0,4,2,0]"
1,11,1159.94,3890.42,1,"[2,0,4,0,2,4,4,2,2,0,2,2,4,4,0]"
1,12,1389.41,1586.85,1,"[4,0,0,0,2,0,0,4,2,0,0,0,0,0,0]"
1,13,1209.76,3500.39,1,"[2,0,4,0,2,4,2,2,0,2,0,0,2,4,4]"
1,14,1211.12,3197.51,1,"[4,2,4,2,0,4,4,0,0,0,0,0,2,2,2]"
1,15,1221.6,3054.02,1,"[0,0,2,2,2,0,4,2,4,0,4,2,2,4,0]"
1,16,1187.2,3545.84,1,"[0,4,2,2,4,0,2,0,2,0,0,4,4,4,0]"
1,17,1213.87,3137.41,1,"[2,4,2,0,2,4,2,0,2,0,0,0,2,4,0]"
1,18,1301.01,2026.1,1,"[2,0,2,2,0,2,4,0,2,0,0,2,0,2,0]"
1,19,1275.15,2397.6,1,"[4,0,2,0,2,0,4,2,0,0,0,0,0,2,2]"
1,20,1162.74,4109.45,2,"[4,0,2,2,4,0,4,2,2,0,2,2,4,4,2]"
1,21,1224.77,3132.72,2,"[4,4,0,0,4,0,2,0,4,2,0,0,4,2,0]"
1,22,1230.48,3091.59,2,"[2,0,4,2,2,4,2,0,4,0,2,0,0,4,2]"
1,23,1210.67,3811.73,2,"[2,4,4,2,0,0,2,0,0,4,2,4,2,2,4]"
1,24,1219.91,3229.8,2,"[2,2,4,2,0,0,2,0,0,4,0,4,2,2,4]"
1,25,1219.62,3589.95,2,"[2,4,2,4,4,2,0,2,4,0,0,2,4,0,0]"
1,26,1329.46,2452.14,2,"[4,0,0,0,2,0,4,2,0,4,0,0,0,2,0]"
1,27,1429.15,2418.62,2,"[0,4,0,0,0,4,4,0,0,2,0,2,0,0,2]"
1,28,1164.26,4356.66,3,"[4,2,2,4,4,0,2,2,2,0,4,0,4,4,2]"
1,29,1187.84,4121.66,3,"[4,2,2,0,2,4,4,2,2,0,0,2,4,2,4]"
1,30,1292.84,3162.93,3,"[2,4,0,4,2,0,0,2,4,0,4,0,2,2,2]"
1,31,1225.48,3580.18,3,"[4,4,2,2,4,0,0,2,4,2,0,0,2,2,2]"
1,32,1244.99,3304.68,3,"[4,4,2,2,4,0,0,2,4,2,0,0,2,0,2]"
1,33,1227.52,3479.08,3,"[4,0,2,2,0,2,2,4,0,4,0,2,4,0,4]"
1,34,1223.63,3791.09,3,"[2,2,0,4,2,4,2,0,2,0,4,0,4,4,2]"
1,35,1333.85,2768.72,3,"[2,0,2,0,0,2,4,4,0,0,0,2,0,2,4]"
1,36,1403.48,2763.96,3,"[0,2,0,2,2,4,4,0,0,4,0,0,0,0,4]"
1,37,1165.11,4570.64,4,"[0,4,4,2,4,0,2,2,0,2,0,4,4,4,4]"
1,38,1416.56,2766.91,4,"[2,2,0,4,4,2,2,0,4,0,2,0,0,0,2]"
1,39,1189.1,4121.66,4,"[4,2,2,0,2,4,4,2,2,0,0,2,4,2,4]"
1,40,1334.67,2835.71,4,"[2,4,0,0,2,0,2,4,4,0,0,2,2,0,2]"
2,41,1430.61,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,42,1155.22,3809.19,0,"[4,0,2,2,4,0,4,0,2,0,2,2,4,4,2]"
2,43,1276.85,1303.84,0,"[2,0,2,0,0,2,0,2,4,0,0,0,2,0,0]"
2,44,1186.54,2964.07,0,"[0,2,2,0,2,0,2,2,2,0,0,2,4,4,4]"
2,45,1235.2,1940.67,0,"[4,0,2,0,2,0,2,0,4,0,0,0,2,0,4]"
2,46,1371.23,1041.33,0,"[4,0,0,0,0,0,0,0,2,0,0,0,0,2,2]"
2,47,1196.49,2618.94,0,"[0,4,2,0,0,2,4,0,4,0,0,0,4,2,4]"
2,48,1162.81,3450.0,0,"[2,2,4,0,2,4,4,0,0,0,0,0,4,2,4]"
2,49,1231.9,2149.57,0,"[2,2,4,4,0,0,2,0,0,0,0,0,2,0,4]"
2,50,1413.89,587.13,0,"[2,0,0,0,0,0,0,0,2,0,0,2,0,0,0]"
