sim_call,batch,evac,cost_proxy,widths
1,0,1420.3562222897053,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1338.2111246077538,3021.7900000000004,"[4,0,0,0,0,2,2,4,4,4,2,0,0,2,4]"
3,0,1221.7601477882376,2828.5300000000007,"[2,2,2,0,2,0,4,0,4,4,2,0,0,2,2]"
4,0,1196.7751493066098,4186.43,"[2,4,4,2,2,2,4,2,4,0,2,2,0,2,4]"
5,0,1167.797072578196,2596.1400000000003,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
6,0,1239.0067516955157,3615.870000000001,"[0,0,0,0,2,4,0,4,4,4,2,2,4,4,2]"
7,0,1340.905158416844,1734.5100000000002,"[4,0,0,0,0,2,0,0,0,2,0,0,0,2,4]"
8,0,1195.4610790565846,3116.4300000000003,"[0,0,2,2,0,2,2,0,2,4,2,4,4,2,4]"
9,0,1158.167500759186,4294.280000000001,"[0,4,2,2,4,4,4,0,0,4,0,0,4,2,4]"
10,0,1131.6811742079158,4556.400000000001,"[0,2,4,4,2,2,4,0,0,4,2,4,4,4,2]"
11,0,1222.665850794615,4459.54,"[2,2,4,0,4,4,4,2,0,2,4,4,0,0,0]"
12,0,1149.5872466848873,4344.330000000001,"[4,4,2,4,4,2,4,0,4,4,0,0,4,0,2]"
13,0,1209.1339093025608,5410.740000000001,"[2,4,4,0,4,4,2,4,2,4,4,2,0,2,4]"
14,0,1208.8728110132606,3519.06,"[4,4,0,0,0,0,0,2,2,2,2,2,4,4,4]"
15,0,1323.3772578196174,3081.4,"[2,4,0,2,0,2,2,0,4,2,2,2,0,2,4]"
16,0,1161.055567365118,5141.780000000001,"[4,4,4,4,4,4,0,2,4,2,0,4,2,2,2]"
17,0,1162.8270988966494,4722.760000000001,"[4,4,2,4,2,4,0,2,0,4,2,4,4,0,0]"
18,0,1155.60403380909,4985.970000000001,"[4,4,4,2,4,0,0,4,2,4,0,2,2,4,4]"
19,0,1210.1052738131389,5787.880000000001,"[4,4,2,4,4,2,2,4,2,4,4,4,0,4,0]"
20,0,1262.8630741977934,3151.51,"[0,0,2,4,4,2,0,2,0,2,2,2,0,2,2]"
21,0,1204.2835934811217,4627.55,"[2,4,0,4,2,2,2,4,4,4,2,2,4,2,2]"
22,0,1144.800602287681,4789.04,"[0,2,4,2,4,4,2,4,2,2,4,0,4,2,4]"
23,0,1193.8242980058708,3830.5400000000004,"[0,2,4,4,4,4,2,0,4,4,4,0,2,0,0]"
24,0,1147.3130590140704,4608.900000000001,"[0,0,4,4,4,2,2,4,0,2,4,2,4,2,4]"
25,0,1235.043789857273,3126.6200000000003,"[4,4,2,0,4,0,0,4,0,0,0,2,0,0,0]"
26,0,1183.247062455714,3811.09,"[4,0,2,4,2,0,4,4,0,2,2,2,2,2,0]"
27,0,1177.8471626682863,3319.6700000000005,"[0,2,4,4,4,0,0,0,2,4,0,2,2,4,0]"
28,0,1169.6543627897559,3243.8500000000004,"[2,0,2,4,4,2,4,0,2,2,2,0,4,0,0]"
29,0,1194.6677760906975,3525.8800000000006,"[0,2,4,0,2,4,0,4,2,2,2,0,2,4,0]"
30,0,1238.140163984209,2144.1300000000006,"[4,4,4,0,0,2,0,0,0,0,0,0,0,0,2]"
31,0,1165.7802763437594,2881.4800000000005,"[2,0,4,4,2,0,4,0,4,2,0,0,2,4,0]"
32,0,1300.9668023079257,2653.4800000000005,"[0,0,0,4,2,2,0,4,0,0,2,2,2,2,0]"
33,0,1268.263715963154,4077.7700000000004,"[2,0,0,2,4,4,0,4,2,4,0,2,2,4,2]"
34,0,1206.9656523939668,3336.86,"[4,2,2,2,0,4,2,0,2,4,2,0,2,0,4]"
