sim_call,batch,evac,cost_proxy,widths
1,0,1429.0542909201336,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1340.016355906468,3021.7900000000004,"[4,0,0,0,0,2,2,4,4,4,2,0,0,2,4]"
3,0,1222.0758022067012,2828.5300000000007,"[2,2,2,0,2,0,4,0,4,4,2,0,0,2,2]"
4,0,1197.5219981779533,4186.43,"[2,4,4,2,2,2,4,2,4,0,2,2,0,2,4]"
5,0,1168.5305192833282,2596.1400000000003,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
6,0,1238.8822330195364,3615.870000000001,"[0,0,0,0,2,4,0,4,4,4,2,2,4,4,2]"
7,0,1342.6561241016298,1734.5100000000002,"[4,0,0,0,0,2,0,0,0,2,0,0,0,2,4]"
8,0,1194.525034922563,3116.4300000000003,"[0,0,2,2,0,2,2,0,2,4,2,4,4,2,4]"
9,0,1159.1347859095051,4294.280000000001,"[0,4,2,2,4,4,4,0,0,4,0,0,4,2,4]"
10,0,1130.124925599757,4556.400000000001,"[0,2,4,4,2,2,4,0,0,4,2,4,4,4,2]"
11,0,1222.0903755440834,4459.54,"[2,2,4,0,4,4,4,2,0,2,4,4,0,0,0]"
12,0,1148.9278671930356,4344.330000000001,"[4,4,2,4,4,2,4,0,4,4,0,0,4,0,2]"
13,0,1208.8588622330194,5410.740000000001,"[2,4,4,0,4,4,2,4,2,4,4,2,0,2,4]"
14,0,1208.5319182103453,3519.06,"[4,4,0,0,0,0,0,2,2,2,2,2,4,4,4]"
15,0,1324.340866484462,3081.4,"[2,4,0,2,0,2,2,0,4,2,2,2,0,2,4]"
16,0,1160.8541704625975,5141.780000000001,"[4,4,4,4,4,4,0,2,4,2,0,4,2,2,2]"
17,0,1163.7225326450045,4722.760000000001,"[4,4,2,4,2,4,0,2,0,4,2,4,4,0,0]"
18,0,1155.1481465735399,4985.970000000001,"[4,4,4,2,4,0,0,4,2,4,0,2,2,4,4]"
19,0,1210.0163164287885,5787.880000000001,"[4,4,2,4,4,2,2,4,2,4,4,4,0,4,0]"
20,0,1262.1855855855854,3151.51,"[0,0,2,4,4,2,0,2,0,2,2,2,0,2,2]"
21,0,1202.2157627290212,4627.55,"[2,4,0,4,2,2,2,4,4,4,2,2,4,2,2]"
22,0,1146.3181374633061,4789.04,"[0,2,4,2,4,4,2,4,2,2,4,0,4,2,4]"
23,0,1192.977869217532,3830.5400000000004,"[0,2,4,4,4,4,2,0,4,4,4,0,2,0,0]"
24,0,1147.0517157607044,4608.900000000001,"[0,0,4,4,4,2,2,4,0,2,4,2,4,2,4]"
25,0,1234.5008502884907,3126.6200000000003,"[4,4,2,0,4,0,0,4,0,0,0,2,0,0,0]"
26,0,1184.051156999696,3811.09,"[4,0,2,4,2,0,4,4,0,2,2,2,2,2,0]"
27,0,1176.6634983297904,3319.6700000000005,"[0,2,4,4,4,0,0,0,2,4,0,2,2,4,0]"
28,0,1168.0620983905255,3243.8500000000004,"[2,0,2,4,4,2,4,0,2,2,2,0,4,0,0]"
29,0,1194.2196305294055,3525.8800000000006,"[0,2,4,0,2,4,0,4,2,2,2,0,2,4,0]"
30,0,1238.8435651381717,2144.1300000000006,"[4,4,4,0,0,2,0,0,0,0,0,0,0,0,2]"
31,0,1167.045622026521,2881.4800000000005,"[2,0,4,4,2,0,4,0,4,2,0,0,2,4,0]"
32,0,1301.5208674967103,2653.4800000000005,"[0,0,0,4,2,2,0,4,0,0,2,2,2,2,0]"
33,0,1265.2572831258224,4077.7700000000004,"[2,0,0,2,4,4,0,4,2,4,0,2,2,4,2]"
34,0,1207.8217106994634,3336.86,"[4,2,2,2,0,4,2,0,2,4,2,0,2,0,4]"
35,0,1307.5679157809493,4040.1300000000006,"[4,0,0,0,4,2,0,4,0,0,4,4,0,4,2]"
36,0,1205.7058204271686,3613.370000000001,"[4,0,2,2,2,4,2,2,0,0,4,2,2,0,2]"
37,0,1209.1125174612816,2869.2700000000004,"[0,0,4,4,0,4,2,0,0,0,2,4,2,2,0]"
38,0,1205.6034618888552,3795.5300000000007,"[2,4,2,4,2,4,0,0,4,0,4,4,2,0,0]"
39,0,1158.9290920133617,5154.400000000001,"[2,2,4,0,4,4,4,0,4,4,4,2,2,4,4]"
40,0,1282.712717886426,4159.860000000001,"[0,4,2,4,0,4,4,4,4,0,4,4,0,0,2]"
41,1,1259.1785767790263,3904.0300000000007,"[0,4,0,0,4,0,0,4,4,4,2,2,2,4,2]"
42,1,1152.7664267638424,3712.8300000000004,"[4,0,4,2,0,4,0,0,2,4,0,2,4,4,4]"
43,1,1253.9173256402469,2418.6300000000006,"[4,0,2,0,0,2,0,0,0,2,4,0,0,2,4]"
44,1,1340.0740864459965,2596.1000000000004,"[4,0,0,4,0,2,0,0,0,2,4,0,0,2,4]"
45,1,1232.6654155278873,2818.01,"[4,4,4,0,0,2,0,0,2,4,2,0,0,0,2]"
46,1,1247.2563366737525,3611.0700000000006,"[0,4,2,2,2,2,2,0,0,4,0,4,0,2,4]"
47,1,1263.044885109829,1354.65,"[0,0,4,4,0,2,0,0,0,0,0,0,0,2,0]"
48,1,1198.1537807470393,4249.31,"[4,4,4,0,0,4,2,4,0,0,2,4,2,0,2]"
49,1,1127.8800708573742,4172.820000000001,"[0,2,4,4,2,2,4,0,4,4,2,0,4,4,4]"
50,1,1233.9927421803825,3041.7200000000003,"[2,0,2,0,2,0,4,0,0,4,2,4,0,2,2]"
51,1,1191.6050328980666,1652.5,"[0,0,4,2,0,0,0,0,4,4,0,2,4,0,0]"
52,1,1145.798983702804,4789.04,"[0,2,4,2,4,4,2,4,2,2,4,0,4,2,4]"
53,1,1310.549531329082,3262.1000000000004,"[0,4,0,4,0,2,0,4,0,0,2,2,2,2,4]"
54,1,1159.2831592266423,4553.1,"[4,4,4,4,4,2,0,2,4,2,0,2,2,2,2]"
55,1,1308.7530812835307,3534.1300000000006,"[2,4,0,4,0,2,4,0,4,2,0,2,0,4,4]"
56,1,1173.0895434760605,2996.5400000000004,"[2,0,4,2,2,0,2,0,4,2,2,4,2,2,0]"
57,1,1338.0156088672943,3190.7900000000004,"[2,4,0,4,0,4,2,0,4,2,4,2,0,0,0]"
58,1,1173.486379188177,4522.710000000001,"[0,2,4,2,4,2,2,0,4,4,4,4,2,2,4]"
59,1,1248.9396295171575,4123.960000000001,"[0,4,0,2,2,4,4,4,4,2,2,0,2,4,0]"
60,1,1201.6871677295273,1722.13,"[2,0,4,0,2,0,2,0,2,2,0,0,2,0,0]"
61,1,1212.6900172082196,1623.25,"[0,0,4,0,2,0,4,0,4,0,0,0,2,0,2]"
62,1,1356.0479198299422,1783.8000000000002,"[2,0,0,4,0,0,0,0,0,2,0,0,0,4,4]"
63,1,1177.2517724466038,3397.1900000000005,"[4,0,2,4,4,0,0,0,0,2,2,2,2,4,0]"
64,1,1223.5525852819112,3558.620000000001,"[0,2,4,4,2,0,4,4,2,4,0,2,0,2,0]"
65,1,1180.394262577184,4230.030000000001,"[0,2,2,4,4,4,0,2,2,4,2,2,4,0,4]"
66,1,1127.8782842392955,4606.68,"[4,4,4,4,2,0,0,2,0,4,0,4,4,4,0]"
67,1,1165.7345723251342,3273.9700000000003,"[0,0,4,4,0,4,4,0,0,0,2,4,4,2,0]"
68,1,1179.8790262172286,2927.7300000000005,"[0,0,4,4,2,4,4,0,0,0,2,0,2,2,0]"
69,1,1201.8201336167629,2843.5200000000004,"[0,2,4,2,0,0,2,0,2,4,2,4,2,2,0]"
70,1,1175.307963356615,3597.7800000000007,"[0,0,2,4,4,2,0,0,2,4,0,2,4,4,4]"
71,1,1219.2643384957992,3886.36,"[2,4,0,4,0,2,2,4,0,2,2,0,4,2,4]"
72,1,1308.670243951817,2940.3100000000004,"[4,0,0,0,2,2,0,0,4,4,4,2,0,2,2]"
73,1,1192.1098997874278,3068.8800000000006,"[0,0,4,4,4,0,0,2,0,2,0,2,2,4,0]"
74,1,1231.3448203259438,3224.9,"[2,0,2,4,2,2,4,0,0,2,2,2,0,2,2]"
75,1,1256.6473732159127,2355.7200000000003,"[4,4,2,0,0,4,0,0,0,0,0,2,0,0,0]"
76,1,1298.6038060532442,3253.1400000000003,"[4,0,0,0,4,2,4,4,4,2,0,0,0,2,0]"
77,1,1188.718681040591,2525.1600000000003,"[0,2,2,4,0,0,2,0,2,4,0,0,4,2,4]"
78,1,1181.813958902723,3593.1300000000006,"[0,0,4,2,4,2,0,0,2,4,4,2,2,4,0]"
79,1,1283.232638931066,2179.1600000000003,"[0,0,0,2,4,2,0,0,0,0,0,2,2,2,2]"
