sim_call,batch,evac,cost_proxy,widths
1,0,1420.8991179210889,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1200.8041633752607,2935.9,"[2,0,2,4,0,0,2,2,0,2,2,4,4,0,2]"
3,0,1264.66465405493,4245.02,"[2,0,4,0,0,4,4,4,0,4,0,4,0,4,4]"
4,0,1242.5543698857653,3991.370000000001,"[2,4,2,0,4,0,0,4,0,4,0,4,0,2,2]"
5,0,1199.8310566932005,2802.6900000000005,"[0,4,2,0,4,0,0,2,2,0,4,0,4,0,0]"
6,0,1238.948781673452,3077.7800000000007,"[0,4,0,0,2,4,0,4,4,0,0,0,4,2,2]"
7,0,1252.02027059872,3807.1700000000005,"[4,2,2,4,0,0,4,4,4,2,0,4,0,2,2]"
8,0,1328.4089099084501,4324.05,"[0,0,0,4,4,2,4,2,2,4,4,2,0,4,4]"
9,0,1324.6317791460747,3413.9800000000005,"[2,0,0,2,2,2,0,4,2,2,2,2,0,4,4]"
10,0,1253.802858907883,3290.4200000000005,"[0,2,2,2,2,0,2,2,4,2,2,2,0,4,4]"
11,0,1259.9074568066274,2967.4900000000002,"[2,2,0,4,0,0,2,4,2,0,4,2,4,0,0]"
12,0,1216.0596240708107,4996.060000000001,"[0,2,0,4,4,0,4,4,4,4,4,4,4,2,4]"
13,0,1267.8744186988577,5324.110000000001,"[4,4,0,0,4,2,4,4,0,2,2,4,0,4,4]"
14,0,1193.9511494602093,4071.0300000000007,"[4,2,2,2,4,0,4,2,0,4,0,0,2,2,4]"
15,0,1219.9622154257474,5104.450000000001,"[4,2,2,4,4,4,4,4,4,0,2,2,0,2,4]"
16,0,1274.1868822409463,2273.7900000000004,"[2,0,2,0,0,0,0,0,0,4,2,4,0,4,0]"
17,0,1204.9714650300782,4582.740000000001,"[0,4,2,2,4,4,0,0,4,0,4,4,2,4,4]"
18,0,1201.865578983614,3595.0700000000006,"[4,2,2,4,4,0,2,0,0,4,4,0,2,0,0]"
19,0,1219.430932126147,2771.2200000000003,"[0,0,2,2,4,0,4,0,2,4,2,2,2,0,0]"
20,0,1286.2436045451784,3828.5,"[4,2,0,4,0,2,4,4,2,0,2,4,2,0,2]"
21,0,1432.1589807988335,1850.5200000000002,"[0,0,0,0,0,0,0,2,4,4,4,2,0,0,4]"
22,0,1161.3500577261957,3087.6800000000003,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
23,0,1183.3893986348262,5779.540000000001,"[2,4,2,2,4,2,4,4,2,4,4,4,2,2,4]"
24,0,1219.6666788195498,3076.1200000000003,"[0,2,2,4,4,0,2,0,0,0,2,4,2,0,2]"
25,0,1219.1622085839865,3451.34,"[2,0,2,0,2,4,2,0,4,4,4,2,2,0,4]"
26,0,1289.0832698695617,4244.360000000001,"[4,4,0,4,2,4,4,2,0,4,2,0,0,0,2]"
27,0,1245.2283000141783,3183.4,"[4,0,0,0,2,0,4,4,4,4,2,0,2,2,0]"
28,0,1348.3759843636071,3699.2000000000003,"[0,2,0,4,4,2,2,2,0,4,4,2,0,0,2]"
29,0,1206.301835085374,2605.4700000000003,"[0,4,4,2,2,0,0,0,4,4,0,0,2,0,4]"
30,0,1153.517469769703,4073.9300000000003,"[2,4,4,4,0,2,4,4,4,0,0,0,4,2,4]"
31,0,1201.170723704199,3424.09,"[4,2,4,0,0,4,0,2,0,2,2,2,2,2,0]"
32,0,1224.1746470600149,3210.0,"[2,2,4,0,0,4,4,4,0,0,0,0,2,0,4]"
33,0,1327.5666653163737,3283.4500000000003,"[2,2,0,0,4,4,0,2,0,2,0,4,0,0,2]"
34,0,1167.1573818638474,3532.870000000001,"[2,0,4,4,0,2,0,0,0,2,4,4,4,4,0]"
35,0,1200.6710984180995,4770.760000000001,"[4,2,0,2,4,4,0,0,2,4,4,4,4,2,2]"
36,0,1241.6122379534545,3914.4500000000003,"[4,4,0,0,2,2,0,2,0,0,4,2,2,4,2]"
37,0,1296.0897320343515,3175.8800000000006,"[0,0,2,0,0,4,2,4,2,2,4,2,0,4,0]"
38,0,1165.7406189868548,3763.66,"[2,0,4,4,2,4,4,4,0,0,0,2,4,0,0]"
39,0,1340.388805395771,2882.1100000000006,"[0,2,0,0,4,4,2,0,4,2,2,0,0,2,2]"
40,0,1207.3533552085232,4427.900000000001,"[2,0,0,2,4,2,4,2,2,2,2,4,4,4,2]"
41,1,1207.6665836219643,1541.0200000000002,"[0,0,2,0,2,0,0,0,4,4,0,0,4,0,2]"
42,1,1288.6273601912053,3262.4100000000003,"[0,4,0,2,2,4,0,4,4,0,0,0,2,2,4]"
43,1,1239.170633152394,3403.4700000000007,"[4,2,2,0,2,4,0,2,0,2,4,0,0,2,0]"
44,1,1220.8020983978447,3268.3800000000006,"[0,2,4,0,0,0,2,2,0,4,2,2,2,4,4]"
45,1,1351.2741179210889,3783.05,"[0,0,0,2,4,4,0,0,2,4,4,4,0,4,2]"
46,1,1143.3183488282596,4139.960000000001,"[4,2,2,2,4,0,4,0,2,4,2,2,4,2,0]"
47,1,1227.8198395819406,3182.2900000000004,"[2,4,0,4,2,0,4,4,4,0,0,0,4,0,0]"
48,1,1226.631113406656,3159.4500000000003,"[4,2,0,0,0,4,2,0,2,0,4,2,4,2,0]"
49,1,1283.9680176621903,2535.3600000000006,"[0,0,0,4,0,0,0,2,0,4,4,2,4,0,4]"
50,1,1288.4006977639146,1530.15,"[2,0,2,0,0,0,0,0,4,4,2,0,0,0,4]"
51,1,1171.6693666322335,3081.82,"[2,2,4,4,0,2,0,0,0,2,2,4,4,0,0]"
52,1,1257.982469820951,3181.7400000000002,"[0,4,2,0,4,4,2,0,4,2,0,0,0,2,2]"
53,1,1285.3591438467147,3011.8100000000004,"[0,0,4,4,0,2,0,4,4,2,4,2,0,0,4]"
54,1,1198.512284539507,2742.8700000000003,"[2,0,2,0,0,0,0,2,0,0,4,4,4,4,0]"
55,1,1183.5679720888782,3566.7800000000007,"[2,4,2,4,0,2,4,4,4,0,0,0,4,2,0]"
56,1,1204.2006987907882,2493.09,"[2,0,2,4,0,0,2,2,0,2,2,2,4,0,0]"
57,1,1294.0235882686543,2505.2700000000004,"[0,2,2,0,0,0,0,2,0,2,0,4,0,4,4]"
58,1,1241.1125475978288,3458.0400000000004,"[2,0,2,0,4,0,2,2,4,2,2,2,0,4,4]"
59,1,1249.6072431184298,3350.8300000000004,"[0,0,2,0,0,4,2,4,2,2,4,2,2,4,0]"
60,1,1201.6324127524256,3130.0300000000007,"[2,4,4,0,0,0,4,4,4,2,0,0,2,2,0]"
61,1,1224.8179741143588,3174.59,"[2,2,4,0,0,4,4,4,2,0,0,2,2,0,0]"
62,1,1172.1551163638574,3334.0800000000004,"[2,0,4,4,2,4,0,4,0,0,0,0,4,0,4]"
63,1,1195.0573686982236,3447.55,"[2,0,2,2,0,0,4,2,2,4,4,4,4,0,2]"
64,1,1170.6451256810678,4950.670000000001,"[2,4,4,4,4,2,0,2,2,2,2,4,2,2,4]"
65,1,1178.2007332239573,4552.6,"[4,4,4,0,2,4,4,2,0,4,2,2,2,0,0]"
66,1,1276.526689757145,3260.4800000000005,"[2,2,0,0,0,4,2,0,4,2,4,2,2,2,4]"
67,1,1214.6143940774948,3884.6900000000005,"[2,2,0,4,4,4,4,0,4,2,0,0,4,2,2]"
68,1,1273.2057826298308,3185.1200000000003,"[0,4,2,4,0,2,2,2,4,2,2,0,0,2,4]"
69,1,1247.8308926292764,3087.6100000000006,"[4,4,0,0,2,0,4,2,0,0,4,0,2,0,0]"
70,1,1191.4402706042008,3758.41,"[0,4,2,0,2,4,0,4,2,0,4,2,4,0,2]"
71,1,1156.5466387150352,2977.76,"[4,2,4,4,0,0,2,0,2,2,4,0,4,0,0]"
72,1,1228.355705663129,3088.2300000000005,"[4,2,2,2,2,0,2,0,2,0,2,2,0,2,4]"
73,1,1266.8450741310864,1982.1300000000003,"[2,0,4,4,0,0,0,0,0,0,0,4,0,0,4]"
74,1,1248.181850036458,3808.2400000000002,"[0,2,2,0,4,2,2,0,0,4,2,4,0,4,2]"
75,1,1200.244115979016,3449.5700000000006,"[0,0,4,4,2,0,0,4,0,0,2,4,2,4,2]"
76,1,1196.5058090782038,3964.210000000001,"[2,2,2,4,4,2,4,0,0,2,2,4,2,0,0]"
77,1,1329.1372739057342,2196.4500000000003,"[0,0,0,0,4,0,2,4,0,0,2,0,2,0,2]"
78,1,1268.7682390828809,2847.0300000000007,"[0,2,2,4,2,4,0,0,0,0,4,0,0,2,2]"
79,1,1170.2323975613215,3972.7600000000007,"[4,0,4,4,4,0,4,0,0,2,2,4,2,0,2]"
80,1,1298.2437322774042,3534.7400000000002,"[0,2,2,0,0,4,0,4,2,4,2,4,0,4,0]"
81,2,1259.5984414242891,3255.0200000000004,"[2,4,2,4,2,0,0,4,2,4,0,2,0,0,0]"
82,2,1195.7636345222902,3243.07,"[0,0,2,4,4,4,0,0,0,0,4,2,4,0,2]"
83,2,1139.2092321403254,5368.43,"[4,4,2,4,2,0,4,4,0,2,2,4,4,4,2]"
84,2,1255.9236059630148,2030.6400000000003,"[0,0,2,4,0,0,2,2,2,2,2,2,2,0,0]"
85,2,1201.4605922505114,3353.61,"[4,0,2,4,4,2,4,0,4,0,0,0,2,2,2]"
86,2,1167.387006542302,4740.510000000001,"[2,4,4,0,0,4,2,4,2,2,2,4,4,4,0]"
87,2,1247.1249797456048,1596.2900000000002,"[4,2,4,0,0,0,0,0,0,0,0,0,0,2,0]"
88,2,1318.7388396021954,1686.3600000000004,"[0,0,0,0,0,0,4,2,0,2,2,2,2,0,0]"
89,2,1266.1462023008994,1090.3100000000002,"[2,0,4,0,2,0,0,0,0,0,0,0,0,0,0]"
90,2,1249.0752314111521,2951.3900000000003,"[2,0,0,4,2,4,0,4,2,0,0,0,4,0,4]"
91,2,1244.053775419266,3399.1900000000005,"[2,2,4,4,0,0,0,2,0,0,2,4,0,4,4]"
92,2,1373.6000607631856,856.75,"[2,0,0,0,0,2,2,0,4,0,0,0,0,0,0]"
93,2,1176.8783111543214,3959.6000000000004,"[4,4,4,4,2,0,4,4,2,0,0,2,2,0,0]"
94,2,1260.1597537015657,2649.42,"[2,2,0,0,0,4,2,2,0,0,2,2,4,0,0]"
95,2,1239.5903404832798,2930.7100000000005,"[2,0,0,0,0,0,4,4,4,0,4,2,4,2,2]"
96,2,1330.887863320573,1710.7900000000002,"[0,4,0,0,0,0,0,4,4,0,2,0,2,0,0]"
97,2,1194.1852028518767,2213.8900000000003,"[2,0,2,0,4,0,0,0,0,4,0,0,4,0,2]"
98,2,1211.0167203419012,2292.2900000000004,"[0,0,2,0,2,0,0,2,0,0,4,4,4,0,0]"
