sim_call,batch,evac,cost_proxy,widths
1,0,1445.8060574449555,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1284.9491685065525,2026.1000000000001,"[2,0,2,2,0,2,4,0,2,0,0,2,0,2,0]"
3,0,1211.8755028459154,3500.3900000000003,"[2,0,4,0,2,4,2,2,0,2,0,0,2,4,4]"
4,0,1257.4184781948188,3346.7200000000007,"[4,0,2,0,4,2,4,2,0,2,4,0,0,0,0]"
5,0,1207.8746784419372,3229.8,"[2,2,4,2,0,0,2,0,0,4,0,4,2,2,4]"
6,0,1192.3493842289697,3197.51,"[4,2,4,2,0,4,4,0,0,0,0,0,2,2,2]"
7,0,1360.943332860702,4072.6300000000006,"[0,4,0,0,0,4,4,2,0,4,4,4,0,4,0]"
8,0,1222.3496951528286,3054.0200000000004,"[0,0,2,2,2,0,4,2,4,0,4,2,2,4,0]"
9,0,1200.2845611618627,3580.1800000000003,"[4,4,2,2,4,0,0,2,4,2,0,0,2,2,2]"
10,0,1173.6698697563247,3545.84,"[0,4,2,2,4,0,2,0,2,0,0,4,4,4,0]"
11,0,1351.426831614981,3977.4200000000005,"[0,4,0,2,2,2,0,2,4,4,4,4,0,2,4]"
12,0,1248.157794364885,4460.43,"[4,0,0,4,2,2,4,0,2,2,4,4,2,4,4]"
13,0,1213.5198424112295,3791.09,"[2,2,0,4,2,4,2,0,2,0,4,0,4,4,2]"
14,0,1222.327634750552,4675.170000000001,"[4,4,4,0,2,4,4,4,2,2,0,2,0,2,2]"
15,0,1243.5869513257308,2872.4400000000005,"[4,0,2,2,2,0,2,2,4,0,2,0,0,4,2]"
16,0,1242.2045311835361,4560.410000000001,"[4,4,2,0,4,4,2,4,0,4,0,2,0,0,2]"
17,0,1259.137168060929,3648.21,"[2,4,0,0,2,2,2,4,4,0,2,0,2,4,2]"
18,0,1252.3920942291722,3976.4900000000002,"[4,2,0,0,4,0,4,4,0,4,0,0,2,2,4]"
19,0,1260.9648038242622,3606.6000000000004,"[0,4,2,2,4,0,2,4,0,2,0,0,0,4,2]"
20,0,1166.7272863537848,4515.370000000001,"[4,2,2,0,2,4,4,4,4,0,2,4,4,0,2]"
21,1,1275.5773359800685,3066.6800000000003,"[4,0,2,2,2,0,2,2,4,0,2,4,0,0,4]"
22,1,1151.103058599526,4493.860000000001,"[4,2,2,0,2,4,4,4,4,0,2,0,4,4,2]"
23,1,1283.6319350199517,2026.1000000000001,"[2,0,2,2,0,2,4,0,2,0,0,2,0,2,0]"
24,1,1252.1802689947133,3976.55,"[4,0,0,4,2,2,4,0,2,2,0,4,2,4,4]"
25,1,1178.6038728756912,3566.59,"[4,2,2,4,2,4,0,2,4,0,2,0,4,0,2]"
