gen,id,evac,cost,rank,widths
1,1,1422.67,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1160.34,3087.68,0,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
1,3,1152.96,4073.93,0,"[2,4,4,4,0,2,4,4,4,0,0,0,4,2,4]"
1,4,1175.21,2417.17,0,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
1,5,1406.67,889.24,0,"[0,0,0,0,0,4,0,0,0,0,0,0,0,2,0]"
1,6,1296.0,1377.08,0,"[0,0,2,0,0,0,4,0,0,4,0,2,0,0,0]"
1,7,1138.0,5337.78,0,"[4,4,2,0,4,0,4,4,2,0,2,4,4,4,4]"
1,8,1211.82,2305.49,0,"[2,2,2,2,2,0,2,0,0,0,4,0,2,0,0]"
1,9,1174.81,3069.67,0,"[0,2,2,2,2,0,2,0,2,0,4,2,4,2,4]"
1,10,1233.44,1884.73,0,"[0,2,2,2,2,0,0,0,4,0,2,0,2,0,4]"
1,11,1168.0,3532.87,1,"[2,0,4,4,0,2,0,0,0,2,4,4,4,4,0]"
1,12,1167.43,3763.66,1,"[2,0,4,4,2,4,4,4,0,0,0,2,4,0,0]"
1,13,1160.88,4216.22,1,"[2,4,4,4,2,4,2,4,2,0,0,2,4,0,0]"
1,14,1181.78,2612.3,1,"[4,2,4,4,0,0,4,0,0,0,0,0,2,2,0]"
1,15,1205.57,2605.47,1,"[0,4,4,2,2,0,0,0,4,4,0,0,2,0,4]"
1,16,1335.58,1646.05,1,"[0,0,0,4,0,0,2,0,0,0,2,2,2,0,4]"
1,17,1158.01,5424.15,1,"[2,4,2,4,2,4,4,2,2,4,4,4,4,2,0]"
1,18,1229.76,2431.75,1,"[0,2,4,2,0,0,0,4,0,2,2,2,2,0,0]"
1,19,1223.77,2492.28,1,"[0,4,2,4,2,0,2,0,4,4,0,0,2,0,0]"
1,20,1272.62,2273.79,1,"[2,0,2,0,0,0,0,0,0,4,2,4,0,4,0]"
1,21,1174.41,3623.82,2,"[2,0,4,2,4,0,0,0,2,4,2,4,2,4,0]"
1,22,1199.9,2802.69,2,"[0,4,2,0,4,0,0,2,2,0,4,0,4,0,0]"
1,23,1199.25,3028.71,2,"[2,0,4,4,2,0,4,2,2,0,0,2,2,0,4]"
1,24,1206.32,2605.47,2,"[0,4,4,2,2,0,0,0,4,4,0,0,2,0,4]"
1,25,1435.67,1850.52,2,"[0,0,0,0,0,0,0,2,4,4,4,2,0,0,4]"
1,26,1335.97,2088.29,2,"[2,0,0,0,0,0,4,0,0,4,0,0,0,4,4]"
1,27,1231.49,2550.15,2,"[2,0,4,0,0,4,4,4,0,0,0,0,2,0,0]"
1,28,1273.77,2510.08,2,"[0,2,0,0,0,0,0,2,4,4,4,2,4,0,4]"
1,29,1177.86,3870.3,3,"[4,2,4,0,2,4,0,2,0,0,2,2,2,4,0]"
1,30,1175.55,3901.07,3,"[4,2,2,4,4,4,2,0,2,4,0,0,4,0,0]"
1,31,1193.95,3627.23,3,"[0,4,4,4,4,0,2,0,0,4,0,4,2,0,0]"
1,32,1202.64,2935.9,3,"[2,0,2,4,0,0,2,2,0,2,2,4,4,0,2]"
1,33,1202.33,3424.09,3,"[4,2,4,0,0,4,0,2,0,2,2,2,2,2,0]"
1,34,1220.67,2771.22,3,"[0,0,2,2,4,0,4,0,2,4,2,2,2,0,0]"
1,35,1435.99,1850.52,3,"[0,0,0,0,0,0,0,2,4,4,4,2,0,0,4]"
1,36,1183.89,5779.54,4,"[2,4,2,2,4,2,4,4,2,4,4,4,2,2,4]"
1,37,1342.0,2882.11,4,"[0,2,0,0,4,4,2,0,4,2,2,0,0,2,2]"
1,38,1194.41,4071.03,4,"[4,2,2,2,4,0,4,2,0,4,0,0,2,2,4]"
1,39,1260.17,2967.49,4,"[2,2,0,4,0,0,2,4,2,0,4,2,4,0,0]"
1,40,1220.13,3076.12,4,"[0,2,2,4,4,0,2,0,0,0,2,4,2,0,2]"
2,41,1422.67,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,42,1160.34,3087.68,0,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
2,43,1152.96,4073.93,0,"[2,4,4,4,0,2,4,4,4,0,0,0,4,2,4]"
2,44,1175.21,2417.17,0,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
2,45,1138.0,5337.78,0,"[4,4,2,0,4,0,4,4,2,0,2,4,4,4,4]"
2,46,1211.82,2305.49,0,"[2,2,2,2,2,0,2,0,0,0,4,0,2,0,0]"
2,47,1233.44,1884.73,0,"[0,2,2,2,2,0,0,0,4,0,2,0,2,0,4]"
2,48,1159.63,4030.94,0,"[0,2,4,0,4,0,4,4,2,0,2,4,4,2,0]"
2,49,1291.84,1194.26,0,"[0,2,2,0,0,0,2,0,0,4,0,0,0,0,0]"
2,50,1142.38,4724.58,0,"[0,2,4,2,4,0,4,4,2,2,2,2,4,4,4]"
2,51,1279.31,1565.44,0,"[0,0,0,4,0,0,2,0,0,0,0,2,4,0,4]"
2,52,1308.38,672.54,0,"[0,0,2,0,0,0,4,0,0,0,0,0,0,0,0]"
2,53,1406.12,475.43,0,"[0,0,0,0,0,0,2,0,0,0,2,0,0,0,0]"
2,54,1166.58,2946.93,0,"[2,2,4,2,2,0,0,0,0,4,0,4,4,0,0]"
2,55,1149.04,4641.69,0,"[2,4,4,4,0,4,2,4,2,0,2,0,4,4,4]"
2,56,1275.97,1644.23,0,"[2,0,4,0,0,0,0,0,0,4,2,2,0,0,0]"
2,57,1175.37,2417.17,1,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
2,58,1233.99,1884.73,1,"[0,2,2,2,2,0,0,0,4,0,2,0,2,0,4]"
2,59,1160.88,4216.22,1,"[2,4,4,4,2,4,2,4,2,0,0,2,4,0,0]"
2,60,1296.0,1377.08,1,"[0,0,2,0,0,0,4,0,0,4,0,2,0,0,0]"
2,61,1295.87,1448.89,1,"[0,0,2,0,0,0,0,0,0,4,0,2,0,4,0]"
2,62,1147.18,5140.83,1,"[4,4,2,0,4,2,4,4,4,0,0,4,4,2,4]"
2,63,1329.98,1025.06,1,"[0,0,2,0,0,0,0,2,0,0,2,2,0,0,0]"
2,64,1347.15,833.01,1,"[0,0,0,4,0,0,0,0,0,0,0,2,2,0,0]"
2,65,1174.81,3069.67,1,"[0,2,2,2,2,0,2,0,2,0,4,2,4,2,4]"
2,66,1166.87,3168.51,1,"[4,4,2,0,0,0,0,0,2,0,2,4,4,4,0]"
2,67,1159.76,4752.72,1,"[0,4,2,0,4,0,4,4,2,0,2,4,4,4,4]"
2,68,1158.01,5424.15,2,"[2,4,2,4,2,4,4,2,2,4,4,4,4,2,0]"
2,69,1406.67,889.24,2,"[0,0,0,0,0,4,0,0,0,0,0,0,0,2,0]"
2,70,1335.35,1646.05,2,"[0,0,0,4,0,0,2,0,0,0,2,2,2,0,4]"
2,71,1281.17,1921.19,2,"[0,0,2,0,0,0,4,0,0,4,0,2,0,4,0]"
2,72,1272.62,2273.79,2,"[2,0,2,0,0,0,0,0,0,4,2,4,0,4,0]"
2,73,1180.33,3188.01,2,"[4,0,2,2,4,0,0,2,2,2,2,0,4,0,4]"
2,74,1181.78,2612.3,2,"[4,2,4,4,0,0,4,0,0,0,0,0,2,2,0]"
2,75,1229.76,2431.75,2,"[0,2,4,2,0,0,0,4,0,2,2,2,2,0,0]"
2,76,1164.21,4473.12,2,"[2,0,4,4,2,4,4,4,0,4,0,4,4,0,0]"
2,77,1167.43,3763.66,2,"[2,0,4,4,2,4,4,4,0,0,0,2,4,0,0]"
2,78,1205.06,2521.88,2,"[0,2,4,4,0,0,4,0,0,2,0,2,2,2,0]"
2,79,1168.0,3532.87,2,"[2,0,4,4,0,2,0,0,0,2,4,4,4,4,0]"
2,80,1164.22,4443.39,2,"[4,4,2,4,4,2,0,0,4,4,0,4,4,0,2]"
3,81,1422.67,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
3,82,1175.21,2417.17,0,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
3,83,1138.0,5337.78,0,"[4,4,2,0,4,0,4,4,2,0,2,4,4,4,4]"
3,84,1291.84,1194.26,0,"[0,2,2,0,0,0,2,0,0,4,0,0,0,0,0]"
3,85,1142.38,4724.58,0,"[0,2,4,2,4,0,4,4,2,2,2,2,4,4,4]"
3,86,1308.38,672.54,0,"[0,0,2,0,0,0,4,0,0,0,0,0,0,0,0]"
3,87,1406.12,475.43,0,"[0,0,0,0,0,0,2,0,0,0,2,0,0,0,0]"
3,88,1166.58,2946.93,0,"[2,2,4,2,2,0,0,0,0,4,0,4,4,0,0]"
3,89,1149.04,4641.69,0,"[2,4,4,4,0,4,2,4,2,0,2,0,4,4,4]"
3,90,1198.73,1554.29,0,"[0,0,4,0,0,0,2,0,4,0,0,2,4,2,0]"
3,91,1160.04,3087.68,0,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
3,92,1288.13,1300.76,0,"[0,4,2,0,0,0,0,0,0,4,0,0,0,0,0]"
3,93,1187.08,1940.74,0,"[0,0,4,4,0,0,0,0,0,0,0,2,4,4,0]"
3,94,1146.12,4696.34,0,"[0,2,4,2,4,0,2,4,2,4,2,2,4,4,4]"
3,95,1388.58,596.23,0,"[0,0,0,2,2,0,0,0,4,0,0,0,0,0,0]"
3,96,1292.65,1096.73,0,"[0,0,2,0,0,0,4,0,0,4,0,0,0,0,0]"
3,97,1184.93,2351.93,0,"[0,4,2,0,0,0,0,0,4,0,2,0,4,4,4]"
3,98,1152.43,3356.29,0,"[2,2,2,2,2,0,2,0,2,0,4,0,4,4,4]"
3,99,1299.4,913.81,0,"[0,0,2,0,0,0,4,0,0,0,2,0,0,0,0]"
3,100,1265.93,1430.63,0,"[0,2,0,2,0,0,2,0,0,0,0,0,4,0,4]"
3,101,1175.37,2417.17,1,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
3,102,1138.67,5337.78,1,"[4,4,2,0,4,0,4,4,2,0,2,4,4,4,4]"
3,103,1326.06,790.92,1,"[0,0,2,0,0,2,0,0,0,0,0,2,0,0,0]"
3,104,1411.3,583.49,1,"[0,0,0,0,0,0,2,0,0,0,0,0,0,0,4]"
3,105,1174.81,3069.67,1,"[0,2,2,2,2,0,2,0,2,0,4,2,4,2,4]"
3,106,1233.44,1884.73,1,"[0,2,2,2,2,0,0,0,4,0,2,0,2,0,4]"
3,107,1259.1,1658.29,1,"[2,0,2,0,2,0,0,0,2,0,4,0,0,2,0]"
3,108,1160.34,3087.68,1,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
