gen,id,evac,cost,rank,widths
1,1,1419.41,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1273.83,2273.79,0,"[2,0,2,0,0,0,0,0,0,4,2,4,0,4,0]"
1,3,1160.21,3087.68,0,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
1,4,1153.52,4073.93,0,"[2,4,4,4,0,2,4,4,4,0,0,0,4,2,4]"
1,5,1175.81,2417.17,0,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
1,6,1293.09,1815.87,0,"[2,0,2,0,0,0,2,2,0,2,0,4,0,0,0]"
1,7,1393.42,480.72,0,"[0,0,0,0,0,0,4,0,2,0,0,0,0,0,0]"
1,8,1163.31,2659.63,0,"[2,0,2,0,2,0,4,0,2,4,2,0,4,2,0]"
1,9,1286.53,2128.07,0,"[2,0,2,0,0,0,0,4,0,0,4,0,0,4,0]"
1,10,1322.8,566.33,0,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,4]"
1,11,1161.92,3350.31,1,"[2,0,4,4,0,0,0,0,0,4,2,4,4,4,2]"
1,12,1154.79,4354.28,1,"[2,4,4,4,0,2,4,4,4,0,0,2,4,2,4]"
1,13,1231.39,2431.75,1,"[0,2,4,2,0,0,0,4,0,2,2,2,2,0,0]"
1,14,1205.39,2605.47,1,"[0,4,4,2,2,0,0,0,4,4,0,0,2,0,4]"
1,15,1200.07,2935.9,1,"[2,0,2,4,0,0,2,2,0,2,2,4,4,0,2]"
1,16,1200.33,2802.69,1,"[0,4,2,0,4,0,0,2,2,0,4,0,4,0,0]"
1,17,1195.93,2959.96,1,"[0,0,4,2,4,0,4,0,0,4,2,2,2,0,0]"
1,18,1193.83,3121.26,1,"[0,4,2,0,4,0,0,2,2,0,4,0,4,0,4]"
1,19,1335.08,1646.05,1,"[0,0,0,4,0,0,2,0,0,0,2,2,2,0,4]"
1,20,1407.78,889.24,1,"[0,0,0,0,0,4,0,0,0,0,0,0,0,2,0]"
1,21,1402.54,1437.66,1,"[0,0,0,0,0,0,0,0,0,4,0,4,0,2,2]"
1,22,1166.9,3532.87,2,"[2,0,4,4,0,2,0,0,0,2,4,4,4,4,0]"
1,23,1166.74,3763.66,2,"[2,0,4,4,2,4,4,4,0,0,0,2,4,0,0]"
1,24,1232.45,2550.15,2,"[2,0,4,0,0,4,4,4,0,0,0,0,2,0,0]"
1,25,1205.79,2605.47,2,"[0,4,4,2,2,0,0,0,4,4,0,0,2,0,4]"
1,26,1199.12,3028.71,2,"[2,0,4,4,2,0,4,2,2,0,0,2,2,0,4]"
1,27,1433.22,1850.52,2,"[0,0,0,0,0,0,0,2,4,4,4,2,0,0,4]"
1,28,1166.84,3763.66,3,"[2,0,4,4,2,4,4,4,0,0,0,2,4,0,0]"
1,29,1205.91,2605.47,3,"[0,4,4,2,2,0,0,0,4,4,0,0,2,0,4]"
1,30,1202.54,3595.07,3,"[4,2,2,4,4,0,2,0,0,4,4,0,2,0,0]"
