gen,id,evac,cost,rank,widths
1,1,1422.13,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1165.96,2596.14,0,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
1,3,1132.47,4556.4,0,"[0,2,4,4,2,2,4,0,0,4,2,4,4,4,2]"
1,4,1239.0,2144.13,0,"[4,4,4,0,0,2,0,0,0,0,0,0,0,0,2]"
1,5,1339.75,1734.51,0,"[4,0,0,0,0,2,0,0,0,2,0,0,0,2,4]"
1,6,1421.65,565.62,0,"[0,0,0,0,0,0,0,0,0,0,0,4,0,0,0]"
1,7,1216.14,2485.06,0,"[4,2,2,0,0,4,2,0,2,0,0,0,2,0,4]"
1,8,1419.06,853.04,0,"[0,0,0,2,0,0,0,0,0,4,2,0,0,0,0]"
1,9,1242.03,1940.63,0,"[4,0,4,0,4,0,0,0,0,0,0,0,0,0,2]"
1,10,1162.09,2833.41,0,"[4,2,2,2,0,2,4,0,0,0,2,0,4,0,2]"
1,11,1145.23,3656.81,0,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,4]"
1,12,1167.18,2596.14,1,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
1,13,1340.97,1734.51,1,"[4,0,0,0,0,2,0,0,0,2,0,0,0,2,4]"
1,14,1255.1,2418.63,1,"[4,0,2,0,0,2,0,0,0,2,4,0,0,2,4]"
1,15,1255.97,2274.48,1,"[0,0,4,4,0,0,2,0,4,0,2,4,0,2,2]"
1,16,1165.77,2881.48,1,"[2,0,4,4,2,0,4,0,4,2,0,0,2,4,0]"
1,17,1148.88,4344.33,1,"[4,4,2,4,4,2,4,0,4,4,0,0,4,0,2]"
1,18,1145.94,4789.04,1,"[0,2,4,2,4,4,2,4,2,2,4,0,4,2,4]"
1,19,1147.06,4608.9,1,"[0,0,4,4,4,2,2,4,0,2,4,2,4,2,4]"
1,20,1153.61,3712.83,1,"[4,0,4,2,0,4,0,0,2,4,0,2,4,4,4]"
1,21,1148.44,4498.62,1,"[4,4,2,2,4,4,0,0,0,4,2,2,4,0,2]"
1,22,1149.82,3998.64,1,"[2,2,4,0,4,2,4,4,0,2,2,0,4,0,0]"
1,23,1207.85,2623.12,2,"[0,0,2,4,2,0,0,2,4,4,0,4,4,0,0]"
1,24,1174.04,2799.64,2,"[0,4,4,2,0,2,0,0,4,4,0,2,4,0,2]"
1,25,1309.14,2456.43,2,"[4,0,0,0,2,2,0,0,4,4,0,2,0,2,2]"
1,26,1168.73,3243.85,2,"[2,0,2,4,4,2,4,0,2,2,2,0,4,0,0]"
1,27,1160.9,3891.4,2,"[0,4,2,0,4,0,0,2,2,2,4,2,4,2,4]"
1,28,1159.31,4294.28,2,"[0,4,2,2,4,4,4,0,0,4,0,0,4,2,4]"
1,29,1150.4,4907.3,2,"[0,4,4,4,4,2,2,4,0,4,4,2,4,0,0]"
1,30,1300.93,2653.48,3,"[0,0,0,4,2,2,0,4,0,0,2,2,2,2,0]"
1,31,1220.86,2828.53,3,"[2,2,2,0,2,0,4,0,4,4,2,0,0,2,2]"
1,32,1199.67,2843.52,3,"[0,2,4,2,0,0,2,0,2,4,2,4,2,2,0]"
1,33,1193.55,3116.43,3,"[0,0,2,2,0,2,2,0,2,4,2,4,4,2,4]"
1,34,1178.93,3319.67,3,"[0,2,4,4,4,0,0,0,2,4,0,2,2,4,0]"
1,35,1175.27,3597.78,3,"[0,0,2,4,4,2,0,0,2,4,0,2,4,4,4]"
1,36,1176.64,3568.17,3,"[0,0,2,4,4,2,0,4,0,0,2,2,4,2,2]"
1,37,1163.73,4722.76,3,"[4,4,2,4,2,4,0,2,0,4,2,4,4,0,0]"
1,38,1156.31,4985.97,3,"[4,4,4,2,4,0,0,4,2,4,0,2,2,4,4]"
1,39,1225.83,2869.11,4,"[4,4,4,0,2,0,0,4,0,2,0,0,0,0,0]"
1,40,1158.95,5154.4,4,"[2,2,4,0,4,4,4,0,4,4,4,2,2,4,4]"
2,41,1422.13,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,42,1165.96,2596.14,0,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
2,43,1132.47,4556.4,0,"[0,2,4,4,2,2,4,0,0,4,2,4,4,4,2]"
2,44,1339.75,1734.51,0,"[4,0,0,0,0,2,0,0,0,2,0,0,0,2,4]"
2,45,1421.65,565.62,0,"[0,0,0,0,0,0,0,0,0,0,0,4,0,0,0]"
2,46,1419.06,853.04,0,"[0,0,0,2,0,0,0,0,0,4,2,0,0,0,0]"
2,47,1162.09,2833.41,0,"[4,2,2,2,0,2,4,0,0,0,2,0,4,0,2]"
2,48,1145.23,3656.81,0,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,4]"
2,49,1174.91,1988.27,0,"[0,0,4,0,4,0,0,0,4,0,0,2,4,0,2]"
2,50,1137.64,3896.95,0,"[0,2,4,4,2,2,2,0,0,0,2,4,4,4,2]"
2,51,1357.59,1386.96,0,"[4,0,0,4,0,0,0,0,0,4,0,0,0,0,0]"
2,52,1148.5,3305.53,0,"[0,0,4,2,4,0,0,0,4,4,0,2,4,4,4]"
2,53,1146.24,3491.53,0,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,2]"
2,54,1205.6,1885.92,0,"[0,0,2,0,0,0,0,2,4,4,0,0,4,2,4]"
2,55,1241.57,1754.19,0,"[0,0,2,0,0,2,0,0,0,2,2,0,2,2,4]"
2,56,1426.6,8.42,1,"[0,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
2,57,1167.07,2596.14,1,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
2,58,1136.28,4580.93,1,"[4,4,2,2,4,2,4,0,0,4,0,0,4,2,4]"
2,59,1340.97,1734.51,1,"[4,0,0,0,0,2,0,0,0,2,0,0,0,2,4]"
2,60,1419.72,853.04,1,"[0,0,0,2,0,0,0,0,0,4,2,0,0,0,0]"
2,61,1165.77,2881.48,1,"[2,0,4,4,2,0,4,0,4,2,0,0,2,4,0]"
2,62,1188.07,2406.32,1,"[4,0,2,4,0,0,0,0,2,0,0,4,4,0,4]"
2,63,1176.37,2524.68,1,"[4,0,2,4,0,2,4,0,0,0,2,0,4,0,0]"
2,64,1147.22,3656.81,1,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,4]"
2,65,1207.7,1946.16,1,"[0,0,2,0,2,0,0,0,4,4,0,4,4,0,0]"
2,66,1242.03,1940.63,1,"[4,0,4,0,4,0,0,0,0,0,0,0,0,0,2]"
2,67,1243.69,1891.58,1,"[0,2,2,0,0,4,2,0,0,0,0,0,2,0,4]"
2,68,1167.18,2596.14,2,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
2,69,1145.94,4789.04,2,"[0,2,4,2,4,4,2,4,2,2,4,0,4,2,4]"
2,70,1147.06,4608.9,2,"[0,0,4,4,4,2,2,4,0,2,4,2,4,2,4]"
2,71,1166.02,2881.48,2,"[2,0,4,4,2,0,4,0,4,2,0,0,2,4,0]"
2,72,1148.88,4344.33,2,"[4,4,2,4,4,2,4,0,4,4,0,0,4,0,2]"
2,73,1153.61,3712.83,2,"[4,0,4,2,0,4,0,0,2,4,0,2,4,4,4]"
2,74,1148.44,4498.62,2,"[4,4,2,2,4,4,0,0,0,4,2,2,4,0,2]"
2,75,1149.82,3998.64,2,"[2,2,4,0,4,2,4,4,0,2,2,0,4,0,0]"
2,76,1216.14,2485.06,2,"[4,2,2,0,0,4,2,0,2,0,0,0,2,0,4]"
2,77,1229.6,2081.06,2,"[0,2,2,0,2,0,2,2,4,4,0,0,2,0,0]"
2,78,1225.78,2121.08,2,"[4,0,0,2,0,0,2,0,2,2,0,0,4,4,0]"
2,79,1355.25,1961.06,2,"[4,0,0,2,0,0,0,0,0,4,4,2,0,0,0]"
2,80,1150.4,4907.3,3,"[0,4,4,4,4,2,2,4,0,4,4,2,4,0,0]"
3,81,1422.13,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
3,82,1421.65,565.62,0,"[0,0,0,0,0,0,0,0,0,0,0,4,0,0,0]"
3,83,1162.09,2833.41,0,"[4,2,2,2,0,2,4,0,0,0,2,0,4,0,2]"
3,84,1145.23,3656.81,0,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,4]"
3,85,1137.64,3896.95,0,"[0,2,4,4,2,2,2,0,0,0,2,4,4,4,2]"
3,86,1148.5,3305.53,0,"[0,0,4,2,4,0,0,0,4,4,0,2,4,4,4]"
3,87,1146.24,3491.53,0,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,2]"
3,88,1158.98,3068.44,0,"[0,0,4,2,4,0,4,0,4,4,0,2,4,0,2]"
3,89,1356.74,593.48,0,"[4,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
3,90,1164.48,1876.83,0,"[0,2,4,0,2,0,0,0,0,0,2,0,4,0,2]"
3,91,1278.44,1674.32,0,"[0,0,4,0,4,2,0,0,2,0,0,0,0,0,2]"
3,92,1148.14,3391.66,0,"[4,0,4,2,2,0,4,0,4,2,2,0,2,4,2]"
3,93,1239.06,1754.19,0,"[0,0,2,0,0,2,0,0,0,2,2,0,2,2,4]"
3,94,1297.44,1404.01,0,"[0,0,2,0,0,2,0,0,0,0,0,0,0,4,4]"
3,95,1120.82,4427.69,0,"[4,2,4,4,2,2,2,0,0,2,2,4,4,2,2]"
3,96,1311.69,1376.39,0,"[0,0,2,2,0,0,0,0,0,4,0,4,0,0,0]"
3,97,1131.12,4371.32,0,"[0,2,4,2,2,2,4,0,0,4,2,4,4,4,2]"
3,98,1426.6,8.42,1,"[0,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
3,99,1147.22,3656.81,1,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,4]"
3,100,1406.65,624.83,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,2,4]"
3,101,1358.7,1358.58,1,"[4,0,0,0,0,0,0,0,0,4,0,0,0,0,4]"
3,102,1165.96,2596.14,1,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
3,103,1174.91,1988.27,1,"[0,0,4,0,4,0,0,0,4,0,0,2,4,0,2]"
3,104,1205.6,1885.92,1,"[0,0,2,0,0,0,0,2,4,4,0,0,4,2,4]"
3,105,1165.77,2881.48,1,"[2,0,4,4,2,0,4,0,4,2,0,0,2,4,0]"
3,106,1169.16,2171.95,1,"[0,0,4,2,4,0,0,0,4,0,0,2,4,0,2]"
3,107,1155.16,3485.08,1,"[4,0,2,4,4,2,4,0,4,0,2,0,4,0,2]"
3,108,1241.57,1754.19,1,"[0,0,2,0,0,2,0,0,0,2,2,0,2,2,4]"
3,109,1339.75,1734.51,1,"[4,0,0,0,0,2,0,0,0,2,0,0,0,2,4]"
3,110,1357.59,1386.96,1,"[4,0,0,4,0,0,0,0,0,4,0,0,0,0,0]"
3,111,1356.83,1675.3,1,"[4,0,0,0,0,2,0,0,0,2,0,4,0,0,0]"
3,112,1132.47,4556.4,1,"[0,2,4,4,2,2,4,0,0,4,2,4,4,4,2]"
3,113,1416.0,853.04,2,"[0,0,0,2,0,0,0,0,0,4,2,0,0,0,0]"
3,114,1136.28,4580.93,2,"[4,4,2,2,4,2,4,0,0,4,0,0,4,2,4]"
3,115,1359.89,1459.01,2,"[4,0,0,0,0,2,0,0,0,2,0,0,0,0,4]"
3,116,1153.61,3712.83,2,"[4,0,4,2,0,4,0,0,2,4,0,2,4,4,4]"
3,117,1166.02,2881.48,2,"[2,0,4,4,2,0,4,0,4,2,0,0,2,4,0]"
3,118,1288.46,1784.05,2,"[0,0,0,2,0,0,0,2,0,4,2,2,4,0,0]"
3,119,1207.7,1946.16,2,"[0,0,2,0,2,0,0,0,4,4,0,4,4,0,0]"
3,120,1181.49,2206.37,2,"[0,2,4,2,0,4,0,0,0,0,0,0,4,0,4]"
4,121,1356.74,593.48,0,"[4,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
4,122,1164.48,1876.83,0,"[0,2,4,0,2,0,0,0,0,0,2,0,4,0,2]"
4,123,1143.71,3069.33,0,"[4,2,4,0,2,2,0,0,4,0,2,2,4,0,2]"
4,124,1147.16,2789.3,0,"[4,2,4,2,0,2,4,0,0,0,0,0,4,0,2]"
4,125,1288.37,634.22,0,"[0,0,4,0,0,0,2,0,0,0,0,0,0,0,0]"
4,126,1225.2,1525.46,0,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,2]"
4,127,1116.86,4253.22,0,"[4,0,4,2,4,2,4,0,4,2,2,0,4,4,2]"
4,128,1130.37,3728.66,0,"[4,4,4,2,2,0,4,0,4,2,0,2,4,0,2]"
4,129,1304.51,632.85,0,"[0,0,2,0,0,0,0,0,2,4,0,0,0,0,0]"
4,130,1207.92,1775.09,0,"[0,0,2,2,0,0,2,0,0,0,2,4,4,0,0]"
4,131,1164.08,2042.11,0,"[0,2,4,0,2,0,0,0,0,0,2,0,4,0,4]"
4,132,1135.75,3202.12,0,"[4,2,4,2,4,0,0,0,0,0,2,0,4,0,4]"
4,133,1420.14,565.62,0,"[0,0,0,0,0,0,0,0,0,0,0,4,0,0,0]"
4,134,1421.69,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
4,135,1405.76,624.83,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,2,4]"
4,136,1174.91,1988.27,1,"[0,0,4,0,4,0,0,0,4,0,0,2,4,0,2]"
4,137,1205.6,1885.92,1,"[0,0,2,0,0,0,0,2,4,4,0,0,4,2,4]"
4,138,1189.02,1980.4,1,"[0,0,2,0,4,0,4,0,4,0,0,0,4,0,2]"
4,139,1162.09,2833.41,1,"[4,2,2,2,0,2,4,0,0,0,2,0,4,0,2]"
4,140,1153.65,3026.39,1,"[0,0,4,2,4,2,0,0,4,0,0,2,4,4,2]"
4,141,1297.44,1404.01,1,"[0,0,2,0,0,2,0,0,0,0,0,0,0,4,4]"
4,142,1285.82,1568.27,1,"[0,0,4,0,0,2,0,0,4,0,0,4,0,2,0]"
4,143,1238.31,1754.19,1,"[0,0,2,0,0,2,0,0,0,2,2,0,2,2,4]"
4,144,1253.37,1568.8,1,"[0,0,4,2,0,0,0,0,4,4,0,0,0,4,0]"
4,145,1120.82,4427.69,1,"[4,2,4,4,2,2,2,0,0,2,2,4,4,2,2]"
4,146,1131.12,4371.32,1,"[0,2,4,2,2,2,4,0,0,4,2,4,4,4,2]"
4,147,1311.69,1376.39,1,"[0,0,2,2,0,0,0,0,0,4,0,4,0,0,0]"
4,148,1336.42,795.14,1,"[0,0,0,2,0,0,0,0,2,4,0,0,2,0,0]"
4,149,1165.96,2596.14,1,"[0,0,4,2,4,0,0,0,4,4,0,2,4,0,2]"
4,150,1168.3,2171.95,1,"[0,0,4,2,4,0,0,0,4,0,0,2,4,0,2]"
4,151,1145.23,3656.81,1,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,4]"
4,152,1137.64,3896.95,1,"[0,2,4,4,2,2,2,0,0,0,2,4,4,4,2]"
4,153,1148.5,3305.53,1,"[0,0,4,2,4,0,0,0,4,4,0,2,4,4,4]"
4,154,1146.24,3491.53,1,"[4,0,4,2,4,2,0,0,4,4,0,2,4,0,2]"
4,155,1148.14,3391.66,1,"[4,0,4,2,2,0,4,0,4,2,2,0,2,4,2]"
4,156,1421.65,565.62,1,"[0,0,0,0,0,0,0,0,0,0,0,4,0,0,0]"
4,157,1422.13,0.0,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
4,158,1132.47,4556.4,2,"[0,2,4,4,2,2,4,0,0,4,2,4,4,4,2]"
4,159,1426.6,8.42,2,"[0,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
4,160,1406.65,624.83,2,"[0,0,0,0,0,0,0,0,0,0,0,0,0,2,4]"
5,161,1356.74,593.48,0,"[4,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
5,162,1143.71,3069.33,0,"[4,2,4,0,2,2,0,0,4,0,2,2,4,0,2]"
5,163,1147.16,2789.3,0,"[4,2,4,2,0,2,4,0,0,0,0,0,4,0,2]"
5,164,1288.37,634.22,0,"[0,0,4,0,0,0,2,0,0,0,0,0,0,0,0]"
