gen,id,evac,cost,rank,widths
1,1,1445.81,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1173.67,3545.84,0,"[0,4,2,2,4,0,2,0,2,0,0,4,4,4,0]"
1,3,1151.1,4493.86,0,"[4,2,2,0,2,4,4,4,4,0,2,0,4,4,2]"
1,4,1283.63,2026.1,0,"[2,0,2,2,0,2,4,0,2,0,0,2,0,2,0]"
1,5,1172.25,3719.74,0,"[0,2,2,2,2,0,4,2,4,0,4,2,4,4,2]"
1,6,1430.75,781.83,0,"[0,0,0,2,0,2,0,0,2,0,0,0,0,2,0]"
1,7,1388.05,1051.01,0,"[2,0,0,0,0,0,4,0,0,0,0,2,0,0,0]"
1,8,1187.57,2291.11,0,"[0,4,2,0,4,0,0,0,2,0,0,0,4,2,0]"
1,9,1173.27,3682.29,0,"[2,4,2,2,0,0,4,0,4,2,0,4,4,4,2]"
1,10,1178.6,3566.59,1,"[4,2,2,4,2,4,0,2,4,0,2,0,4,0,2]"
1,11,1166.73,4515.37,1,"[4,2,2,0,2,4,4,4,4,0,2,4,4,0,2]"
1,12,1151.7,4892.82,1,"[4,4,2,0,4,0,4,4,4,2,0,4,4,2,2]"
1,13,1155.13,4873.18,1,"[4,0,2,4,2,4,4,0,2,2,2,4,4,4,4]"
1,14,1283.89,2026.1,1,"[2,0,2,2,0,2,4,0,2,0,0,2,0,2,0]"
1,15,1192.35,3197.51,1,"[4,2,4,2,0,4,4,0,0,0,0,0,2,2,2]"
1,16,1222.35,3054.02,1,"[0,0,2,2,2,0,4,2,4,0,4,2,2,4,0]"
1,17,1243.59,2872.44,1,"[4,0,2,2,2,0,2,2,4,0,2,0,0,4,2]"
1,18,1264.22,2730.13,1,"[0,4,4,2,4,0,0,2,0,2,0,0,0,0,2]"
1,19,1284.95,2026.1,2,"[2,0,2,2,0,2,4,0,2,0,0,2,0,2,0]"
1,20,1195.9,3565.37,2,"[2,0,4,2,2,0,2,2,0,4,0,2,2,4,4]"
2,21,1445.81,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,22,1173.67,3545.84,0,"[0,4,2,2,4,0,2,0,2,0,0,4,4,4,0]"
2,23,1172.25,3719.74,0,"[0,2,2,2,2,0,4,2,4,0,4,2,4,4,2]"
2,24,1430.75,781.83,0,"[0,0,0,2,0,2,0,0,2,0,0,0,0,2,0]"
2,25,1388.05,1051.01,0,"[2,0,0,0,0,0,4,0,0,0,0,2,0,0,0]"
2,26,1173.27,3682.29,0,"[2,4,2,2,0,0,4,0,4,2,0,4,4,4,2]"
2,27,1298.68,1259.67,0,"[2,0,2,0,0,0,4,0,2,0,0,2,0,0,0]"
2,28,1273.23,1655.45,0,"[2,0,2,2,0,0,4,0,2,2,0,0,0,2,0]"
2,29,1409.64,974.27,0,"[0,0,0,2,0,0,2,0,2,0,0,0,0,4,0]"
2,30,1145.26,4261.49,0,"[4,2,2,2,2,0,4,0,4,2,2,4,4,4,2]"
2,31,1186.13,2140.41,0,"[2,4,2,0,0,0,0,0,4,0,0,0,4,2,4]"
2,32,1269.17,1870.84,0,"[2,2,2,0,0,0,4,0,2,0,0,2,0,2,0]"
2,33,1175.02,3545.84,1,"[0,4,2,2,4,0,2,0,2,0,0,4,4,4,0]"
2,34,1433.52,874.6,1,"[0,0,0,0,0,2,0,0,2,0,0,2,0,2,0]"
2,35,1363.53,1354.47,1,"[4,0,0,0,0,0,4,0,4,0,0,2,0,0,0]"
2,36,1285.11,1713.09,1,"[2,0,2,2,0,0,4,0,0,0,0,2,0,2,0]"
2,37,1151.1,4493.86,1,"[4,2,2,0,2,4,4,4,4,0,2,0,4,4,2]"
2,38,1187.57,2291.11,1,"[0,4,2,0,4,0,0,0,2,0,0,0,4,2,0]"
2,39,1250.21,2172.29,1,"[2,2,2,0,0,4,2,2,4,0,0,0,2,0,0]"
2,40,1283.63,2026.1,1,"[2,0,2,2,0,2,4,0,2,0,0,2,0,2,0]"
3,41,1445.81,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
3,42,1298.68,1259.67,0,"[2,0,2,0,0,0,4,0,2,0,0,2,0,0,0]"
3,43,1145.26,4261.49,0,"[4,2,2,2,2,0,4,0,4,2,2,4,4,4,2]"
3,44,1186.13,2140.41,0,"[2,4,2,0,0,0,0,0,4,0,0,0,4,2,4]"
3,45,1199.79,2117.85,0,"[2,4,2,0,0,0,0,2,4,0,0,0,4,2,0]"
3,46,1161.89,3935.8,0,"[2,4,2,2,4,0,0,0,2,0,0,4,4,4,4]"
3,47,1312.17,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
3,48,1166.91,3462.14,0,"[0,2,2,2,2,0,4,0,4,0,2,4,4,4,2]"
3,49,1160.14,4100.27,0,"[2,2,2,0,2,0,4,2,0,0,4,4,4,4,2]"
3,50,1136.86,4646.33,0,"[4,4,2,0,2,4,4,0,0,4,2,0,4,4,2]"
3,51,1185.72,3129.84,0,"[2,4,2,2,0,0,4,0,2,2,0,4,4,0,2]"
3,52,1217.55,1371.67,0,"[0,0,2,0,0,0,0,0,2,2,0,0,4,2,4]"
3,53,1446.1,0.0,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
3,54,1150.39,4296.46,1,"[4,2,2,2,2,0,4,2,2,0,4,2,4,4,2]"
3,55,1187.57,2291.11,1,"[0,4,2,0,4,0,0,0,2,0,0,0,4,2,0]"
3,56,1299.07,1259.67,1,"[2,0,2,0,0,0,4,0,2,0,0,2,0,0,0]"
3,57,1373.21,991.45,1,"[2,4,0,0,0,0,0,0,4,0,0,0,0,0,0]"
3,58,1250.21,2172.29,1,"[2,2,2,0,0,4,2,2,4,0,0,0,2,0,0]"
3,59,1173.67,3545.84,1,"[0,4,2,2,4,0,2,0,2,0,0,4,4,4,0]"
3,60,1413.43,391.89,1,"[0,0,0,0,2,0,0,0,0,0,0,0,0,0,0]"
4,61,1445.81,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
4,62,1145.26,4261.49,0,"[4,2,2,2,2,0,4,0,4,2,2,4,4,4,2]"
4,63,1186.13,2140.41,0,"[2,4,2,0,0,0,0,0,4,0,0,0,4,2,4]"
4,64,1199.79,2117.85,0,"[2,4,2,0,0,0,0,2,4,0,0,0,4,2,0]"
4,65,1161.89,3935.8,0,"[2,4,2,2,4,0,0,0,2,0,0,4,4,4,4]"
4,66,1312.17,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
4,67,1160.14,4100.27,0,"[2,2,2,0,2,0,4,2,0,0,4,4,4,4,2]"
4,68,1136.86,4646.33,0,"[4,4,2,0,2,4,4,0,0,4,2,0,4,4,2]"
4,69,1217.55,1371.67,0,"[0,0,2,0,0,0,0,0,2,2,0,0,4,2,4]"
4,70,1162.09,3313.27,0,"[2,2,2,0,2,0,2,2,4,0,4,0,4,4,2]"
4,71,1200.32,1917.97,0,"[2,2,2,0,0,0,0,2,0,0,0,0,4,2,2]"
4,72,1221.31,862.82,0,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
4,73,1209.04,1607.13,0,"[2,0,2,0,0,0,4,0,2,0,0,2,4,0,0]"
4,74,1176.92,2612.71,0,"[2,4,2,0,0,0,4,0,4,0,0,0,4,2,4]"
4,75,1446.1,0.0,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
4,76,1150.39,4296.46,1,"[4,2,2,2,2,0,4,2,2,0,4,2,4,4,2]"
4,77,1221.49,1625.97,1,"[2,0,2,0,0,0,0,0,0,2,0,4,4,0,0]"
4,78,1413.43,391.89,1,"[0,0,0,0,2,0,0,0,0,0,0,0,0,0,0]"
4,79,1187.57,2291.11,1,"[0,4,2,0,4,0,0,0,2,0,0,0,4,2,0]"
4,80,1373.21,991.45,1,"[2,4,0,0,0,0,0,0,4,0,0,0,0,0,0]"
5,81,1445.81,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
5,82,1186.13,2140.41,0,"[2,4,2,0,0,0,0,0,4,0,0,0,4,2,4]"
5,83,1199.79,2117.85,0,"[2,4,2,0,0,0,0,2,4,0,0,0,4,2,0]"
5,84,1312.17,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
5,85,1136.86,4646.33,0,"[4,4,2,0,2,4,4,0,0,4,2,0,4,4,2]"
5,86,1217.55,1371.67,0,"[0,0,2,0,0,0,0,0,2,2,0,0,4,2,4]"
5,87,1162.09,3313.27,0,"[2,2,2,0,2,0,2,2,4,0,4,0,4,4,2]"
5,88,1200.32,1917.97,0,"[2,2,2,0,0,0,0,2,0,0,0,0,4,2,2]"
5,89,1221.31,862.82,0,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
5,90,1209.04,1607.13,0,"[2,0,2,0,0,0,4,0,2,0,0,2,4,0,0]"
5,91,1176.92,2612.71,0,"[2,4,2,0,0,0,4,0,4,0,0,0,4,2,4]"
5,92,1240.89,547.7,0,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
5,93,1167.09,2771.71,0,"[4,4,2,0,0,0,0,0,4,0,2,0,4,4,2]"
5,94,1173.85,2616.65,0,"[2,2,2,0,0,0,4,0,4,0,2,0,4,4,2]"
5,95,1138.8,4092.8,0,"[4,4,2,0,2,0,4,0,4,2,4,0,4,4,2]"
5,96,1155.18,3703.19,0,"[4,0,2,2,2,0,4,0,2,0,2,4,4,4,2]"
5,97,1446.1,0.0,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
5,98,1145.26,4261.49,1,"[4,2,2,2,2,0,4,0,4,2,2,4,4,4,2]"
5,99,1221.39,862.82,1,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
5,100,1187.57,2291.11,1,"[0,4,2,0,4,0,0,0,2,0,0,0,4,2,0]"
6,101,1186.13,2140.41,0,"[2,4,2,0,0,0,0,0,4,0,0,0,4,2,4]"
6,102,1199.79,2117.85,0,"[2,4,2,0,0,0,0,2,4,0,0,0,4,2,0]"
6,103,1312.17,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
6,104,1136.86,4646.33,0,"[4,4,2,0,2,4,4,0,0,4,2,0,4,4,2]"
6,105,1217.55,1371.67,0,"[0,0,2,0,0,0,0,0,2,2,0,0,4,2,4]"
6,106,1162.09,3313.27,0,"[2,2,2,0,2,0,2,2,4,0,4,0,4,4,2]"
6,107,1200.32,1917.97,0,"[2,2,2,0,0,0,0,2,0,0,0,0,4,2,2]"
6,108,1221.31,862.82,0,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
6,109,1240.89,547.7,0,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
6,110,1167.09,2771.71,0,"[4,4,2,0,0,0,0,0,4,0,2,0,4,4,2]"
6,111,1138.8,4092.8,0,"[4,4,2,0,2,0,4,0,4,2,4,0,4,4,2]"
6,112,1155.18,3703.19,0,"[4,0,2,2,2,0,4,0,2,0,2,4,4,4,2]"
6,113,1164.82,2894.2,0,"[4,4,2,0,0,0,2,0,2,0,2,0,4,2,4]"
6,114,1170.5,2575.2,0,"[2,2,4,0,0,0,4,0,4,0,0,0,4,4,2]"
6,115,1152.07,3970.0,0,"[4,0,2,0,2,4,4,0,0,4,2,0,4,4,2]"
6,116,1443.86,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
6,117,1216.88,1441.52,0,"[2,0,2,0,0,0,0,2,4,0,0,0,4,2,0]"
6,118,1203.2,1539.15,0,"[2,4,2,0,0,0,0,0,4,0,0,0,4,0,0]"
6,119,1145.26,4261.49,1,"[4,2,2,2,2,0,4,0,4,2,2,4,4,4,2]"
6,120,1445.61,0.0,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
7,121,1186.13,2140.41,0,"[2,4,2,0,0,0,0,0,4,0,0,0,4,2,4]"
7,122,1199.79,2117.85,0,"[2,4,2,0,0,0,0,2,4,0,0,0,4,2,0]"
7,123,1312.17,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
7,124,1136.86,4646.33,0,"[4,4,2,0,2,4,4,0,0,4,2,0,4,4,2]"
7,125,1162.09,3313.27,0,"[2,2,2,0,2,0,2,2,4,0,4,0,4,4,2]"
7,126,1221.31,862.82,0,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
7,127,1240.89,547.7,0,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
7,128,1167.09,2771.71,0,"[4,4,2,0,0,0,0,0,4,0,2,0,4,4,2]"
7,129,1138.8,4092.8,0,"[4,4,2,0,2,0,4,0,4,2,4,0,4,4,2]"
7,130,1155.18,3703.19,0,"[4,0,2,2,2,0,4,0,2,0,2,4,4,4,2]"
7,131,1164.82,2894.2,0,"[4,4,2,0,0,0,2,0,2,0,2,0,4,2,4]"
7,132,1170.5,2575.2,0,"[2,2,4,0,0,0,4,0,4,0,0,0,4,4,2]"
7,133,1443.86,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
7,134,1203.2,1539.15,0,"[2,4,2,0,0,0,0,0,4,0,0,0,4,0,0]"
