step,time,alive
0,0,19754
1,1,19727
2,2,19686
3,3,19631
4,4,19568
5,5,19513
6,6,19455
7,7,19398
8,8,19337
9,9,19289
10,10,19236
11,11,19181
12,12,19128
13,13,19089
14,14,19040
15,15,18996
16,16,18945
17,17,18905
18,18,18856
19,19,18816
20,20,18765
21,21,18720
22,22,18676
23,23,18627
24,24,18583
25,25,18539
26,26,18485
27,27,18440
28,28,18396
29,29,18347
30,30,18301
31,31,18258
32,32,18205
33,33,18162
34,34,18115
35,35,18073
36,36,18023
37,37,17978
38,38,17928
39,39,17877
40,40,17829
41,41,17784
42,42,17729
43,43,17682
44,44,17630
45,45,17578
46,46,17529
47,47,17476
48,48,17424
49,49,17372
50,50,17321
51,51,17273
52,52,17220
53,53,17175
54,54,17123
55,55,17070
56,56,17021
57,57,16967
58,58,16920
59,59,16872
60,60,16825
61,61,16771
62,62,16724
63,63,16674
64,64,16622
65,65,16572
66,66,16524
67,67,16475
68,68,16426
69,69,16377
70,70,16328
71,71,16276
72,72,16227
73,73,16179
74,74,16130
75,75,16077
76,76,16029
77,77,15981
78,78,15930
79,79,15886
80,80,15834
81,81,15787
82,82,15737
83,83,15692
84,84,15645
85,85,15599
86,86,15552
87,87,15499
88,88,15450
89,89,15404
90,90,15357
91,91,15315
92,92,15267
93,93,15220
94,94,15179
95,95,15128
96,96,15085
97,97,15041
98,98,14997
99,99,14956
100,100,14911
101,101,14869
102,102,14827
103,103,14786
104,104,14745
105,105,14701
106,106,14659
107,107,14618
108,108,14581
109,109,14534
110,110,14494
111,111,14454
112,112,14414
113,113,14376
114,114,14327
115,115,14288
116,116,14246
117,117,14205
118,118,14163
119,119,14122
120,120,14075
121,121,14036
122,122,14001
123,123,13956
124,124,13919
125,125,13877
126,126,13840
127,127,13803
128,128,13764
129,129,13715
130,130,13676
131,131,13638
132,132,13599
133,133,13558
134,134,13517
135,135,13479
136,136,13438
137,137,13396
138,138,13354
139,139,13316
140,140,13278
141,141,13238
142,142,13199
143,143,13160
144,144,13120
145,145,13081
146,146,13046
147,147,13005
148,148,12971
149,149,12930
150,150,12889
151,151,12850
152,152,12815
153,153,12774
154,154,12738
155,155,12700
156,156,12660
157,157,12621
158,158,12585
159,159,12552
160,160,12508
161,161,12471
162,162,12435
163,163,12394
164,164,12355
165,165,12322
166,166,12279
167,167,12243
168,168,12203
169,169,12165
170,170,12128
171,171,12083
172,172,12047
173,173,12006
174,174,11970
175,175,11928
176,176,11890
177,177,11849
178,178,11814
179,179,11771
180,180,11731
181,181,11691
182,182,11653
183,183,11616
184,184,11577
185,185,11532
186,186,11499
187,187,11459
188,188,11423
189,189,11377
190,190,11346
191,191,11300
192,192,11260
193,193,11224
194,194,11184
195,195,11147
196,196,11106
197,197,11066
198,198,11024
199,199,10990
200,200,10945
201,201,10905
202,202,10872
203,203,10831
204,204,10787
205,205,10748
206,206,10712
207,207,10670
208,208,10630
209,209,10589
210,210,10554
211,211,10511
212,212,10473
213,213,10433
214,214,10396
215,215,10357
216,216,10322
217,217,10280
218,218,10244
219,219,10204
220,220,10169
221,221,10126
222,222,10084
223,223,10046
224,224,10008
225,225,9967
226,226,9932
227,227,9898
228,228,9857
229,229,9816
230,230,9780
231,231,9745
232,232,9704
233,233,9664
234,234,9631
235,235,9590
236,236,9552
237,237,9516
238,238,9476
239,239,9437
240,240,9403
241,241,9363
242,242,9324
243,243,9285
244,244,9251
245,245,9213
246,246,9171
247,247,9134
248,248,9099
249,249,9056
250,250,9018
251,251,8981
252,252,8942
253,253,8905
254,254,8866
255,255,8828
256,256,8795
257,257,8754
258,258,8720
259,259,8683
260,260,8648
261,261,8608
262,262,8571
263,263,8536
264,264,8499
265,265,8462
266,266,8427
267,267,8385
268,268,8350
269,269,8313
270,270,8275
271,271,8237
272,272,8201
273,273,8166
274,274,8129
275,275,8091
276,276,8057
277,277,8023
278,278,7990
279,279,7956
280,280,7920
281,281,7883
282,282,7846
283,283,7813
284,284,7782
285,285,7746
286,286,7710
287,287,7678
288,288,7640
289,289,7607
290,290,7572
291,291,7535
292,292,7503
293,293,7466
294,294,7437
295,295,7400
296,296,7364
297,297,7330
298,298,7296
299,299,7263
300,300,7233
301,301,7202
302,302,7172
303,303,7139
304,304,7108
305,305,7079
306,306,7047
307,307,7018
308,308,6990
309,309,6960
310,310,6931
311,311,6900
312,312,6870
