ID, time, distance, start_x, start_y, end_x, end_y, state 
1,220.204,108.914,176.364,392.672,67.6917,405.578,0
2,289.508,139.548,202.264,305.852,248.159,184.73,0
3,186.102,165.348,308.744,680.888,312.318,818.112,0
4,61.2996,34.021,146.764,660.143,149.31,693.32,0
5,5.5,3.15029,603.198,811.794,606.119,812.447,0
6,418.516,206.826,485.858,439.588,615.627,540.304,0
7,41.7999,39.4926,177.228,672.555,150.192,693.359,0
8,100.699,65.0461,562.248,782.831,611.152,755.526,0
9,10.6,7.78504,360.535,180.118,355.926,174.098,0
10,18.9,21.0762,260.058,203.659,251.343,184.472,0
11,180.202,92.0948,365.973,200.914,350.16,174.933,0
12,198.703,152.754,527.329,177.611,648.472,190.809,0
13,60.3997,41.7386,599.321,320.547,630.399,334.484,0
14,35.3,32.0304,175.361,624.853,144.746,616.393,0
15,76.7994,48.8536,115.22,399.661,67.623,404.463,0
16,423.217,166.629,503.955,200.292,369.351,172.752,1
17,57.9997,29.6058,253.562,213.464,250.721,184.836,0
18,0,0,621.536,612.772,621.536,612.772,0
19,25.3001,18.35,404.915,96.4033,406.108,78.2145,0
20,153.3,94.7583,168.288,534.019,140.274,611.217,0
21,209.504,159.367,299.655,636.793,144.344,617.324,0
22,152.5,80.0816,557.847,352.917,630.506,334.604,0
23,187.202,138.964,531.258,188.603,647.782,191.57,0
24,219.204,158.736,320.564,305.96,252.294,184.132,0
25,211.704,125.645,209.889,532.593,141.426,611.687,0
26,423.217,140.935,423.164,613.997,526.594,624.181,1
27,160.801,108.415,558.957,376.819,630.672,335.047,0
28,250.906,186.891,482.236,698.3,611.772,753.503,0
29,211.804,114.839,257.389,632.895,144.781,615.908,0
30,349.012,227.641,496.358,505.548,615.73,540.465,0
31,6,5.86102,605.919,752.248,611.455,754.169,0
32,37.2,30.2044,572.31,832.479,602.506,833.661,0
33,423.217,122.816,510.94,653.921,596.188,615.199,1
34,68.5995,61.1937,596.22,229.778,648.41,198.198,0
35,423.217,164.561,393.289,338.21,327.451,213.413,1
36,199.403,136.396,531.456,147.664,653.558,130.325,0
37,213.604,139.804,277.441,644.519,144.627,616.669,0
38,183.302,134.686,298.569,295.744,252.026,184.178,0
39,179.902,126.529,276.222,297.235,249.814,185.09,0
40,181.902,72.3853,417.007,195.696,356.191,173.438,0
41,175.301,88.893,439.351,179,356.134,173.435,0
42,395.615,190.011,476.17,399.089,630.426,333.669,0
43,145.2,103.885,204.268,562.487,141.16,611.596,0
44,222.004,105.038,546.922,123.811,653.551,129.619,0
45,65.3996,58.6582,193.333,679.733,150.207,693.377,0
46,423.217,168.613,498.021,539.339,543.658,611.711,1
47,423.217,197.103,478.994,414.088,625.976,333.587,1
48,391.215,184.165,213.373,438.762,67.5256,405.974,0
49,23.0001,19.0656,151.972,674.273,149.792,693.213,0
50,226.605,86.8689,541.832,635.338,613.286,612.407,0
51,423.217,163.466,448.727,480.204,575.72,451.315,1
52,423.217,212.987,352.225,360.52,335.362,182.638,1
53,205.603,129.978,536.159,152.806,653.601,130.317,0
54,340.112,205.931,248.069,416.615,67.7881,405.29,0
55,197.103,139.95,265.274,657.145,144.706,616.287,0
56,423.217,206.335,243.776,426.354,68.0034,405.598,1
57,137.799,80.7351,583.226,187.694,647.658,191.775,0
58,423.217,155.485,425.143,434.932,527.347,359.612,1
59,57.5997,57.3569,554.379,758.105,611.205,754.809,0
60,423.217,187.882,409.814,442.512,528.944,356.439,1
61,265.107,150.407,293.245,300.333,251.942,184.319,0
62,258.907,121.967,534.918,131.305,653.628,129.633,0
63,160.601,68.3851,589.296,661.625,613.253,613.169,0
64,391.015,188.791,254.412,354.048,250.237,185.011,0
65,191.202,183.348,534.368,303.723,648.325,198.14,0
66,423.217,165.349,394.19,329.316,325.399,207.414,1
67,153.3,147.165,316.218,694.286,312.659,817.957,0
68,6.8,6.99234,623.427,333.286,630.319,334.117,0
69,171.001,167.529,533.965,288.049,647.904,197.592,0
70,315.21,196.997,253.598,501.43,140.282,611.181,0
71,237.905,115.483,362.946,234.946,350.297,174.921,0
72,118.599,115.392,320.509,712.769,312.322,818.081,0
73,122.699,122.024,351.188,703.579,313.165,818.181,0
74,423.217,238.094,313.453,375.917,251.856,194.094,1
75,423.217,259.306,389.963,442.229,327.421,218.715,1
76,132.999,120.785,583.294,278.677,647.844,197.623,0
77,423.217,205.689,469.974,370.553,624.19,333.584,1
78,382.314,204.736,278.878,372.073,251.936,184.182,0
