step,time,alive
0,0,7904
1,1,7891
2,2,7869
3,3,7851
4,4,7826
5,5,7802
6,6,7774
7,7,7744
8,8,7711
9,9,7684
10,10,7655
11,11,7627
12,12,7596
13,13,7567
14,14,7540
15,15,7505
16,16,7478
17,17,7446
18,18,7407
19,19,7374
20,20,7344
21,21,7308
22,22,7279
23,23,7237
24,24,7204
25,25,7171
26,26,7131
27,27,7093
28,28,7056
29,29,7022
30,30,6984
31,31,6945
32,32,6907
33,33,6866
34,34,6833
35,35,6790
36,36,6755
37,37,6713
38,38,6679
39,39,6642
40,40,6608
41,41,6571
42,42,6537
43,43,6505
44,44,6468
45,45,6432
46,46,6398
47,47,6370
48,48,6333
49,49,6303
50,50,6273
51,51,6239
52,52,6204
53,53,6173
54,54,6144
55,55,6110
56,56,6081
57,57,6047
58,58,6019
59,59,5989
60,60,5955
61,61,5922
62,62,5890
63,63,5865
64,64,5832
65,65,5800
66,66,5767
67,67,5737
68,68,5705
69,69,5676
70,70,5645
71,71,5614
72,72,5582
73,73,5547
74,74,5513
75,75,5482
76,76,5450
77,77,5419
78,78,5384
79,79,5352
80,80,5316
81,81,5290
82,82,5255
83,83,5223
84,84,5191
85,85,5163
86,86,5131
87,87,5101
88,88,5065
89,89,5035
90,90,5003
91,91,4970
92,92,4937
93,93,4904
94,94,4875
95,95,4839
96,96,4805
97,97,4770
98,98,4740
99,99,4707
100,100,4669
101,101,4635
102,102,4601
103,103,4569
104,104,4534
105,105,4503
106,106,4472
107,107,4437
108,108,4402
109,109,4370
110,110,4337
111,111,4300
112,112,4268
113,113,4233
114,114,4202
115,115,4170
116,116,4138
117,117,4104
118,118,4072
119,119,4044
120,120,4005
121,121,3973
122,122,3942
123,123,3911
124,124,3878
125,125,3846
126,126,3814
127,127,3778
128,128,3746
129,129,3718
130,130,3687
131,131,3652
132,132,3620
133,133,3589
134,134,3560
135,135,3526
136,136,3498
137,137,3464
138,138,3431
139,139,3398
140,140,3366
141,141,3337
142,142,3306
143,143,3273
144,144,3243
145,145,3211
146,146,3183
147,147,3148
148,148,3120
149,149,3087
150,150,3058
151,151,3031
152,152,3000
153,153,2967
154,154,2937
155,155,2912
156,156,2878
157,157,2849
158,158,2823
159,159,2790
160,160,2765
161,161,2736
162,162,2706
163,163,2678
164,164,2651
165,165,2627
166,166,2598
167,167,2570
168,168,2540
169,169,2515
170,170,2490
171,171,2460
172,172,2438
173,173,2411
174,174,2383
175,175,2361
176,176,2333
177,177,2309
178,178,2288
179,179,2261
180,180,2237
181,181,2212
182,182,2187
183,183,2162
184,184,2136
185,185,2116
186,186,2092
187,187,2069
188,188,2045
189,189,2024
190,190,2003
191,191,1980
192,192,1952
193,193,1931
194,194,1906
195,195,1886
196,196,1867
197,197,1842
198,198,1821
199,199,1798
200,200,1778
201,201,1755
202,202,1735
203,203,1714
204,204,1695
205,205,1675
206,206,1657
207,207,1637
208,208,1616
