ID, time, distance, start_x, start_y, end_x, end_y, state 
1,150.9,138.684,202.264,305.852,248.432,184.819,0
2,134.699,166.564,308.744,680.888,312.858,818.019,0
3,30.2001,33.7597,146.764,660.143,150.088,693.342,0
4,5,3.21999,603.198,811.794,606.05,812.788,0
5,176.902,208.177,485.858,439.588,615.936,541.231,0
6,31.0001,39.5296,177.228,672.555,150.103,693.294,0
7,56.7997,66.491,562.248,782.831,611.087,755.293,0
8,8.2,7.81484,360.535,180.118,355.991,173.778,0
9,17.4,21.1504,260.058,203.659,251.895,184.278,0
10,94.0991,95.0486,365.973,200.914,350.258,174.87,0
11,130.499,153.256,527.329,177.611,647.669,191.696,0
12,35.3,44.2756,599.321,320.547,630.422,334.508,0
13,24.7001,32.0534,175.361,624.853,144.421,616.766,0
14,44.1999,48.0714,115.22,399.661,67.6737,404.769,0
15,209.004,169.562,503.955,200.292,356.968,173.604,1
16,25.3001,29.0319,253.562,213.464,249.065,185.099,0
17,0,0,621.536,612.772,621.536,612.772,0
18,14.9,18.6331,404.915,96.4033,405.51,78.0994,0
19,94.7991,95.8803,168.288,534.019,140.38,611.36,0
20,74.7994,84.048,557.847,352.917,630.36,333.668,0
21,113.899,139.153,531.258,188.603,647.831,191.564,0
22,127.599,156.159,320.564,305.96,253.247,183.106,0
23,209.004,180.64,423.164,613.997,552.867,618.253,1
24,113.999,109.161,558.957,376.819,630.37,333.652,0
25,138.199,181.285,482.236,698.3,612.352,752.283,0
26,108.399,115.313,257.389,632.895,144.34,617.156,0
27,186.002,228.946,496.358,505.548,615.906,541.122,0
28,6.2,5.98986,605.919,752.248,611.737,753.613,0
29,26.9001,30.482,572.31,832.479,602.577,832.877,0
30,163.401,135.881,510.94,653.921,613.335,613.212,0
31,47.3998,62.0564,596.22,229.778,648.433,198.16,0
32,209.004,190.549,393.289,338.21,324.345,188.629,1
33,125.699,135.91,531.456,147.664,653.666,130.442,0
34,149,143.697,277.441,644.519,144.69,615.559,0
35,112.899,134.786,298.569,295.744,252.45,184.012,0
36,101.199,124.228,276.222,297.235,251.175,184.495,0
37,89.0992,87.9781,439.351,179,356.1,173.413,0
38,209.004,173.289,476.17,399.089,602.937,334.648,1
39,104.999,107.126,204.268,562.487,144.574,615.538,0
40,95.5991,107.735,546.922,123.811,653.596,129.562,0
41,44.6999,59.7666,193.333,679.733,149.494,693.213,0
42,209.004,144.839,498.021,539.339,559.811,616.085,1
43,209.004,186.802,478.994,414.088,598.812,335.702,1
44,179.102,180.837,213.373,438.762,67.7692,405.156,0
45,17,19.1801,151.972,674.273,149.743,693.231,0
46,104.599,88.3386,541.832,635.338,613.361,612.38,0
47,209.004,121.48,448.727,480.204,538.918,444.115,1
48,206.203,223.762,352.225,360.52,349.205,174.54,0
49,120.199,129.401,536.159,152.806,653.562,130.436,0
50,203.203,206.168,248.069,416.615,67.7086,405.633,0
51,117.799,141.927,265.274,657.145,144.428,617.181,0
52,209.004,208.931,243.776,426.354,72.1553,405.65,1
53,73.2995,81.0687,583.226,187.694,647.877,191.594,0
54,209.004,174.228,425.143,434.932,581.454,456.916,1
55,45.4999,57.532,554.379,758.105,611.176,755.377,0
56,209.004,155.224,409.814,442.512,547.426,450.672,1
57,132.099,141.026,293.245,300.333,251.87,184.331,0
58,105.099,123.434,534.918,131.305,653.662,129.566,0
59,58.2997,65.7042,589.296,661.625,613.344,613.22,0
60,193.803,189.539,254.412,354.048,249.456,185.141,0
61,137.599,182.926,534.368,303.723,647.948,197.706,0
62,209.004,204.249,394.19,329.316,340.606,182.826,1
63,114.199,148.383,316.218,694.286,312.617,817.985,0
64,6.3,7.12929,623.427,333.286,630.366,333.908,0
65,123.099,167.826,533.965,288.049,648.443,198.061,0
66,183.302,205.63,253.598,501.43,140.339,611.237,0
67,100.199,117.373,362.946,234.946,350.201,174.86,0
68,85.7993,115.662,320.509,712.769,312.837,818.022,0
69,92.9992,123.559,351.188,703.579,313.021,818.051,0
70,209.004,243.554,313.453,375.917,250.548,186.559,1
71,209.004,240.265,389.963,442.229,333.045,234.37,1
72,93.3991,119.671,583.294,278.677,647.938,197.656,0
73,209.004,184.61,469.974,370.553,596.213,336.503,1
74,177.202,206.2,278.878,372.073,252.166,184.044,0
75,209.004,146.888,419.109,506.4,515.378,446.591,1
76,79.8994,97.7494,264.427,280.216,249.539,185.178,0
77,209.004,112.956,444.894,487.243,525.525,443.718,1
78,83.4993,101.631,241.075,626.022,144.525,615.407,0
79,17.2,18.979,595.573,614.719,613.283,613.147,0
80,209.004,161.438,580.665,537.511,578.258,545.138,1
81,101.299,135.295,313.409,283.318,253.249,183.288,0
82,209.004,252.058,357.058,556.778,172.826,621.317,1
83,209.004,182.4,500.875,576.73,596.868,612.075,1
84,135.099,131.685,211.434,306.944,248.036,184.587,0
85,113.599,112.446,306.952,248.128,350.055,174.797,0
86,75.9994,79.6316,357.256,195.594,350.098,174.821,0
87,86.0993,90.876,572.956,674.689,613.327,613.199,0
88,50.7998,58.0897,569.849,780.52,611.069,755.253,0
89,99.3991,114.993,573.006,442.172,615.739,540.6,0
90,86.9992,109.236,87.8419,472.994,67.7477,405.63,0
91,173.901,155.006,205.337,317.948,249.309,185.174,0
92,90.6992,93.6025,304.247,230.096,349.403,174.538,0
93,188.902,210.552,378.924,342.867,350.347,174.907,0
94,0,0,405.617,73.7946,405.617,73.7946,0
95,57.6997,72.7209,591.442,192.463,647.75,197.29,0
96,203.503,189.414,476.31,550.698,613.321,612.362,0
97,87.2992,109.69,575.623,446.331,615.753,540.751,0
98,138.499,115.748,225.091,294.28,248.638,184.948,0
99,158.6,207.684,513.567,259.651,648.358,198.207,0
100,209.004,173.742,388.698,517.112,507.546,454.641,1
101,104.099,110.035,423.227,233.179,355.051,174.559,0
102,78.6994,102.924,541.376,495.618,615.937,540.982,0
103,209.004,161.44,422.903,403.148,528.539,353.273,1
104,19.3,23.9725,167.696,623.023,144.547,616.838,0
105,196.203,170.07,489.801,638.685,613.338,613.234,0
106,209.004,170.816,450.996,638.712,595.544,615.184,1
107,151.4,145.736,272.1,617.498,144.632,615.571,0
108,19,20.2449,87.0148,409.776,67.6334,405.588,0
109,42.2999,48.2109,605.797,133.528,653.576,129.57,0
110,209.004,121.121,449.268,487.402,533.37,444.347,1
111,52.6998,67.0746,190.423,591.315,144.562,615.54,0
112,29.6001,30.4322,232.799,205.022,248.657,184.861,0
113,85.8993,101.518,244.592,631.142,144.785,615.863,0
114,34.2001,44.1571,612.423,192.95,647.442,196.415,0
115,181.402,220.01,385.039,645.766,312.515,817.954,0
116,66.1996,76.9733,268.716,258.645,250.369,184.909,0
117,209.004,137.12,442.832,497.419,540.244,443.381,1
118,125.399,145.511,277.107,648.449,144.592,616.714,0
119,119.299,137.998,233.61,775.701,153.184,701.571,0
120,142.6,185.528,534.131,305.375,648.414,198.142,0
121,104.999,130.229,525.75,706.958,612.328,752.159,0
122,66.3996,78.1465,188.981,211.898,248.029,184.577,0
123,75.0994,99.8232,330.408,721.932,312.94,818.03,0
124,0,0,619.765,613.058,619.765,613.058,0
125,23.1001,27.9415,159.186,600.817,144.62,615.456,0
126,112.399,116.663,126.777,515.013,139.491,611.258,0
127,88.5992,112.99,574.102,444.642,615.942,540.969,0
128,150.2,134.572,162.426,440.662,67.5751,405.81,0
129,145.6,138.091,203.959,403.934,67.4533,405.98,0
130,122.099,123.859,514.607,337.044,630.466,333.666,0
131,170.901,172.931,244.062,343.776,251.548,184.409,0
132,186.102,179.465,244.764,350.141,250.154,185.047,0
133,209.004,232.374,405.087,395.816,324.154,201.653,1
134,20.4,25.8928,145.54,642.325,140.144,620.851,0
135,54.2997,64.6933,550.927,752.932,611.204,755.516,0
136,4.1,3.25172,138.044,608.386,138.901,611.522,0
137,51.1998,65.8563,593.826,199.696,647.911,197.765,0
138,41.6999,50.4695,613.206,146.39,653.624,130.433,0
139,64.2996,76.4154,230.742,258.287,249.06,185.095,0
