step,time,alive
0,0,7904
1,1,7889
2,2,7865
3,3,7842
4,4,7812
5,5,7776
6,6,7743
7,7,7707
8,8,7672
9,9,7641
10,10,7610
11,11,7577
12,12,7544
13,13,7507
14,14,7474
15,15,7429
16,16,7395
17,17,7358
18,18,7325
19,19,7283
20,20,7242
21,21,7205
22,22,7173
23,23,7132
24,24,7093
25,25,7049
26,26,7007
27,27,6971
28,28,6928
29,29,6892
30,30,6845
31,31,6805
32,32,6768
33,33,6729
34,34,6690
35,35,6651
36,36,6612
37,37,6572
38,38,6538
39,39,6495
40,40,6459
41,41,6423
42,42,6381
43,43,6341
44,44,6303
45,45,6262
46,46,6233
47,47,6190
48,48,6155
49,49,6121
50,50,6090
51,51,6054
52,52,6022
53,53,5983
54,54,5954
55,55,5917
56,56,5878
57,57,5848
58,58,5816
59,59,5782
60,60,5749
61,61,5713
62,62,5678
63,63,5643
64,64,5612
65,65,5582
66,66,5541
67,67,5511
68,68,5480
69,69,5447
70,70,5409
71,71,5380
72,72,5345
73,73,5310
74,74,5281
75,75,5247
76,76,5218
77,77,5187
78,78,5152
79,79,5126
80,80,5092
81,81,5058
82,82,5025
83,83,4990
84,84,4959
85,85,4926
86,86,4896
87,87,4865
88,88,4828
89,89,4800
90,90,4769
91,91,4734
92,92,4702
93,93,4668
94,94,4641
95,95,4607
96,96,4576
97,97,4541
98,98,4508
99,99,4476
100,100,4442
101,101,4413
102,102,4378
103,103,4347
104,104,4317
105,105,4284
106,106,4249
107,107,4217
108,108,4183
109,109,4151
110,110,4116
111,111,4082
112,112,4049
113,113,4019
114,114,3987
115,115,3951
116,116,3923
117,117,3894
118,118,3864
119,119,3830
120,120,3798
121,121,3770
122,122,3738
123,123,3708
124,124,3681
125,125,3653
126,126,3621
127,127,3596
128,128,3566
129,129,3540
130,130,3512
131,131,3484
132,132,3458
133,133,3429
134,134,3399
135,135,3371
136,136,3344
137,137,3314
138,138,3288
139,139,3261
140,140,3234
141,141,3204
142,142,3177
143,143,3151
144,144,3123
145,145,3096
146,146,3071
147,147,3046
148,148,3016
149,149,2993
150,150,2967
151,151,2947
152,152,2924
153,153,2897
154,154,2874
155,155,2847
156,156,2828
157,157,2803
158,158,2785
159,159,2760
160,160,2738
161,161,2714
162,162,2694
163,163,2673
164,164,2650
165,165,2626
166,166,2604
167,167,2578
168,168,2556
169,169,2529
170,170,2507
171,171,2486
172,172,2465
173,173,2441
174,174,2417
175,175,2394
176,176,2370
177,177,2347
178,178,2326
179,179,2303
180,180,2282
181,181,2264
182,182,2237
183,183,2214
184,184,2194
185,185,2171
186,186,2146
187,187,2125
188,188,2100
189,189,2075
190,190,2054
191,191,2031
192,192,2011
193,193,1989
194,194,1970
195,195,1947
196,196,1927
197,197,1904
198,198,1883
199,199,1862
200,200,1843
201,201,1819
202,202,1796
203,203,1777
204,204,1755
205,205,1737
206,206,1716
207,207,1696
208,208,1674
209,209,1653
210,210,1633
211,211,1611
