ID, time, distance, start_x, start_y, end_x, end_y, state 
1,142.9,138.53,202.264,305.852,248.265,184.656,0
2,124.699,165.924,308.744,680.888,312.485,817.974,0
3,28.1001,33.27,146.764,660.143,149.741,693.176,0
4,4.2,3.18859,603.198,811.794,606.023,812.77,0
5,156.7,208.45,485.858,439.588,615.562,540.187,0
6,26.6001,39.7019,177.228,672.555,149.819,693.167,0
7,53.6998,68.676,562.248,782.831,611.161,754.983,0
8,6.6,7.66833,360.535,180.118,355.818,174.133,0
9,14.7,21.2967,260.058,203.659,252.618,183.934,0
10,75.0994,92.8339,365.973,200.914,350.437,174.975,0
11,110.099,154.295,527.329,177.611,648.126,190.999,0
12,31.1001,44.7238,599.321,320.547,630.423,334.074,0
13,19.9,31.8077,175.361,624.853,144.786,615.964,0
14,47.7998,49.582,115.22,399.661,67.7224,405.451,0
15,206.003,168.917,503.955,200.292,355.946,173.605,0
16,24.4001,28.9663,253.562,213.464,249.26,185.208,0
17,0,0,621.536,612.772,621.536,612.772,0
18,12.5,18.4515,404.915,96.4033,405.87,78.2262,0
19,83.8993,95.5047,168.288,534.019,139.865,611.062,0
20,70.9995,83.4033,557.847,352.917,630.352,334.464,0
21,96.8991,139.637,531.258,188.603,648.072,190.992,0
22,134.999,155.471,320.564,305.96,251.062,184.554,0
23,211.804,175.739,423.164,613.997,550.279,616.607,1
24,93.7991,110.556,558.957,376.819,630.359,334.313,0
25,121.299,181.976,482.236,698.3,612.153,752.593,0
26,108.499,114.913,257.389,632.895,144.723,615.649,0
27,195.503,229.523,496.358,505.548,615.585,539.879,0
28,5.2,5.98298,605.919,752.248,611.691,753.822,0
29,25.3001,30.3628,572.31,832.479,602.454,833.308,0
30,158.7,130.152,510.94,653.921,613.152,612.639,0
31,38.4,61.7439,596.22,229.778,648.357,198.122,0
32,211.804,187.206,393.289,338.21,321.01,191.027,1
33,119.199,136.262,531.456,147.664,653.49,130.029,0
34,152.2,143.977,277.441,644.519,144.677,615.607,0
35,130.899,135.1,298.569,295.744,251.053,184.599,0
36,111.899,124.824,276.222,297.235,249.792,185.102,0
37,79.6994,86.822,439.351,179,355.597,174.372,0
38,211.804,201.509,476.17,399.089,627.558,334.05,1
39,82.2993,106.393,204.268,562.487,144.636,615.64,0
40,88.6992,107.534,546.922,123.811,653.487,130.05,0
41,38.3,59.2394,193.333,679.733,149.374,693.318,0
42,209.904,188.423,498.021,539.339,613.297,612.552,0
43,211.804,205.901,478.994,414.088,619.231,334.117,1
44,211.804,173.83,213.373,438.762,75.4037,405.594,1
45,14.3,19.2329,151.972,674.273,149.724,693.162,0
46,94.1991,88.2156,541.832,635.338,613.23,612.762,0
47,211.804,103.132,448.727,480.204,519.33,443.484,1
48,190.902,225.037,352.225,360.52,349.883,174.606,0
49,115.199,129.888,536.159,152.806,653.536,130.009,0
50,211.804,181.273,248.069,416.615,93.9476,405.666,1
51,121.499,142.553,265.274,657.145,144.647,615.747,0
52,211.804,182.864,243.776,426.354,96.0586,405.557,1
53,69.1995,83.5612,583.226,187.694,647.829,191.553,0
54,211.804,214.378,425.143,434.932,593.321,495.981,1
55,38.9,57.7006,554.379,758.105,611.214,754.912,0
56,211.804,152.812,409.814,442.512,549.962,453.886,1
57,150.6,141.165,293.245,300.333,249.867,185.081,0
58,96.8991,123.615,534.918,131.305,653.513,129.956,0
59,57.6997,65.3648,589.296,661.625,613.269,612.565,0
60,211.804,183.52,254.412,354.048,248.71,187.796,1
61,114.199,183.478,534.368,303.723,647.938,197.661,0
62,208.404,218.536,394.19,329.316,349.468,174.463,0
63,97.7991,147.979,316.218,694.286,312.352,818.086,0
64,5.5,7.08517,623.427,333.286,630.341,334.113,0
65,102.399,168.059,533.965,288.049,648.028,197.773,0
66,179.402,208.69,253.598,501.43,139.761,611.06,0
67,90.6992,117.033,362.946,234.946,350.335,174.861,0
68,74.7994,116.754,320.509,712.769,312.191,818.189,0
69,81.1993,122.578,351.188,703.579,312.731,817.955,0
70,210.904,248.636,313.453,375.917,250.94,184.726,0
71,211.804,268.74,389.963,442.229,326.268,209.213,1
72,77.8994,120.149,583.294,278.677,648.067,197.81,0
73,211.804,177.676,469.974,370.553,587.606,336.834,1
74,210.604,204.573,278.878,372.073,249.749,185.207,0
75,211.804,141.717,419.109,506.4,516.278,449.808,1
76,88.6992,99.4021,264.427,280.216,249.866,185.117,0
77,211.804,134.81,444.894,487.243,547.439,446.251,1
78,87.3992,101.523,241.075,626.022,144.68,615.615,0
79,14.8,19.0258,595.573,614.719,613.204,612.741,0
80,211.804,213.077,580.665,537.511,573.076,546.391,1
81,98.7991,134.893,313.409,283.318,250.513,184.832,0
82,211.804,265.704,357.058,556.778,160.441,618.245,1
83,211.804,190.593,500.875,576.73,601.61,612.54,1
84,134.399,131.841,211.434,306.944,248.11,184.666,0
85,110.899,117.146,306.952,248.128,349.694,174.515,0
86,63.2996,79.1029,357.256,195.594,349.882,174.72,0
87,94.8991,90.2324,572.956,674.689,613.192,612.77,0
88,46.0999,60.4416,569.849,780.52,611.194,755.463,0
89,80.1993,115.165,573.006,442.172,615.825,540.846,0
90,78.5994,110.213,87.8419,472.994,67.7827,405.328,0
91,172.301,154.195,205.337,317.948,248.66,184.871,0
92,72.9995,93.0226,304.247,230.096,349.853,174.703,0
93,176.602,211.558,378.924,342.867,350.632,174.977,0
94,0,0,405.617,73.7946,405.617,73.7946,0
95,50.8998,73.6066,591.442,192.463,647.844,197.585,0
96,207.103,190.16,476.31,550.698,613.339,613.198,0
97,72.3995,110.097,575.623,446.331,615.791,540.925,0
98,138.199,115.325,225.091,294.28,248.737,184.896,0
99,132.499,209.169,513.567,259.651,648.104,197.976,0
100,211.804,172.727,388.698,517.112,505.635,453.336,1
101,94.3991,109.347,423.227,233.179,355.603,174.406,0
102,68.8995,103.28,541.376,495.618,615.756,540.762,0
103,211.804,164.311,422.903,403.148,532.247,353.213,1
104,15.2,23.8411,167.696,623.023,144.846,616.24,0
105,211.804,155.337,489.801,638.685,599.216,612.974,1
106,211.804,144.852,450.996,638.712,570.374,617.701,1
107,129.199,144.576,272.1,617.498,144.849,616.076,0
108,18.6,19.7258,87.0148,409.776,67.7723,405.022,0
109,38.4,48.4689,605.797,133.528,653.561,130.05,0
110,211.804,109.738,449.268,487.402,515.531,452.673,1
111,44.3999,68.2315,190.423,591.315,144.613,616.61,0
112,29.3001,30.7352,232.799,205.022,249.045,184.951,0
113,73.3995,101.521,244.592,631.142,144.714,616.174,0
114,30.1001,45.7699,612.423,192.95,648.369,198.158,0
115,167.301,219.101,385.039,645.766,312.656,818.025,0
116,66.4996,76.649,268.716,258.645,249.933,185.136,0
117,211.804,132.842,442.832,497.419,537.603,443.958,1
118,130.499,145.557,277.107,648.449,144.749,615.918,0
119,95.4991,137.827,233.61,775.701,152.706,701.685,0
120,117.599,185.428,534.131,305.375,647.914,197.721,0
121,103.599,130.687,525.75,706.958,612.421,751.9,0
122,61.6996,76.8573,188.981,211.898,248.257,184.831,0
123,62.6996,100.009,330.408,721.932,312.39,818.056,0
124,0,0,619.765,613.058,619.765,613.058,0
125,18.9,28.1066,159.186,600.817,144.538,616.703,0
126,121.099,118.687,126.777,515.013,139.583,611.243,0
127,73.6994,112.405,574.102,444.642,615.777,540.864,0
128,155.8,136.01,162.426,440.662,67.745,405.471,0
129,154.2,138.551,203.959,403.934,67.6586,405.541,0
130,110.599,123.566,514.607,337.044,630.413,334.493,0
131,187.902,173.96,244.062,343.776,249.495,185.228,0
132,202.903,179.928,244.764,350.141,249.118,185.147,0
133,211.804,228.028,405.087,395.816,323.477,207.289,1
134,17.7,26.1591,145.54,642.325,140.038,620.942,0
135,45.0999,65.3288,550.927,752.932,611.134,755.356,0
136,3.4,3.19077,138.044,608.386,139.02,611.423,0
137,45.6999,66.6387,593.826,199.696,647.854,197.589,0
138,40.9999,51.9187,613.206,146.39,653.503,130.01,0
139,66.4996,77.3205,230.742,258.287,248.981,184.982,0
140,211.804,221.352,443.355,437.553,599.913,519.4,1
141,0,0,248.686,175.68,248.686,175.68,0
142,78.6994,76.5501,423.08,157.795,356.196,173.311,0
143,44.2999,64.2309,550.767,753.698,611.154,755.474,0
144,59.2997,79.3849,173.864,561.139,139.872,611.105,0
145,50.9998,74.5829,347.593,201.123,350.174,174.896,0
146,131.099,147.804,517.411,136.785,653.52,130.048,0
147,185.502,291.823,377.964,572.706,312.206,818.169,0
148,192.303,166.303,173.634,301.568,248.256,184.666,0
149,211.804,160.483,399.08,508.217,513.119,453.6,1
150,51.1998,51.7496,119.133,398.95,67.7056,405.586,0
151,96.2991,109.868,428.823,228.007,356.204,173.373,0
152,211.804,259.871,295.221,411.203,250.838,185.165,1
153,21.3,23.1406,262.539,204.213,252.494,184.01,0
154,64.5996,80.9744,358.652,195.365,349.756,174.687,0
155,164.401,190.365,386.157,301.796,350.301,174.877,0
156,141.699,163.832,492.259,114.817,653.487,129.818,0
157,211.804,197.68,256.427,421.573,90.9289,404.415,1
158,152.1,119.079,197.96,258.543,249.393,185.182,0
159,203.803,334.988,397.501,589.543,312.702,818.007,0
160,211.804,192.536,407.248,615,551.216,616.122,1
161,211.804,234.362,358.31,419.067,324.259,201.718,1
162,132.599,107.426,233.032,288.859,249.105,185.107,0
163,122.899,122.584,549.703,563.813,613.271,612.775,0
164,211.804,202.472,259.151,422.771,86.4433,404.916,1
165,82.8993,103.609,176.337,535.626,139.87,611.161,0
166,211.804,265.115,315.448,401.024,251.077,189.645,1
167,0,0,250.926,181.607,250.926,181.607,0
168,41.4999,57.2519,144.236,554.657,140.103,611.057,0
169,60.5996,72.805,114.093,436.587,67.7223,404.796,0
170,185.102,170.211,199.119,340.374,67.7405,404.962,0
171,102.399,113.837,266.791,294.55,250.42,184.922,0
172,56.5997,64.3816,200.995,210.913,248.312,184.828,0
173,142.399,121.466,535.423,669.973,613.231,613.05,0
174,1.9,1.32517,254.568,183.412,253.322,182.959,0
175,125.099,113.436,181.278,401.143,67.8122,404.96,0
176,211.804,209.909,574.648,544.966,574.511,545.721,1
177,32.9001,43.8007,409.143,121.685,405.873,78.1295,0
178,77.4994,106.51,565.568,471.838,615.584,540.103,0
179,95.3991,110.963,461.725,180.675,356.223,173.341,0
180,55.1997,85.0613,579.209,477.489,615.966,540.969,0
181,34.6,46.0161,407.507,123.641,405.857,78.1095,0
182,203.403,167.93,194.062,445.127,67.6331,405.496,0
183,5,4.96415,140.579,606.497,139.505,611.279,0
184,0,0,610.112,836.521,610.112,836.521,0
185,57.1997,80.2842,331.678,233.735,350.435,174.969,0
186,75.9994,88.3111,272.63,269.922,249.912,185.134,0
187,24.7001,30.9544,153.489,590.739,139.864,611.067,0
188,147.2,183.736,183.511,522.716,140.05,611.109,0
189,0,0,408.11,70.7896,408.11,70.7896,0
190,211.804,82.3736,471.752,331.586,471.251,329.806,1
191,211.804,217.014,397.156,364.552,321.877,188.709,1
192,7.89999,9.86962,599.103,805.156,606.779,810.711,0
193,211.804,258.613,428.7,535.116,544.943,614.579,1
194,206.203,178.833,206.356,328.118,248.729,184.885,0
195,211.804,104.421,503.532,625.206,556.332,616.678,1
196,90.3992,109.054,560.422,377.087,630.353,333.83,0
197,211.804,190.42,479.093,530.565,594.16,613.478,1
198,124.199,156.819,228.534,567.329,144.739,616.035,0
199,16.2,19.2315,86.483,401.839,67.6374,404.869,0
200,89.1992,98.0005,566.717,683.74,612.275,752.372,0
201,211.804,222.867,348.603,574.398,174.423,619.84,1
202,131.499,154.347,424.781,278.926,355.569,174.306,0
203,143.3,226.377,500.914,248.427,648.071,198.048,0
204,178.702,176.616,474.629,564.342,613.178,612.658,0
205,7.99999,9.97859,252.493,194.184,248.996,184.922,0
206,211.804,116.803,422.458,473.161,516.895,444.088,1
207,60.1997,67.9371,592.385,178.903,648.181,190.853,0
208,183.202,149.14,487.673,623.998,613.272,613.181,0
209,110.599,172.675,413.165,711.987,313.458,818.269,0
210,64.5996,89.1724,151.17,523.322,139.784,611.132,0
211,211.804,105.4,476.067,490.122,515.054,446.392,1
212,90.2992,108.771,423.411,232.7,356.055,173.468,0
213,211.804,248.97,312.509,460.214,117.936,405.543,1
214,16.8,19.147,611.215,333.862,630.268,334.183,0
215,63.0996,85.5092,578.581,148.11,653.629,129.675,0
216,199.003,167.383,166.422,302.322,248.41,184.819,0
217,211.804,210.176,348.021,589.841,172.593,619.529,1
218,27.7001,38.1341,600.176,327.111,630.349,333.881,0
219,153.9,212.887,413.169,668.708,313.066,818.112,0
220,0,0,139.184,612.907,139.184,612.907,0
221,140.699,151.159,496.894,347.67,630.326,334.073,0
222,47.7998,71.282,592.336,194.057,647.964,197.869,0
223,211.804,96.0712,443.999,468.736,518.373,443.346,1
224,60.4996,73.2983,591.361,186.828,647.554,191.893,0
225,72.1995,79.6934,427.455,147.841,356.144,173.434,0
226,89.4992,114.536,349.894,251.262,350.051,174.841,0
227,209.604,157.665,504.057,188.404,356.014,173.636,0
228,149.3,159.308,444.475,264.316,355.571,174.34,0
229,211.804,229.291,442.563,365.407,401.348,175.504,1
230,95.7991,140.268,510.986,713.83,611.75,753.594,0
231,12,16.0709,598.168,745.331,612.34,752.055,0
232,27.9001,45.8827,322.899,773.725,312.834,818.018,0
233,211.804,148.912,388.063,458.511,515.548,447.724,1
234,211.804,198.553,88.9377,453.902,88.2955,460.38,1
