gen,id,evac,cost,rank,widths
1,1,1422.29,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1343.17,174.95,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
1,3,1265.97,375.19,0,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1,4,1211.6,747.52,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1,5,1187.39,1532.9,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1,6,1137.28,3212.83,0,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
1,7,1206.27,908.0,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1,8,1202.75,988.79,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1,9,1295.54,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1,10,1177.42,1940.62,0,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
1,11,1321.74,200.24,0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
1,12,1181.58,1967.96,1,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
