gen,id,evac,cost,rank,widths
1,1,1250.51,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1009.49,3212.83,0,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
1,3,1047.6,1940.62,0,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
1,4,1062.07,1532.9,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1,5,1196.06,174.95,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
1,6,1095.52,547.7,0,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
1,7,1130.73,375.19,0,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1,8,1173.07,200.24,0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
1,9,1152.6,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1,10,1071.78,1023.02,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1,11,1081.05,747.52,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1,12,1079.92,908.0,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
