gen,id,evac,cost,rank,widths
1,1,1502.87,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1421.59,174.95,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
1,3,1398.19,200.24,0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
1,4,1341.05,375.19,0,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1,5,1286.0,747.52,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1,6,1259.32,1532.9,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1,7,1204.79,3212.83,0,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
1,8,1368.98,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1,9,1276.83,908.0,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1,10,1275.33,988.79,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1,11,1273.26,1023.02,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1,12,1245.32,1940.62,0,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
