gen,id,evac,cost,rank,widths
1,1,1524.91,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1439.33,174.95,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
1,3,1410.24,200.24,0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
1,4,1356.29,375.19,0,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1,5,1295.58,747.52,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1,6,1266.98,1532.9,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1,7,1220.38,3212.83,0,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
1,8,1287.15,988.79,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1,9,1285.1,1023.02,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1,10,1290.99,908.0,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1,11,1381.77,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1,12,1274.26,1660.39,1,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
