gen,id,evac,cost,rank,widths
1,1,1380.17,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1300.07,174.95,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
1,3,1268.64,200.24,0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
1,4,1217.72,375.19,0,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1,5,1159.96,747.52,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1,6,1136.58,1532.9,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1,7,1085.78,3212.83,0,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
1,8,1155.7,908.0,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1,9,1151.29,1023.02,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1,10,1242.08,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1,11,1136.25,1660.39,0,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
1,12,1245.98,347.46,1,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
