gen,id,evac,cost,rank,widths
1,1,1528.4,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1440.23,174.95,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
1,3,1408.54,200.24,0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
1,4,1351.03,375.19,0,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1,5,1289.04,747.52,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1,6,1261.59,1532.9,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1,7,1214.49,3212.83,0,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
1,8,1377.16,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1,9,1283.69,908.0,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1,10,1280.92,988.79,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1,11,1277.94,1023.02,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1,12,1265.65,1660.39,1,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
