gen,id,evac,cost,rank,widths
1,1,1336.35,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1060.55,3212.83,0,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
1,3,1101.42,1940.62,0,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
1,4,1194.05,375.19,0,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1,5,1266.72,174.95,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
1,6,1139.08,747.52,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1,7,1219.56,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1,8,1118.15,1532.9,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1,9,1246.04,200.24,0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
1,10,1118.8,1408.26,0,"[4,0,2,0,0,0,0,0,0,0,0,0,4,2,0]"
1,11,1129.83,1023.02,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1,12,1132.7,908.0,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
