step,time,alive
0,0,98787
1,1,98652
2,2,98481
3,3,98334
4,4,98173
5,5,98006
6,6,97866
7,7,97728
8,8,97607
9,9,97477
10,10,97362
11,11,97238
12,12,97127
13,13,97015
14,14,96899
15,15,96791
16,16,96675
17,17,96576
18,18,96471
19,19,96373
20,20,96268
21,21,96167
22,22,96066
23,23,95971
24,24,95878
25,25,95776
26,26,95686
27,27,95596
28,28,95504
29,29,95413
30,30,95319
31,31,95230
32,32,95136
33,33,95044
34,34,94945
35,35,94858
36,36,94771
37,37,94687
38,38,94603
39,39,94518
40,40,94428
41,41,94347
42,42,94261
43,43,94178
44,44,94087
45,45,94000
46,46,93916
47,47,93835
48,48,93748
49,49,93664
50,50,93579
51,51,93501
52,52,93419
53,53,93331
54,54,93255
55,55,93171
56,56,93086
57,57,93001
58,58,92923
59,59,92834
60,60,92745
61,61,92661
62,62,92578
63,63,92498
64,64,92413
65,65,92334
66,66,92242
67,67,92165
68,68,92080
69,69,92005
70,70,91915
71,71,91846
72,72,91764
73,73,91675
74,74,91592
75,75,91511
76,76,91424
77,77,91349
78,78,91263
79,79,91180
80,80,91096
81,81,91015
82,82,90930
83,83,90846
84,84,90759
85,85,90675
86,86,90586
87,87,90513
88,88,90434
89,89,90348
90,90,90261
91,91,90178
92,92,90095
93,93,90018
94,94,89933
95,95,89854
96,96,89769
97,97,89685
98,98,89596
99,99,89518
100,100,89432
101,101,89349
102,102,89275
103,103,89194
104,104,89113
105,105,89027
106,106,88939
107,107,88863
108,108,88784
109,109,88700
110,110,88613
111,111,88536
112,112,88457
113,113,88369
114,114,88281
115,115,88207
116,116,88125
117,117,88038
118,118,87958
119,119,87873
120,120,87787
121,121,87705
122,122,87626
123,123,87545
124,124,87465
125,125,87384
126,126,87302
127,127,87224
128,128,87151
129,129,87067
130,130,86982
131,131,86904
132,132,86825
133,133,86747
134,134,86664
135,135,86573
136,136,86503
137,137,86419
138,138,86337
139,139,86260
140,140,86190
141,141,86111
142,142,86033
143,143,85959
144,144,85888
145,145,85807
146,146,85729
147,147,85656
148,148,85581
149,149,85497
150,150,85423
151,151,85344
152,152,85268
153,153,85196
154,154,85118
155,155,85045
156,156,84967
157,157,84898
158,158,84820
159,159,84749
160,160,84672
161,161,84596
162,162,84525
163,163,84454
164,164,84379
165,165,84304
166,166,84230
167,167,84153
168,168,84085
169,169,84008
170,170,83937
171,171,83868
172,172,83794
173,173,83725
174,174,83648
175,175,83580
176,176,83509
177,177,83434
178,178,83361
179,179,83291
180,180,83226
181,181,83149
182,182,83078
183,183,83013
184,184,82939
185,185,82875
186,186,82799
187,187,82735
188,188,82661
189,189,82591
190,190,82527
191,191,82449
192,192,82382
193,193,82313
194,194,82242
195,195,82176
196,196,82104
197,197,82036
198,198,81966
199,199,81906
200,200,81831
201,201,81765
202,202,81700
203,203,81627
204,204,81573
205,205,81500
206,206,81435
207,207,81374
208,208,81301
209,209,81243
210,210,81181
211,211,81116
212,212,81059
213,213,80992
214,214,80918
215,215,80864
216,216,80801
217,217,80731
218,218,80673
219,219,80606
220,220,80545
221,221,80484
222,222,80414
223,223,80356
224,224,80292
225,225,80237
226,226,80165
227,227,80101
228,228,80034
229,229,79967
230,230,79905
231,231,79844
232,232,79784
233,233,79711
234,234,79652
235,235,79587
236,236,79520
237,237,79461
238,238,79396
239,239,79336
240,240,79275
241,241,79206
242,242,79144
243,243,79079
244,244,79018
245,245,78948
246,246,78888
247,247,78827
248,248,78762
249,249,78701
250,250,78640
251,251,78570
252,252,78509
253,253,78452
254,254,78384
255,255,78322
256,256,78267
257,257,78210
258,258,78147
259,259,78088
260,260,78031
261,261,77968
262,262,77910
263,263,77847
264,264,77782
265,265,77720
266,266,77655
267,267,77592
268,268,77528
269,269,77460
270,270,77399
271,271,77329
272,272,77272
273,273,77212
274,274,77147
275,275,77089
276,276,77029
277,277,76963
278,278,76901
279,279,76838
280,280,76777
281,281,76716
282,282,76663
283,283,76597
284,284,76533
285,285,76467
286,286,76407
287,287,76344
288,288,76289
289,289,76225
290,290,76155
291,291,76093
292,292,76039
293,293,75976
294,294,75911
295,295,75858
296,296,75790
297,297,75728
298,298,75668
299,299,75607
300,300,75539
301,301,75486
302,302,75427
303,303,75360
304,304,75305
305,305,75239
306,306,75176
307,307,75110
308,308,75052
309,309,74986
310,310,74928
311,311,74864
312,312,74804
313,313,74740
314,314,74677
315,315,74614
316,316,74556
317,317,74493
318,318,74431
319,319,74368
320,320,74304
321,321,74242
322,322,74182
323,323,74121
324,324,74061
325,325,73998
326,326,73940
327,327,73871
328,328,73809
329,329,73748
330,330,73688
331,331,73623
332,332,73556
333,333,73496
334,334,73434
335,335,73374
336,336,73313
337,337,73255
338,338,73195
339,339,73134
340,340,73070
341,341,73010
342,342,72947
343,343,72895
344,344,72829
345,345,72769
346,346,72706
347,347,72643
348,348,72589
349,349,72525
350,350,72459
351,351,72400
352,352,72340
353,353,72278
354,354,72216
355,355,72157
356,356,72100
357,357,72040
358,358,71972
359,359,71913
360,360,71857
361,361,71803
362,362,71740
363,363,71679
364,364,71622
365,365,71556
366,366,71500
367,367,71435
368,368,71382
369,369,71321
370,370,71268
371,371,71213
372,372,71155
373,373,71096
374,374,71043
375,375,70980
376,376,70927
377,377,70872
378,378,70804
379,379,70751
380,380,70694
381,381,70643
382,382,70582
383,383,70528
384,384,70468
385,385,70408
386,386,70353
387,387,70289
388,388,70231
389,389,70173
390,390,70117
391,391,70054
392,392,70001
393,393,69948
394,394,69889
395,395,69841
396,396,69779
397,397,69723
398,398,69662
399,399,69605
400,400,69544
401,401,69493
402,402,69432
403,403,69376
404,404,69323
405,405,69267
406,406,69205
407,407,69146
408,408,69084
409,409,69036
410,410,68980
411,411,68922
412,412,68867
413,413,68804
414,414,68747
415,415,68694
416,416,68639
417,417,68583
418,418,68527
419,419,68464
420,420,68414
421,421,68356
422,422,68296
423,423,68246
424,424,68189
425,425,68132
426,426,68076
427,427,68016
428,428,67965
429,429,67911
430,430,67857
431,431,67796
432,432,67740
433,433,67687
434,434,67625
435,435,67572
436,436,67516
437,437,67460
438,438,67409
439,439,67345
440,440,67293
441,441,67239
442,442,67185
443,443,67131
444,444,67070
445,445,67017
446,446,66959
447,447,66901
448,448,66848
449,449,66792
450,450,66740
451,451,66682
452,452,66625
453,453,66567
454,454,66508
455,455,66457
456,456,66390
457,457,66344
458,458,66288
459,459,66229
460,460,66171
461,461,66117
462,462,66059
463,463,66005
464,464,65947
465,465,65895
466,466,65838
467,467,65777
468,468,65726
469,469,65666
470,470,65608
471,471,65553
472,472,65497
473,473,65440
474,474,65386
475,475,65325
476,476,65274
477,477,65211
478,478,65159
479,479,65098
480,480,65042
481,481,64991
482,482,64934
483,483,64876
484,484,64824
485,485,64767
486,486,64712
487,487,64662
488,488,64600
489,489,64550
490,490,64490
491,491,64434
492,492,64379
493,493,64325
494,494,64273
495,495,64213
496,496,64161
497,497,64103
498,498,64050
499,499,63996
500,500,63941
501,501,63881
502,502,63821
503,503,63767
504,504,63717
505,505,63666
506,506,63606
507,507,63554
508,508,63500
509,509,63444
510,510,63393
511,511,63333
512,512,63282
513,513,63230
514,514,63178
515,515,63125
516,516,63068
517,517,63010
518,518,62957
519,519,62895
520,520,62847
521,521,62783
522,522,62734
523,523,62673
524,524,62622
525,525,62569
526,526,62515
527,527,62463
528,528,62407
529,529,62351
530,530,62304
531,531,62252
532,532,62200
533,533,62151
534,534,62094
535,535,62040
536,536,61982
537,537,61933
538,538,61880
539,539,61838
540,540,61779
541,541,61727
542,542,61670
543,543,61625
544,544,61573
545,545,61519
546,546,61467
547,547,61416
548,548,61364
549,549,61315
550,550,61262
551,551,61211
552,552,61150
553,553,61102
554,554,61053
555,555,61002
556,556,60949
557,557,60896
558,558,60849
559,559,60797
560,560,60741
561,561,60694
562,562,60642
563,563,60584
564,564,60545
565,565,60499
566,566,60444
567,567,60401
568,568,60343
569,569,60300
570,570,60245
571,571,60197
572,572,60148
573,573,60093
574,574,60046
575,575,59996
576,576,59939
577,577,59892
578,578,59848
579,579,59804
580,580,59748
581,581,59699
582,582,59650
583,583,59604
584,584,59558
585,585,59507
586,586,59453
587,587,59403
588,588,59350
589,589,59299
590,590,59255
591,591,59205
592,592,59156
593,593,59111
594,594,59055
595,595,59002
596,596,58953
597,597,58905
598,598,58855
599,599,58794
600,600,58752
601,601,58706
602,602,58651
603,603,58602
604,604,58554
605,605,58496
606,606,58453
607,607,58400
608,608,58343
609,609,58298
610,610,58251
611,611,58196
612,612,58147
613,613,58095
614,614,58044
615,615,58002
616,616,57951
617,617,57899
618,618,57851
619,619,57797
620,620,57745
621,621,57703
622,622,57647
623,623,57602
624,624,57548
625,625,57506
626,626,57451
627,627,57399
628,628,57352
629,629,57302
630,630,57256
631,631,57209
632,632,57160
633,633,57111
634,634,57060
635,635,57013
636,636,56966
637,637,56910
638,638,56864
639,639,56814
640,640,56768
641,641,56716
642,642,56664
643,643,56614
644,644,56565
645,645,56519
646,646,56471
647,647,56420
648,648,56377
649,649,56329
650,650,56276
651,651,56227
652,652,56174
653,653,56128
654,654,56078
655,655,56019
656,656,55974
657,657,55929
658,658,55880
659,659,55832
660,660,55781
661,661,55727
662,662,55685
663,663,55635
664,664,55586
665,665,55541
666,666,55486
667,667,55439
668,668,55390
669,669,55339
670,670,55292
671,671,55240
672,672,55190
673,673,55140
674,674,55093
675,675,55048
676,676,54996
677,677,54947
678,678,54901
679,679,54848
680,680,54804
681,681,54757
682,682,54702
683,683,54652
684,684,54599
685,685,54554
686,686,54507
687,687,54461
688,688,54408
689,689,54369
690,690,54314
691,691,54267
692,692,54216
693,693,54169
694,694,54119
695,695,54072
696,696,54023
697,697,53977
698,698,53928
699,699,53875
700,700,53831
701,701,53785
702,702,53739
703,703,53689
704,704,53639
705,705,53589
706,706,53542
