ID, time, distance, start_x, start_y, end_x, end_y, state 
0,238.605,108.22,176.364,392.672,67.8259,405.313,0
1,357.613,142.894,202.264,305.852,248.076,184.725,0
2,198.603,170.447,308.744,680.888,312.27,818.152,0
3,66.6996,31.2501,146.764,660.143,149.261,693.311,0
4,5.2,3.00124,603.198,811.794,606.172,812.325,0
5,437.717,203.882,485.858,439.588,615.655,539.595,0
6,41.7999,39.3722,177.228,672.555,150.533,693.508,0
7,90.5992,65.7126,562.248,782.831,611.439,756.096,0
8,11.3,7.61492,360.535,180.118,355.935,173.957,0
9,19.1,21.1839,260.058,203.659,251.475,184.42,0
10,178.102,93.0262,365.973,200.914,350.537,174.994,0
11,200.003,155.694,527.329,177.611,647.577,192.011,0
12,64.4996,40.4602,599.321,320.547,630.363,333.708,0
13,34.5,32.4219,175.361,624.853,144.674,616.294,0
14,69.8995,50.2347,115.22,399.661,67.6416,404.508,0
15,444.918,147.829,503.955,200.292,387.354,173.895,1
16,57.9997,28.8349,253.562,213.464,250.127,184.985,0
17,0,0,621.536,612.772,621.536,612.772,0
18,26.4001,18.1955,404.915,96.4033,405.907,78.2361,0
19,162.901,95.9615,168.288,534.019,140.202,611.202,0
20,207.103,163.155,299.655,636.793,144.276,617.31,0
21,141.399,81.5183,557.847,352.917,630.507,334.688,0
22,177.102,142.821,531.258,188.603,647.667,191.788,0
23,221.504,159.205,320.564,305.96,252.129,184.131,0
24,210.304,124.197,209.889,532.593,141.007,611.497,0
25,444.918,166.534,423.164,613.997,540.348,613.103,1
26,156.2,107.768,558.957,376.819,630.368,334.486,0
27,228.705,194.245,482.236,698.3,611.518,754.142,0
28,255.606,118.06,257.389,632.895,144.731,615.665,0
29,315.01,232.429,496.358,505.548,615.82,540.794,0
30,6,5.86073,605.919,752.248,611.455,754.168,0
31,38.8,30.3724,572.31,832.479,602.458,832.955,0
32,444.918,109.14,510.94,653.921,548.127,620.691,1
33,71.6995,61.8635,596.22,229.778,648.023,198.038,0
34,444.918,179.842,393.289,338.21,329.999,219.056,1
35,237.605,133.966,531.456,147.664,653.571,130.245,0
36,221.004,139.825,277.441,644.519,144.508,616.947,0
37,199.203,136.26,298.569,295.744,251.113,184.564,0
38,158.7,123.05,276.222,297.235,250.947,184.589,0
39,163.901,75.6618,417.007,195.696,355.241,174.504,0
40,240.906,86.1367,439.351,179,356.133,173.614,0
41,444.918,193.875,476.17,399.089,630.181,333.731,1
42,147.1,106.637,204.268,562.487,140.818,611.351,0
43,167.601,112.789,546.922,123.811,653.773,129.251,0
44,70.3995,59.2587,193.333,679.733,150.432,693.525,0
45,444.918,159.138,498.021,539.339,542.273,610.45,1
46,394.715,205.102,478.994,414.088,630.724,335.069,0
47,444.918,181.581,213.373,438.762,72.8483,406.998,1
48,25.2001,17.9472,151.972,674.273,149.695,693.151,0
49,208.904,85.6515,541.832,635.338,613.326,612.458,0
50,444.918,261.656,448.727,480.204,603.606,524.236,1
51,444.918,198.541,352.225,360.52,325.897,187.369,1
52,223.404,126.195,536.159,152.806,653.552,130.328,0
53,413.816,207.43,248.069,416.615,67.7788,405.144,0
54,162.401,142.144,265.274,657.145,144.289,617.383,0
55,444.918,184.006,243.776,426.354,90.6113,405.543,1
56,140.099,79.9991,583.226,187.694,647.611,192.029,0
57,444.918,154.926,425.143,434.932,527.703,357.726,1
58,61.5996,57.0029,554.379,758.105,611.073,755.098,0
59,444.918,183.026,409.814,442.512,530.851,361.593,1
60,237.005,141.404,293.245,300.333,252.178,184.133,0
61,252.706,122.98,534.918,131.305,653.67,130.473,0
62,149.8,66.4322,589.296,661.625,613.224,612.837,0
63,444.918,184.792,254.412,354.048,250.802,193.595,1
64,188.502,186.508,534.368,303.723,648.366,198.075,0
65,444.918,186.073,394.19,329.316,326.451,215.151,1
66,149.2,146.603,316.218,694.286,311.931,818.254,0
67,6.8,6.9762,623.427,333.286,630.303,334.126,0
68,172.001,167.766,533.965,288.049,647.908,197.604,0
69,347.112,199.829,253.598,501.43,139.78,611.103,0
70,244.806,116.355,362.946,234.946,350.659,175.027,0
71,124.999,116.771,320.509,712.769,312.035,818.221,0
72,117.999,122.09,351.188,703.579,313.201,818.175,0
73,444.918,245.374,313.453,375.917,252.109,193.05,1
74,444.918,286.693,389.963,442.229,326.226,223.712,1
75,132.599,119.435,583.294,278.677,648.355,198.076,0
76,444.918,191.935,469.974,370.553,608.252,335.319,1
77,377.314,215.103,278.878,372.073,251.103,184.584,0
78,444.918,139.849,419.109,506.4,513.518,453.799,1
79,160.901,98.7921,264.427,280.216,250.089,185.011,0
80,444.918,141.941,444.894,487.243,548.15,451.016,1
81,210.004,101.311,241.075,626.022,144.719,615.652,0
82,26.7001,18.9844,595.573,614.719,613.254,613.058,0
83,444.918,335.783,580.665,537.511,573.053,545.75,1
84,172.701,135.656,313.409,283.318,251.802,184.271,0
85,444.918,211.938,357.058,556.778,207.155,626.223,1
86,378.914,202.842,500.875,576.73,613.381,612.16,0
87,320.41,133.159,211.434,306.944,249.183,185.129,0
88,230.805,117.85,306.952,248.128,349.322,174.473,0
89,148.3,80.1969,357.256,195.594,350.604,175.041,0
90,262.607,103.685,572.956,674.689,613.478,613.646,0
91,86.6992,58.2175,569.849,780.52,611.536,756.427,0
92,157.9,115.837,573.006,442.172,615.741,540.495,0
93,108.899,108.297,87.8419,472.994,67.5023,405.935,0
94,405.216,157.321,205.337,317.948,247.942,184.649,0
95,175.702,94.6542,304.247,230.096,349.072,174.428,0
96,444.918,211.01,378.924,342.867,348.708,177.833,1
97,0,0,405.617,73.7946,405.617,73.7946,0
98,84.3993,75.029,591.442,192.463,647.72,197.145,0
99,356.813,191.582,476.31,550.698,613.383,612.125,0
100,188.802,117.054,575.623,446.331,615.661,539.722,0
101,367.413,121.09,225.091,294.28,248.521,184.844,0
102,238.105,208.346,513.567,259.651,648.202,198.041,0
103,444.918,189.566,388.698,517.112,514.111,451.021,1
104,236.105,107.93,423.227,233.179,355.269,174.546,0
105,143,103.118,541.376,495.618,615.56,540.443,0
106,444.918,144.502,422.903,403.148,525.732,360.902,1
107,22.2,24.1188,167.696,623.023,144.646,616.585,0
108,444.918,106.653,489.801,638.685,555.754,619.585,1
109,444.918,125.717,450.996,638.712,533.996,623.146,1
110,263.207,132.881,272.1,617.498,144.399,616.934,0
111,27.1001,20.273,87.0148,409.776,67.679,405.644,0
112,75.7994,47.0052,605.797,133.528,653.526,130.027,0
113,444.918,129.128,449.268,487.402,517.561,444.396,1
114,85.8993,66.0659,190.423,591.315,144.664,615.694,0
115,59.4997,30.9875,232.799,205.022,248.488,184.802,0
116,173.301,103.32,244.592,631.142,144.594,616.667,0
117,44.9999,45.2706,612.423,192.95,647.802,197.501,0
118,317.01,220.267,385.039,645.766,313.131,818.055,0
119,96.0991,76.7304,268.716,258.645,250.748,184.827,0
120,444.918,149.642,442.832,497.419,548.151,449.509,1
121,206.303,140.878,277.107,648.449,144.573,616.519,0
