step,time,alive
0,0,2966
1,1,2961
2,2,2954
3,3,2950
4,4,2942
5,5,2934
6,6,2924
7,7,2911
8,8,2900
9,9,2884
10,10,2876
11,11,2861
12,12,2852
13,13,2840
14,14,2825
15,15,2810
16,16,2796
17,17,2782
18,18,2767
19,19,2752
20,20,2737
21,21,2725
22,22,2712
23,23,2694
24,24,2679
25,25,2659
26,26,2639
27,27,2624
28,28,2608
29,29,2592
30,30,2575
31,31,2560
32,32,2543
33,33,2529
34,34,2511
35,35,2498
36,36,2485
37,37,2473
38,38,2464
39,39,2450
40,40,2436
41,41,2426
42,42,2414
43,43,2403
44,44,2388
45,45,2373
46,46,2358
47,47,2347
48,48,2337
49,49,2321
50,50,2305
51,51,2289
52,52,2273
53,53,2256
54,54,2242
55,55,2230
56,56,2213
57,57,2196
58,58,2177
59,59,2164
60,60,2149
61,61,2132
62,62,2116
63,63,2101
64,64,2089
65,65,2076
66,66,2061
67,67,2047
68,68,2034
69,69,2020
70,70,2006
71,71,1996
72,72,1979
73,73,1967
74,74,1951
75,75,1935
76,76,1921
77,77,1907
78,78,1890
79,79,1877
80,80,1861
81,81,1848
82,82,1833
83,83,1819
84,84,1802
85,85,1787
86,86,1770
87,87,1753
88,88,1738
89,89,1722
90,90,1707
91,91,1694
92,92,1677
93,93,1657
94,94,1642
95,95,1631
96,96,1615
97,97,1603
98,98,1587
99,99,1572
100,100,1557
101,101,1541
102,102,1524
103,103,1507
104,104,1493
105,105,1476
106,106,1460
107,107,1443
108,108,1422
109,109,1408
110,110,1392
111,111,1374
112,112,1360
113,113,1343
114,114,1323
115,115,1311
116,116,1294
117,117,1278
118,118,1262
119,119,1242
120,120,1227
121,121,1212
122,122,1195
123,123,1180
124,124,1163
125,125,1149
126,126,1131
127,127,1114
128,128,1100
129,129,1085
130,130,1067
131,131,1052
132,132,1038
133,133,1019
134,134,1007
135,135,990
136,136,977
137,137,960
138,138,946
139,139,934
140,140,918
141,141,905
142,142,889
143,143,876
144,144,862
145,145,851
146,146,836
147,147,825
148,148,810
149,149,796
150,150,784
151,151,771
152,152,756
153,153,741
154,154,730
155,155,719
156,156,702
157,157,691
158,158,679
159,159,666
160,160,652
161,161,640
162,162,628
163,163,615
164,164,603
