ID, time, distance, start_x, start_y, end_x, end_y, state 
0,97.4991,111.245,176.364,392.672,67.7587,405.153,0
1,118.999,137.708,202.264,305.852,248.756,184.879,0
2,124.599,167.198,308.744,680.888,312.242,818.161,0
3,26.3001,33.4717,146.764,660.143,149.707,693.164,0
4,3.6,2.95302,603.198,811.794,605.996,812.735,0
5,151.8,205.407,485.858,439.588,615.559,539.829,0
6,29.4001,39.2769,177.228,672.555,149.528,693.201,0
7,55.4997,67.5879,562.248,782.831,611.117,755.265,0
8,7.1,7.74486,360.535,180.118,355.796,174.072,0
9,16.2,21.1669,260.058,203.659,252.329,184.074,0
10,69.6995,90.2651,365.973,200.914,349.66,174.701,0
11,115.099,153.374,527.329,177.611,647.776,191.544,0
12,31.2001,41.7414,599.321,320.547,630.284,334.099,0
13,25.5001,32.6368,175.361,624.853,144.644,615.688,0
14,36.9,48.4523,115.22,399.661,67.7857,405.198,0
15,144.5,167.213,503.955,200.292,356.004,173.737,0
16,22.2,29.0449,253.562,213.464,249.469,185.178,0
17,0,0,621.536,612.772,621.536,612.772,0
18,14.5,18.5168,404.915,96.4033,405.888,78.1485,0
19,77.4994,95.9155,168.288,534.019,139.939,611.065,0
20,131.699,156.695,299.655,636.793,144.758,615.864,0
21,68.5995,82.4372,557.847,352.917,630.317,334.1,0
22,100.899,138.809,531.258,188.603,647.839,191.563,0
23,130.499,156.356,320.564,305.96,250.199,185.01,0
24,100.299,126.859,209.889,532.593,139.869,611.185,0
25,164.401,193.442,423.164,613.997,577.443,617.789,1
26,93.3991,106.422,558.957,376.819,630.315,334.146,0
27,130.699,181.644,482.236,698.3,612.375,752.252,0
28,90.6992,114.324,257.389,632.895,144.718,615.893,0
29,164.401,224.043,496.358,505.548,613.901,540.817,1
30,6.1,5.90936,605.919,752.248,611.603,753.866,0
31,24.5001,30.429,572.31,832.479,602.374,833.318,0
32,113.299,124.996,510.94,653.921,613.168,612.845,0
33,44.7999,61.5444,596.22,229.778,647.983,197.871,0
34,164.401,201.823,393.289,338.21,336.57,182.654,1
35,102.599,135.979,531.456,147.664,653.548,130.046,0
36,115.299,139.543,277.441,644.519,144.823,615.959,0
37,121.499,133.562,298.569,295.744,249.648,185.239,0
38,93.3991,124.639,276.222,297.235,249.746,185.121,0
39,63.0996,71.4422,417.007,195.696,355.987,173.77,0
40,74.1994,86.1761,439.351,179,355.785,174.272,0
41,147.4,185.339,476.17,399.089,630.333,334.146,0
42,76.4994,103.929,204.268,562.487,139.852,611.104,0
43,79.9994,107.789,546.922,123.811,653.478,130.043,0
44,43.0999,58.9016,193.333,679.733,149.461,693.265,0
45,155.1,185.506,498.021,539.339,613.21,612.823,0
46,162.101,199.862,478.994,414.088,630.37,334.143,0
47,160.401,178.447,213.373,438.762,67.7519,405.176,0
48,15.7,19.3777,151.972,674.273,149.669,693.266,0
49,83.4993,86.1521,541.832,635.338,613.258,612.82,0
50,164.401,200.494,448.727,480.204,591.253,491.779,1
51,161.601,219.426,352.225,360.52,349.863,174.786,0
52,96.0991,130.518,536.159,152.806,653.526,130.048,0
53,164.401,193.625,248.069,416.615,79.4597,405.051,1
54,116.199,140.202,265.274,657.145,144.716,615.868,0
55,164.401,196.149,243.776,426.354,80.1467,405.624,1
56,62.5996,81.4994,583.226,187.694,647.629,191.855,0
57,164.401,203.509,425.143,434.932,569.758,339.434,1
58,40.7,57.2915,554.379,758.105,611.077,755.178,0
59,164.401,206.608,409.814,442.512,557.29,347.39,1
60,136.199,139.708,293.245,300.333,249.382,185.215,0
61,86.9992,123.305,534.918,131.305,653.488,130.046,0
62,50.2998,65.5645,589.296,661.625,613.264,612.774,0
63,161.701,187.535,254.412,354.048,249.094,185.14,0
64,129.499,183.72,534.368,303.723,648.047,197.926,0
65,164.401,205.134,394.19,329.316,346.225,178.935,1
66,107.999,148.167,316.218,694.286,312.774,817.981,0
67,6.7,7.10756,623.427,333.286,630.385,334.128,0
68,118.299,167.515,533.965,288.049,648.044,197.834,0
69,148.8,194.347,253.598,501.43,139.934,611.107,0
70,83.1993,113.826,362.946,234.946,349.867,174.735,0
71,83.3993,116.125,320.509,712.769,312.812,817.994,0
72,89.6992,121.962,351.188,703.579,312.802,817.979,0
73,164.401,225.212,313.453,375.917,249.923,205.345,1
74,164.401,225.233,389.963,442.229,333.718,247.074,1
75,86.4993,120.22,583.294,278.677,648.013,197.837,0
76,163.501,204.528,469.974,370.553,630.353,334.15,0
77,164.401,204.7,278.878,372.073,249.089,186.116,1
78,164.401,217.895,419.109,506.4,579.641,456.8,1
79,68.0995,97.8102,264.427,280.216,249.551,185.249,0
80,164.401,191.984,444.894,487.243,585.664,475.467,1
81,67.7995,98.2021,241.075,626.022,144.776,616.028,0
82,15.4,18.7992,595.573,614.719,613.25,612.764,0
83,164.401,150.011,580.665,537.511,576.987,545.7,1
84,109.699,134.542,313.409,283.318,249.949,184.964,0
85,164.401,220.747,357.058,556.778,199.729,624.547,1
86,164.401,185.456,500.875,576.73,601.107,612.274,1
87,120.599,126.723,211.434,306.944,249.123,185.099,0
88,87.6992,107.733,306.952,248.128,349.629,174.577,0
89,58.1997,76.9129,357.256,195.594,349.858,174.676,0
90,65.2996,90.2165,572.956,674.689,613.24,612.74,0
91,48.3998,59.6307,569.849,780.52,611.058,755.101,0
92,85.5993,113.672,573.006,442.172,615.677,540.663,0
93,80.0993,107.792,87.8419,472.994,67.7821,405.164,0
94,126.899,154.837,205.337,317.948,248.472,184.773,0
95,70.6995,89.9676,304.247,230.096,349.616,174.583,0
96,146.2,207.461,378.924,342.867,349.944,174.781,0
97,0,0,405.617,73.7946,405.617,73.7946,0
98,57.0997,73.3814,591.442,192.463,648.023,197.769,0
99,162.901,188.196,476.31,550.698,613.225,612.774,0
100,77.4994,108.799,575.623,446.331,615.942,540.976,0
101,106.399,113.679,225.091,294.28,248.84,184.987,0
102,149.3,207.88,513.567,259.651,647.988,197.828,0
103,164.401,223.433,388.698,517.112,549.204,454.138,1
104,86.2993,107.366,423.227,233.179,355.943,173.778,0
105,73.2995,100.582,541.376,495.618,615.591,540.302,0
106,164.401,189.278,422.903,403.148,567.398,342.016,1
107,18.4,24.3145,167.696,623.023,144.637,615.717,0
108,145.1,158.197,489.801,638.685,613.276,612.784,0
109,164.401,178.926,450.996,638.712,612.156,612.743,1
110,109.699,135.532,272.1,617.498,144.725,615.954,0
111,16.3,20.0031,87.0148,409.776,67.7462,405.154,0
112,34.3,48.3795,605.797,133.528,653.55,130.047,0
113,164.401,198.032,449.268,487.402,590.184,483.264,1
114,52.3998,67.592,190.423,591.315,144.59,616.605,0
115,25.8001,30.3629,232.799,205.022,249.632,185.212,0
116,71.1995,101.516,244.592,631.142,144.742,615.683,0
117,33.9001,45.0542,612.423,192.95,648.295,198.129,0
118,153.2,213.685,385.039,645.766,312.746,817.993,0
119,53.5998,76.7789,268.716,258.645,249.549,185.199,0
120,164.401,199.817,442.832,497.419,586.965,473.13,1
121,118.499,143.906,277.107,648.449,144.831,615.856,0
122,108.599,137.58,233.61,775.701,152.794,701.749,0
123,131.199,184.898,534.131,305.375,648.053,197.826,0
124,91.0992,129.495,525.75,706.958,612.244,752.451,0
125,55.9997,76.7679,188.981,211.898,249.634,185.2,0
126,72.2995,100.107,330.408,721.932,312.787,817.984,0
127,0,0,619.765,613.058,619.765,613.058,0
128,22.4,27.8605,159.186,600.817,144.674,616.411,0
129,92.9992,116.302,126.777,515.013,139.949,611.124,0
130,79.4994,110.94,574.102,444.642,615.602,539.6,0
131,120.399,131.829,162.426,440.662,67.7178,405.151,0
132,123.299,137.708,203.959,403.934,67.7294,405.156,0
133,97.3991,122.859,514.607,337.044,630.367,334.14,0
134,151.8,172.644,244.062,343.776,249.777,185.124,0
135,73.4995,93.1291,160.518,402.653,67.7211,405.248,0
136,57.3997,69.1004,417.222,192.597,355.815,174.225,0
137,152.5,178.344,244.764,350.141,250.037,184.979,0
138,164.401,233.172,405.087,395.816,321.843,201.371,1
139,20.5,25.8191,145.54,642.325,139.857,620.865,0
140,49.2998,64.8022,550.927,752.932,611.16,755.157,0
141,3.8,3.23566,138.044,608.386,139.123,611.436,0
142,47.8998,65.6939,593.826,199.696,647.969,197.99,0
143,37.2,50.2252,613.206,146.39,653.464,129.976,0
144,54.3997,75.8429,230.742,258.287,249.628,185.231,0
145,164.401,187.648,443.355,437.553,575.511,340.074,1
146,81.3993,114.035,345.47,266.739,349.96,174.84,0
147,0,0,248.686,175.68,248.686,175.68,0
148,68.0995,77.0595,423.08,157.795,355.992,173.75,0
149,45.9999,64.1156,550.767,753.698,611.103,755.198,0
150,55.1997,74.4521,173.864,561.139,139.936,611.103,0
151,131.099,172.312,359.347,658.579,312.439,818.078,0
152,113.699,148.44,517.411,136.785,653.596,130.047,0
153,164.401,230.999,377.964,572.706,324.177,771.439,1
154,131.199,165.761,173.634,301.568,248.32,184.775,0
155,164.401,226.504,399.08,508.217,569.38,450.592,1
156,72.2995,89.8546,544.991,353.236,630.284,334.085,0
157,38,52.5196,119.133,398.95,67.7262,405.186,0
158,87.1992,108.252,428.823,228.007,355.769,174.21,0
159,164.401,230.329,295.221,411.203,251.796,212.083,1
160,19,22.9341,262.539,204.213,252.83,183.904,0
161,62.8996,79.199,358.652,195.365,350,174.791,0
162,134.599,186.555,386.157,301.796,349.895,174.722,0
163,125.099,163.653,492.259,114.817,653.53,130.043,0
164,164.401,203.216,256.427,421.573,81.6727,404.902,1
165,101.299,115.296,197.96,258.543,248.978,184.992,0
166,164.401,227.23,397.501,589.543,343.279,728.998,1
167,164.401,202.97,407.248,615,570.386,617.713,1
168,164.401,235.576,358.31,419.067,322.226,195.978,1
169,108.299,107.722,233.032,288.859,249.278,185.238,0
170,108.799,123.859,549.703,563.813,613.183,612.819,0
171,164.401,205.498,259.151,422.771,82.8814,405.16,1
172,71.3995,97.0903,176.337,535.626,139.944,611.191,0
173,164.401,63.797,315.448,401.024,306.269,390.581,1
174,0,0,250.926,181.607,250.926,181.607,0
175,40.6,56.7729,144.236,554.657,139.911,611.056,0
176,52.2998,70.9033,114.093,436.587,67.806,405.244,0
177,159.001,169.826,199.119,340.374,67.7553,405.163,0
178,88.8992,114.336,266.791,294.55,249.79,185.125,0
179,48.8998,65.2084,200.995,210.913,249.314,185.138,0
180,94.1991,119.85,535.423,669.973,613.206,612.816,0
181,2.2,1.35252,254.568,183.412,253.297,182.949,0
182,105.099,114.406,181.278,401.143,67.7382,405.158,0
