step,time,alive
0,0,7910
1,1,7898
2,2,7882
3,3,7862
4,4,7835
5,5,7814
6,6,7786
7,7,7757
8,8,7733
9,9,7704
10,10,7675
11,11,7653
12,12,7629
13,13,7605
14,14,7579
15,15,7547
16,16,7523
17,17,7494
18,18,7471
19,19,7439
20,20,7411
21,21,7377
22,22,7352
23,23,7322
24,24,7289
25,25,7259
26,26,7227
27,27,7199
28,28,7163
29,29,7131
30,30,7100
31,31,7063
32,32,7029
33,33,6999
34,34,6969
35,35,6934
36,36,6898
37,37,6866
38,38,6835
39,39,6801
40,40,6773
41,41,6740
42,42,6708
43,43,6673
44,44,6645
45,45,6617
46,46,6578
47,47,6548
48,48,6520
49,49,6483
50,50,6454
51,51,6425
52,52,6390
53,53,6356
54,54,6329
55,55,6302
56,56,6273
57,57,6243
58,58,6212
59,59,6193
60,60,6161
61,61,6134
62,62,6108
63,63,6080
64,64,6052
65,65,6028
66,66,5998
67,67,5973
68,68,5944
69,69,5916
70,70,5889
71,71,5864
72,72,5837
73,73,5808
74,74,5778
75,75,5754
76,76,5727
77,77,5698
78,78,5672
79,79,5647
80,80,5617
81,81,5591
82,82,5566
83,83,5541
84,84,5514
85,85,5491
86,86,5464
87,87,5437
88,88,5406
89,89,5381
90,90,5354
91,91,5329
92,92,5303
93,93,5281
94,94,5253
95,95,5225
96,96,5199
97,97,5171
98,98,5149
99,99,5119
100,100,5097
101,101,5071
102,102,5047
103,103,5022
104,104,4992
105,105,4969
106,106,4941
107,107,4918
108,108,4890
109,109,4865
110,110,4837
111,111,4813
112,112,4787
113,113,4763
114,114,4736
115,115,4711
116,116,4684
117,117,4659
118,118,4632
119,119,4605
120,120,4577
121,121,4555
122,122,4533
123,123,4503
124,124,4475
125,125,4449
126,126,4426
127,127,4401
128,128,4372
129,129,4348
130,130,4319
131,131,4292
132,132,4264
133,133,4242
134,134,4216
135,135,4197
136,136,4170
137,137,4146
138,138,4116
139,139,4093
140,140,4076
141,141,4042
142,142,4025
143,143,3993
144,144,3973
145,145,3944
146,146,3918
147,147,3892
148,148,3866
149,149,3846
150,150,3821
151,151,3794
152,152,3772
153,153,3748
154,154,3727
155,155,3704
156,156,3681
157,157,3658
158,158,3638
159,159,3612
160,160,3591
161,161,3569
162,162,3548
163,163,3527
164,164,3501
165,165,3476
166,166,3452
167,167,3431
168,168,3405
169,169,3386
170,170,3362
171,171,3338
172,172,3315
173,173,3291
174,174,3267
175,175,3246
176,176,3222
177,177,3200
178,178,3175
179,179,3155
180,180,3136
181,181,3114
182,182,3093
183,183,3074
184,184,3055
185,185,3036
186,186,3015
187,187,2996
188,188,2978
189,189,2956
190,190,2937
191,191,2922
192,192,2902
193,193,2882
194,194,2864
195,195,2847
196,196,2829
197,197,2808
198,198,2793
199,199,2771
200,200,2754
201,201,2736
202,202,2716
203,203,2700
204,204,2681
205,205,2660
206,206,2646
207,207,2623
208,208,2604
209,209,2586
210,210,2565
211,211,2549
212,212,2529
213,213,2511
214,214,2492
215,215,2474
216,216,2456
217,217,2438
218,218,2422
219,219,2400
220,220,2382
221,221,2362
222,222,2341
223,223,2324
224,224,2304
225,225,2290
226,226,2270
227,227,2250
228,228,2231
229,229,2217
230,230,2193
231,231,2178
232,232,2163
233,233,2142
234,234,2124
235,235,2104
236,236,2083
237,237,2067
238,238,2047
239,239,2028
240,240,2009
241,241,1991
242,242,1973
243,243,1954
244,244,1938
245,245,1920
246,246,1904
247,247,1886
248,248,1869
249,249,1851
250,250,1834
251,251,1815
252,252,1798
253,253,1782
254,254,1766
255,255,1750
256,256,1733
257,257,1715
258,258,1697
259,259,1678
260,260,1662
261,261,1646
262,262,1629
263,263,1614
