ID, time, distance, start_x, start_y, end_x, end_y, state 
0,148,109.812,176.364,392.672,67.835,404.96,0
1,189.102,139.703,202.264,305.852,248.213,184.681,0
2,146.8,168.132,308.744,680.888,312.237,818.21,0
3,35,33.0633,146.764,660.143,149.916,693.151,0
4,4.7,3.17753,603.198,811.794,606.025,812.722,0
5,201.103,203.338,485.858,439.588,615.681,539.618,0
6,34.1001,39.8819,177.228,672.555,150.162,693.407,0
7,60.6996,67.9357,562.248,782.831,611.221,754.9,0
8,7.89999,7.73953,360.535,180.118,355.759,174.089,0
9,17.8,21.167,260.058,203.659,252.509,184.033,0
10,93.7991,90.9869,365.973,200.914,349.619,174.561,0
11,127.899,152.239,527.329,177.611,647.621,192.074,0
12,34.2001,41.7836,599.321,320.547,630.364,334.154,0
13,24.6001,31.7248,175.361,624.853,144.799,616.226,0
14,58.5997,46.0889,115.22,399.661,67.8115,405.314,0
15,246.806,173.634,503.955,200.292,356.056,173.482,0
16,29.1001,28.7593,253.562,213.464,249.749,185.094,0
17,0,0,621.536,612.772,621.536,612.772,0
18,15.9,18.4137,404.915,96.4033,405.91,78.237,0
19,129.499,95.3471,168.288,534.019,139.885,611.094,0
20,181.802,160.119,299.655,636.793,144.799,616.144,0
21,93.8991,80.2783,557.847,352.917,630.289,334.317,0
22,114.999,138.177,531.258,188.603,647.907,191.269,0
23,143.4,155.682,320.564,305.96,250.873,184.682,0
24,147,125.421,209.889,532.593,139.882,611.116,0
25,263.807,177.598,423.164,613.997,554.917,614.422,1
26,130.999,104.488,558.957,376.819,630.41,334.409,0
27,146.2,182.303,482.236,698.3,611.996,752.907,0
28,133.499,114.749,257.389,632.895,144.797,615.989,0
29,200.203,228.165,496.358,505.548,615.561,540.21,0
30,6,5.84526,605.919,752.248,611.558,753.787,0
31,27.1001,30.5493,572.31,832.479,602.439,833.251,0
32,205.003,124.167,510.94,653.921,613.327,613.132,0
33,48.6998,61.9367,596.22,229.778,647.965,197.824,0
34,263.807,210.747,393.289,338.21,346.45,178.633,1
35,141.199,137.079,531.456,147.664,653.456,130.049,0
36,204.003,145.98,277.441,644.519,144.656,615.617,0
37,161.701,133.774,298.569,295.744,250.736,184.755,0
