step,time,alive
0,0,7910
1,1,7898
2,2,7881
3,3,7861
4,4,7834
5,5,7809
6,6,7782
7,7,7751
8,8,7727
9,9,7699
10,10,7672
11,11,7642
12,12,7617
13,13,7590
14,14,7559
15,15,7531
16,16,7503
17,17,7474
18,18,7446
19,19,7415
20,20,7381
21,21,7353
22,22,7318
23,23,7282
24,24,7248
25,25,7217
26,26,7181
27,27,7147
28,28,7116
29,29,7079
30,30,7043
31,31,7008
32,32,6969
33,33,6933
34,34,6900
35,35,6863
36,36,6828
37,37,6786
38,38,6751
39,39,6718
40,40,6682
41,41,6646
42,42,6615
43,43,6579
44,44,6546
45,45,6507
46,46,6476
47,47,6442
48,48,6406
49,49,6377
50,50,6341
51,51,6314
52,52,6286
53,53,6256
54,54,6225
55,55,6197
56,56,6164
57,57,6132
58,58,6097
59,59,6068
60,60,6033
61,61,6002
62,62,5968
63,63,5937
64,64,5905
65,65,5870
66,66,5841
67,67,5810
68,68,5777
69,69,5747
70,70,5714
71,71,5686
72,72,5652
73,73,5625
74,74,5594
75,75,5565
76,76,5535
77,77,5503
78,78,5471
79,79,5441
80,80,5411
81,81,5385
82,82,5351
83,83,5320
84,84,5287
85,85,5259
86,86,5227
87,87,5196
88,88,5162
89,89,5133
90,90,5104
91,91,5073
92,92,5043
93,93,5015
94,94,4983
95,95,4955
96,96,4929
97,97,4894
98,98,4870
99,99,4839
100,100,4805
101,101,4773
102,102,4743
103,103,4714
104,104,4684
105,105,4659
106,106,4624
107,107,4595
108,108,4564
109,109,4536
110,110,4509
111,111,4478
112,112,4452
113,113,4423
114,114,4390
115,115,4357
116,116,4328
117,117,4302
118,118,4272
119,119,4241
120,120,4213
121,121,4186
122,122,4155
123,123,4123
124,124,4096
125,125,4066
126,126,4038
127,127,4013
128,128,3986
129,129,3954
130,130,3928
131,131,3897
132,132,3869
133,133,3843
134,134,3816
135,135,3788
136,136,3762
137,137,3731
138,138,3704
139,139,3678
140,140,3653
141,141,3626
142,142,3598
143,143,3574
144,144,3545
145,145,3517
146,146,3490
147,147,3469
148,148,3441
149,149,3418
150,150,3391
151,151,3362
152,152,3332
153,153,3309
154,154,3282
155,155,3255
156,156,3229
157,157,3203
158,158,3176
159,159,3150
160,160,3121
161,161,3097
162,162,3072
163,163,3046
164,164,3020
165,165,2997
166,166,2975
167,167,2952
168,168,2929
169,169,2906
170,170,2882
171,171,2859
172,172,2836
173,173,2813
174,174,2794
175,175,2767
176,176,2746
177,177,2718
178,178,2697
179,179,2675
180,180,2653
181,181,2630
182,182,2605
183,183,2583
184,184,2562
185,185,2538
186,186,2515
187,187,2494
188,188,2474
189,189,2451
190,190,2430
191,191,2405
192,192,2384
193,193,2359
194,194,2339
195,195,2317
196,196,2296
197,197,2275
198,198,2254
199,199,2230
200,200,2208
201,201,2184
202,202,2162
203,203,2142
204,204,2122
205,205,2096
206,206,2076
207,207,2052
208,208,2030
209,209,2013
210,210,1987
211,211,1968
212,212,1946
213,213,1925
214,214,1903
215,215,1880
216,216,1864
217,217,1840
218,218,1822
219,219,1797
220,220,1778
221,221,1758
222,222,1738
223,223,1715
224,224,1694
225,225,1671
226,226,1651
227,227,1632
228,228,1613
