ID, time, distance, start_x, start_y, end_x, end_y, state 
0,167.701,110.353,176.364,392.672,67.7058,405.595,0
1,229.205,137.685,202.264,305.852,248.983,185.048,0
2,161.801,166.102,308.744,680.888,312.341,818.068,0
3,35.7,33.5191,146.764,660.143,150.109,693.276,0
4,4.9,3.10666,603.198,811.794,605.973,812.588,0
5,278.708,205.943,485.858,439.588,615.613,539.698,0
6,33.6001,39.1643,177.228,672.555,149.915,693.214,0
7,62.6996,66.1863,562.248,782.831,611.052,755.44,0
8,8.3,7.63187,360.535,180.118,355.93,174.099,0
9,17.7,21.0504,260.058,203.659,251.374,184.492,0
10,109.299,90.7133,365.973,200.914,349.49,174.553,0
11,138.799,152.282,527.329,177.611,648.449,190.812,0
12,37.3,41.9955,599.321,320.547,630.344,334.058,0
13,25.3001,31.81,175.361,624.853,144.763,616.207,0
14,62.6996,47.8195,115.22,399.661,67.7295,404.814,0
15,302.609,156.072,503.955,200.292,365.365,173.546,1
16,33.3001,28.7887,253.562,213.464,249.506,185.17,0
17,0,0,621.536,612.772,621.536,612.772,0
18,16.3,18.4811,404.915,96.4033,405.82,78.1795,0
19,143.1,96.1521,168.288,534.019,139.528,611.216,0
20,198.903,158.805,299.655,636.793,144.656,616.374,0
21,115.799,83.9462,557.847,352.917,630.44,333.757,0
22,120.399,139.31,531.258,188.603,647.807,191.674,0
23,152.8,155.731,320.564,305.96,252.129,184.053,0
24,137.699,125.363,209.889,532.593,140.149,611.179,0
25,302.609,170.972,423.164,613.997,549.664,615.4,1
26,135.199,107.357,558.957,376.819,630.358,334.388,0
27,175.101,185.222,482.236,698.3,611.934,753.274,0
28,162.001,115.674,257.389,632.895,144.705,615.607,0
29,227.105,227.625,496.358,505.548,615.669,540.449,0
30,6.2,5.94977,605.919,752.248,611.674,753.759,0
31,28.0001,30.0881,572.31,832.479,602.362,833.291,0
32,236.005,131.427,510.94,653.921,613.261,613.091,0
33,49.9998,61.7156,596.22,229.778,647.988,197.891,0
34,302.609,181.382,393.289,338.21,322.481,193.247,1
35,148.6,137.158,531.456,147.664,653.618,130.259,0
36,193.103,140.373,277.441,644.519,144.727,615.703,0
37,165.201,133.239,298.569,295.744,251.132,184.638,0
38,153.3,124.319,276.222,297.235,250.325,184.92,0
39,106.599,72.06,417.007,195.696,356.339,173.186,0
40,117.699,85.6735,439.351,179,356.251,173.236,0
41,295.609,185.793,476.17,399.089,630.412,333.694,0
42,113.399,103.273,204.268,562.487,140.156,611.176,0
43,117.799,108.09,546.922,123.811,653.605,129.728,0
44,47.9998,58.1164,193.333,679.733,149.484,693.219,0
45,302.609,144.981,498.021,539.339,558.616,611.34,1
46,284.908,194.96,478.994,414.088,630.383,334.464,0
47,302.609,183.409,213.373,438.762,69.1475,406.406,1
48,19.8,19.3635,151.972,674.273,149.318,693.274,0
49,175.502,87.0008,541.832,635.338,613.177,612.823,0
50,302.609,225.369,448.727,480.204,597.468,511.577,1
51,302.609,207.051,352.225,360.52,338.763,182.259,1
52,144.6,129.899,536.159,152.806,653.637,130.374,0
53,302.609,199.283,248.069,416.615,73.793,404.998,1
54,154,140.165,265.274,657.145,144.829,616.024,0
55,302.609,200.917,243.776,426.354,77.9115,406.721,1
56,87.0992,81.1204,583.226,187.694,648.475,190.805,0
57,302.609,191.196,425.143,434.932,557.639,346.735,1
58,49.2998,57.7303,554.379,758.105,611.236,754.798,0
59,302.609,183.336,409.814,442.512,529.842,356.959,1
60,188.702,139.729,293.245,300.333,251.309,184.505,0
61,134.399,122.983,534.918,131.305,653.566,129.616,0
62,95.0991,65.9612,589.296,661.625,613.255,612.788,0
63,295.609,189.574,254.412,354.048,250.634,184.798,0
64,148.8,183.511,534.368,303.723,648.112,198.037,0
65,302.609,182.345,394.19,329.316,322.754,191.799,1
66,126.699,147.329,316.218,694.286,312.339,818.069,0
67,6.4,6.99473,623.427,333.286,630.254,334.318,0
68,131.299,167.539,533.965,288.049,647.923,197.761,0
69,241.006,193.911,253.598,501.43,139.507,611.207,0
70,119.999,113.238,362.946,234.946,349.722,174.696,0
71,100.099,115.576,320.509,712.769,312.407,818.07,0
72,107.499,121.881,351.188,703.579,313.104,818.106,0
73,302.609,247.05,313.453,375.917,251.421,184.974,1
74,302.609,270.637,389.963,442.229,324.048,204.412,1
75,99.899,119.952,583.294,278.677,647.924,197.754,0
76,302.609,195.041,469.974,370.553,617.359,333.238,1
77,267.907,206.322,278.878,372.073,251.873,184.263,0
78,302.609,201.777,419.109,506.4,562.331,451.322,1
79,112.799,98.238,264.427,280.216,249.795,185.096,0
80,302.609,182.497,444.894,487.243,578.675,461.149,1
81,118.499,99.7162,241.075,626.022,144.823,615.785,0
82,18.9,19.0639,595.573,614.719,613.321,613.068,0
83,302.609,227.462,580.665,537.511,571.877,545.974,1
84,155.2,136.379,313.409,283.318,251.399,184.502,0
85,302.609,206.715,357.058,556.778,210.999,626.418,1
86,302.609,190.531,500.875,576.73,598.82,613.031,1
87,190.102,131.545,211.434,306.944,248.65,184.889,0
88,122.899,110.17,306.952,248.128,349.742,174.67,0
89,91.4992,76.5506,357.256,195.594,350.095,174.828,0
90,139.699,90.2245,572.956,674.689,613.22,612.961,0
91,58.6997,59.2528,569.849,780.52,611.224,754.795,0
92,106.599,115.551,573.006,442.172,615.5,540.172,0
93,97.2991,108.579,87.8419,472.994,67.7969,405.418,0
94,247.506,153.902,205.337,317.948,249.698,185.216,0
95,107.199,89.8854,304.247,230.096,349.488,174.554,0
96,279.908,207.935,378.924,342.867,349.646,174.617,0
97,0,0,405.617,73.7946,405.617,73.7946,0
98,66.4996,73.4621,591.442,192.463,647.865,197.666,0
99,296.509,190.213,476.31,550.698,613.24,612.816,0
100,94.4991,110.1,575.623,446.331,615.478,539.959,0
101,226.705,114.12,225.091,294.28,248.967,185.037,0
102,170.701,207.009,513.567,259.651,647.95,197.904,0
103,302.609,202.725,388.698,517.112,536.121,443.954,1
104,168.801,108.571,423.227,233.179,355.634,174.397,0
105,89.5992,101.359,541.376,495.618,615.479,539.995,0
106,302.609,151.108,422.903,403.148,527.163,357.517,1
107,19,23.982,167.696,623.023,144.641,616.428,0
108,302.609,98.4989,489.801,638.685,553.597,615.885,1
109,302.609,128.091,450.996,638.712,554.443,614.759,1
110,229.805,135.676,272.1,617.498,144.835,616.14,0
111,21.2,19.7579,87.0148,409.776,67.8113,405.249,0
112,52.6998,48.322,605.797,133.528,653.564,129.823,0
113,302.609,225.312,449.268,487.402,598.577,506.406,1
114,70.3995,68.4213,190.423,591.315,144.812,615.792,0
115,35,28.8037,232.799,205.022,248.784,184.977,0
116,117.099,101.601,244.592,631.142,144.667,615.585,0
