step,time,alive
0,0,7904
1,1,7891
2,2,7872
3,3,7851
4,4,7828
5,5,7805
6,6,7772
7,7,7745
8,8,7717
9,9,7690
10,10,7664
11,11,7638
12,12,7613
13,13,7592
14,14,7566
15,15,7544
16,16,7515
17,17,7482
18,18,7456
19,19,7428
20,20,7398
21,21,7366
22,22,7338
23,23,7314
24,24,7288
25,25,7255
26,26,7222
27,27,7192
28,28,7163
29,29,7131
30,30,7105
31,31,7072
32,32,7042
33,33,7017
34,34,6985
35,35,6951
36,36,6922
37,37,6888
38,38,6857
39,39,6832
40,40,6803
41,41,6776
42,42,6747
43,43,6714
44,44,6686
45,45,6657
46,46,6629
47,47,6597
48,48,6568
49,49,6541
50,50,6509
51,51,6477
52,52,6451
53,53,6422
54,54,6391
55,55,6362
56,56,6331
57,57,6303
58,58,6278
59,59,6249
60,60,6223
61,61,6195
62,62,6167
63,63,6143
64,64,6114
65,65,6091
66,66,6062
67,67,6038
68,68,6011
69,69,5985
70,70,5958
71,71,5933
72,72,5909
73,73,5881
74,74,5855
75,75,5827
76,76,5803
77,77,5777
78,78,5755
79,79,5732
80,80,5705
81,81,5681
82,82,5658
83,83,5635
84,84,5611
85,85,5586
86,86,5562
87,87,5534
88,88,5512
89,89,5487
90,90,5465
91,91,5442
92,92,5423
93,93,5400
94,94,5375
95,95,5356
96,96,5333
97,97,5309
98,98,5288
99,99,5264
100,100,5242
101,101,5221
102,102,5201
103,103,5180
104,104,5154
105,105,5132
106,106,5109
107,107,5086
108,108,5064
109,109,5037
110,110,5020
111,111,4995
112,112,4975
113,113,4952
114,114,4931
115,115,4908
116,116,4889
117,117,4863
118,118,4841
119,119,4822
120,120,4801
121,121,4777
122,122,4757
123,123,4734
124,124,4712
125,125,4690
126,126,4672
127,127,4648
128,128,4624
129,129,4605
130,130,4583
131,131,4560
132,132,4542
133,133,4518
134,134,4500
135,135,4480
136,136,4458
137,137,4434
138,138,4411
139,139,4391
140,140,4368
141,141,4347
142,142,4323
143,143,4302
144,144,4278
145,145,4259
146,146,4233
147,147,4214
148,148,4192
149,149,4171
150,150,4150
151,151,4130
152,152,4108
153,153,4089
154,154,4066
155,155,4049
156,156,4031
157,157,4008
158,158,3992
159,159,3972
160,160,3953
161,161,3933
162,162,3913
163,163,3890
164,164,3873
165,165,3854
166,166,3837
167,167,3816
168,168,3793
169,169,3774
170,170,3757
171,171,3737
172,172,3718
173,173,3699
174,174,3682
175,175,3661
176,176,3642
177,177,3620
178,178,3601
179,179,3580
180,180,3563
181,181,3542
182,182,3523
183,183,3505
184,184,3483
185,185,3463
186,186,3446
187,187,3428
188,188,3413
189,189,3397
190,190,3382
191,191,3367
192,192,3350
193,193,3331
194,194,3317
195,195,3302
196,196,3287
197,197,3271
198,198,3255
199,199,3243
200,200,3227
201,201,3215
202,202,3203
203,203,3185
204,204,3169
205,205,3155
206,206,3145
207,207,3127
208,208,3113
209,209,3097
210,210,3083
211,211,3070
212,212,3055
213,213,3041
214,214,3027
215,215,3010
216,216,2995
217,217,2983
218,218,2969
219,219,2953
220,220,2938
221,221,2929
222,222,2912
223,223,2900
224,224,2885
225,225,2869
226,226,2854
227,227,2839
228,228,2826
229,229,2811
230,230,2796
231,231,2785
232,232,2769
233,233,2754
234,234,2742
235,235,2729
236,236,2711
237,237,2696
238,238,2683
239,239,2667
240,240,2654
241,241,2637
242,242,2623
243,243,2605
244,244,2590
245,245,2576
246,246,2563
247,247,2548
248,248,2532
249,249,2517
250,250,2504
251,251,2489
252,252,2475
253,253,2461
254,254,2446
255,255,2431
256,256,2419
257,257,2404
258,258,2390
259,259,2377
260,260,2362
261,261,2348
262,262,2337
263,263,2320
264,264,2306
265,265,2293
266,266,2278
267,267,2265
268,268,2250
269,269,2236
270,270,2222
271,271,2206
272,272,2192
273,273,2179
274,274,2163
275,275,2147
276,276,2134
277,277,2117
278,278,2105
279,279,2090
280,280,2076
281,281,2062
282,282,2048
283,283,2032
284,284,2018
285,285,2003
286,286,1991
287,287,1977
288,288,1972
289,289,1954
290,290,1942
291,291,1931
292,292,1918
293,293,1906
294,294,1891
295,295,1878
296,296,1866
297,297,1855
298,298,1844
299,299,1833
300,300,1819
301,301,1808
302,302,1797
303,303,1788
304,304,1776
305,305,1766
306,306,1752
307,307,1742
308,308,1730
309,309,1721
310,310,1708
311,311,1698
312,312,1687
313,313,1675
314,314,1662
315,315,1653
316,316,1643
317,317,1632
318,318,1624
319,319,1610
