ID, time, distance, start_x, start_y, end_x, end_y, state 
1,180.402,137.534,202.264,305.852,248.478,184.814,0
2,151.5,167.355,308.744,680.888,312.339,818.126,0
3,32.7001,33.5114,146.764,660.143,149.911,693.209,0
4,4.9,3.19733,603.198,811.794,606.034,812.763,0
5,213.104,206.129,485.858,439.588,615.631,539.585,0
6,31.9001,39.3541,177.228,672.555,149.816,693.172,0
7,60.8996,67.2181,562.248,782.831,611.143,755.255,0
8,7.79999,7.64028,360.535,180.118,355.822,174.167,0
9,18.2,21.3072,260.058,203.659,252.375,183.991,0
10,101.799,95.434,365.973,200.914,349.602,174.611,0
11,150.5,157.937,527.329,177.611,647.687,191.706,0
12,36.4,44.279,599.321,320.547,630.277,334.078,0
13,24.7001,31.9142,175.361,624.853,144.749,616.246,0
14,55.9997,49.1472,115.22,399.661,67.6755,404.782,0
15,253.406,166.433,503.955,200.292,361.26,174.257,1
16,28.4001,29.19,253.562,213.464,249.896,185.108,0
17,0,0,621.536,612.772,621.536,612.772,0
18,15.3,18.4391,404.915,96.4033,405.893,78.226,0
19,105.399,95.2957,168.288,534.019,139.71,611.144,0
20,81.4993,83.6275,557.847,352.917,630.301,333.895,0
21,114.899,139.19,531.258,188.603,647.775,191.876,0
22,164.101,156.024,320.564,305.96,251.151,184.545,0
23,253.406,181.326,423.164,613.997,545.72,617.291,1
24,111.499,108.187,558.957,376.819,630.405,334.386,0
25,145.6,182.358,482.236,698.3,612.001,752.79,0
26,132.199,113.858,257.389,632.895,144.683,615.744,0
27,223.904,227.88,496.358,505.548,615.609,539.609,0
28,6,5.84585,605.919,752.248,611.559,753.787,0
29,28.4001,30.4386,572.31,832.479,602.442,833.277,0
30,184.602,130.353,510.94,653.921,613.339,613.053,0
31,47.4998,61.8294,596.22,229.778,648.313,198.103,0
32,253.406,193.509,393.289,338.21,325.735,187.918,1
33,142.299,135.781,531.456,147.664,653.557,130.038,0
34,207.803,146.786,277.441,644.519,144.79,615.853,0
35,165.301,135.414,298.569,295.744,250.985,184.58,0
36,137.199,125.065,276.222,297.235,250.801,184.734,0
37,94.8991,87.5074,439.351,179,355.708,174.307,0
38,253.406,178.475,476.17,399.089,607.099,335.208,1
39,105.499,105.363,204.268,562.487,144.644,615.701,0
40,108.499,108.062,546.922,123.811,653.557,129.953,0
41,46.0999,58.8711,193.333,679.733,149.501,693.272,0
42,250.106,187.895,498.021,539.339,613.329,612.487,0
43,253.406,189.124,478.994,414.088,602.805,334.677,1
44,253.406,174.572,213.373,438.762,74.4312,405.527,1
45,17.4,19.3354,151.972,674.273,149.695,693.276,0
46,120.999,88.1495,541.832,635.338,613.243,612.831,0
47,253.406,98.439,448.727,480.204,517.81,443.608,1
48,253.406,224.521,352.225,360.52,349.213,175.257,1
49,130.999,129.657,536.159,152.806,653.514,130.046,0
50,253.406,184.984,248.069,416.615,89.998,405.703,1
51,155.5,142.967,265.274,657.145,144.767,616.065,0
52,253.406,188.949,243.776,426.354,89.4795,404.851,1
53,77.2994,82.8525,583.226,187.694,648.394,190.794,0
54,253.406,205.587,425.143,434.932,590.573,489.37,1
55,46.4999,57.5848,554.379,758.105,611.197,754.867,0
56,253.406,181.746,409.814,442.512,578.91,452.086,1
57,181.502,140.944,293.245,300.333,251.119,184.576,0
58,116.599,123.564,534.918,131.305,653.51,129.954,0
59,70.4995,64.9819,589.296,661.625,613.316,613.049,0
60,253.406,183.415,254.412,354.048,248.572,191.131,1
61,140.199,183.053,534.368,303.723,648.042,198.038,0
62,250.406,219.864,394.19,329.316,349.65,174.606,0
63,116.599,147.997,316.218,694.286,312.275,818.069,0
64,6.5,7.1341,623.427,333.286,630.391,334.039,0
65,124.699,167.65,533.965,288.049,647.928,197.832,0
66,206.503,207.143,253.598,501.43,139.95,611.108,0
67,103.899,116.97,362.946,234.946,349.564,174.549,0
68,88.3992,116.115,320.509,712.769,312.383,818.09,0
69,96.8991,122.363,351.188,703.579,312.684,817.952,0
70,253.406,226.904,313.453,375.917,250.209,200.513,1
71,253.406,265.555,389.963,442.229,325.031,207.958,1
72,95.4991,119.634,583.294,278.677,647.993,197.895,0
73,253.406,191.11,469.974,370.553,600.169,335.304,1
74,253.406,197.581,278.878,372.073,249.781,191.363,1
75,253.406,140.905,419.109,506.4,514.873,453.554,1
76,104.199,97.1348,264.427,280.216,249.944,185.143,0
77,253.406,122.324,444.894,487.243,536.944,443.859,1
78,87.1992,101.451,241.075,626.022,144.79,616.191,0
79,17.9,18.9928,595.573,614.719,613.166,612.843,0
80,253.406,192.127,580.665,537.511,574.544,545.519,1
81,159.501,135.807,313.409,283.318,249.837,185.079,0
82,253.406,234.402,357.058,556.778,190.029,622.384,1
83,238.105,199.234,500.875,576.73,613.272,612.494,0
84,161.901,129.226,211.434,306.944,248.396,184.825,0
85,107.799,109.826,306.952,248.128,349.779,174.687,0
86,75.3994,79.0019,357.256,195.594,349.816,174.668,0
87,114.899,90.6575,572.956,674.689,613.257,612.972,0
88,53.6998,59.5413,569.849,780.52,611.144,755.284,0
89,112.899,114.49,573.006,442.172,615.491,540.025,0
90,91.6992,109.414,87.8419,472.994,67.8374,405.385,0
91,227.705,161.073,205.337,317.948,248.488,184.808,0
92,89.6992,92.4315,304.247,230.096,349.937,174.765,0
93,208.003,211.315,378.924,342.867,349.895,174.751,0
94,0,0,405.617,73.7946,405.617,73.7946,0
95,63.9996,73.2287,591.442,192.463,647.801,197.648,0
96,246.906,189.368,476.31,550.698,613.32,612.483,0
97,89.4992,110.432,575.623,446.331,615.683,540.459,0
98,161.401,113.318,225.091,294.28,249.118,185.087,0
99,162.201,207.58,513.567,259.651,647.895,197.715,0
100,253.406,170.744,388.698,517.112,505.973,453.864,1
101,126.299,108.64,423.227,233.179,356.269,172.981,0
102,83.6993,102.713,541.376,495.618,615.55,540.187,0
103,253.406,225.861,422.903,403.148,584.697,336.925,1
104,18.7,23.9952,167.696,623.023,144.684,616.257,0
105,251.706,168.064,489.801,638.685,613.335,613.18,0
106,253.406,156.845,450.996,638.712,578.866,617.871,1
107,153.3,144.256,272.1,617.498,144.665,615.654,0
108,22.3,19.8584,87.0148,409.776,67.7408,405.239,0
109,46.1999,48.0205,605.797,133.528,653.467,129.951,0
110,253.406,119.535,449.268,487.402,538.096,443.959,1
111,54.0997,67.3445,190.423,591.315,144.731,616.408,0
112,35.9,30.2945,232.799,205.022,249.187,185.148,0
113,97.9991,101.703,244.592,631.142,144.795,615.927,0
114,35.9,45.2152,612.423,192.95,648.127,198.035,0
115,211.804,218.333,385.039,645.766,313.078,818.113,0
116,82.3993,76.4002,268.716,258.645,249.831,185.138,0
117,253.406,118.194,442.832,497.419,515.347,444.301,1
118,164.001,145.125,277.107,648.449,144.658,615.696,0
119,253.406,76.7244,233.61,775.701,224.254,739.817,1
120,144.5,185.236,534.131,305.375,648.032,197.818,0
121,123.599,128.973,525.75,706.958,612.266,752.319,0
122,76.1994,76.724,188.981,211.898,248.644,184.913,0
123,78.0994,99.9215,330.408,721.932,312.291,818.093,0
124,0,0,619.765,613.058,619.765,613.058,0
125,22.9001,27.9463,159.186,600.817,144.642,616.463,0
126,129.699,115.675,126.777,515.013,140.053,611.053,0
127,96.0991,111.737,574.102,444.642,615.52,540.139,0
128,185.602,134.455,162.426,440.662,67.8013,405.401,0
129,178.502,139.153,203.959,403.934,67.6545,405.543,0
130,131.399,123.92,514.607,337.044,630.258,334.139,0
131,237.105,171.805,244.062,343.776,249.454,185.223,0
