ID, time, distance, start_x, start_y, end_x, end_y, state 
0,172.401,108.075,176.364,392.672,67.8498,404.987,0
1,239.305,135.63,202.264,305.852,249.043,185.003,0
2,149.9,165.264,308.744,680.888,312.257,818.073,0
3,36.9,33.1111,146.764,660.143,149.461,693.166,0
4,4.9,3.12723,603.198,811.794,605.975,812.712,0
5,268.007,205.37,485.858,439.588,615.628,539.746,0
6,33.9001,39.5793,177.228,672.555,149.859,693.238,0
7,62.0996,67.2967,562.248,782.831,611.237,754.847,0
8,7.99999,7.67195,360.535,180.118,355.796,174.15,0
9,18.4,21.2393,260.058,203.659,252.576,184.038,0
10,98.0991,89.7441,365.973,200.914,349.544,174.586,0
11,136.299,152.86,527.329,177.611,648.02,191.11,0
12,37,41.949,599.321,320.547,630.386,334.515,0
13,25.2001,31.7666,175.361,624.853,144.748,616.205,0
14,64.1996,47.7258,115.22,399.661,67.7071,404.836,0
15,312.71,137.263,503.955,200.292,382.018,175.157,1
16,34.1001,28.5717,253.562,213.464,249.39,185.228,0
17,0,0,621.536,612.772,621.536,612.772,0
18,16.4,18.6357,404.915,96.4033,405.883,78.1925,0
19,151.6,96.5495,168.288,534.019,139.498,611.216,0
20,202.403,160.486,299.655,636.793,144.694,616.393,0
21,105.599,81.3793,557.847,352.917,630.303,334.109,0
22,119.399,138.646,531.258,188.603,647.955,190.997,0
23,165.701,156.502,320.564,305.96,250.439,184.889,0
24,171.401,128.13,209.889,532.593,139.454,611.216,0
25,312.71,161.483,423.164,613.997,550.85,615.691,1
26,140.799,105.72,558.957,376.819,630.462,333.61,0
27,173.001,187.579,482.236,698.3,611.987,752.942,0
28,155.3,113.47,257.389,632.895,144.693,615.588,0
29,243.006,225.47,496.358,505.548,615.563,539.859,0
30,6.1,5.94003,605.919,752.248,611.651,753.808,0
31,27.3001,30.14,572.31,832.479,602.425,833.257,0
32,203.303,127.002,510.94,653.921,613.218,612.707,0
33,50.3998,61.7013,596.22,229.778,647.977,197.903,0
34,312.71,196.93,393.289,338.21,322.767,192.169,1
35,152,136.172,531.456,147.664,653.544,130.024,0
36,218.504,137.886,277.441,644.519,144.823,615.998,0
37,175.101,133.64,298.569,295.744,250.398,184.886,0
38,174.701,123.195,276.222,297.235,249.83,185.122,0
39,107.699,71.6538,417.007,195.696,355.758,174.271,0
40,115.299,87.9979,439.351,179,356.167,173.221,0
41,312.71,184.023,476.17,399.089,628.826,333.773,1
42,106.099,103.4,204.268,562.487,139.913,611.061,0
43,121.099,108.09,546.922,123.811,653.546,129.985,0
44,47.1999,58.3348,193.333,679.733,150.034,693.284,0
45,312.71,144.922,498.021,539.339,558.581,612.322,1
46,287.008,202.545,478.994,414.088,630.365,334.401,0
47,312.71,184.104,213.373,438.762,73.1239,405.547,1
48,18.4,19.0824,151.972,674.273,149.556,693.177,0
49,138.099,85.928,541.832,635.338,613.237,612.843,0
50,312.71,240.884,448.727,480.204,600.483,521.222,1
51,274.008,221.21,352.225,360.52,349.854,174.818,0
52,144.1,129.967,536.159,152.806,653.529,130.125,0
53,312.71,176.904,248.069,416.615,92.6274,404.445,1
54,160.801,139.05,265.274,657.145,144.755,616.245,0
55,312.71,191.486,243.776,426.354,86.9125,404.1,1
56,83.2993,79.478,583.226,187.694,647.67,191.911,0
57,312.71,232.037,425.143,434.932,600.217,335.749,1
58,47.6998,57.6421,554.379,758.105,611.054,755.17,0
59,312.71,177.927,409.814,442.512,529.065,356.113,1
60,185.802,139.198,293.245,300.333,250.766,184.69,0
61,133.899,121.15,534.918,131.305,653.535,130.03,0
62,85.6993,65.6682,589.296,661.625,613.238,613.042,0
63,312.71,175.167,254.412,354.048,248.017,195.524,1
64,144.7,183.718,534.368,303.723,648.064,197.964,0
65,286.808,214.419,394.19,329.316,349.901,174.652,0
66,120.899,148,316.218,694.286,312.293,818.095,0
67,6.4,7.09487,623.427,333.286,630.354,334.321,0
68,126.599,166.821,533.965,288.049,648.069,198.044,0
69,249.806,195.094,253.598,501.43,139.615,611.209,0
70,116.499,114.511,362.946,234.946,349.485,174.633,0
71,94.6991,116.163,320.509,712.769,312.263,818.148,0
72,104.499,121.246,351.188,703.579,312.739,817.955,0
73,300.309,247.208,313.453,375.917,251.194,184.522,0
74,312.71,276.018,389.963,442.229,320.997,202.329,1
75,95.7991,118.933,583.294,278.677,648.053,197.988,0
76,312.71,188.933,469.974,370.553,614.422,333.421,1
77,312.71,199.768,278.878,372.073,250.59,188.718,1
78,312.71,189.643,419.109,506.4,556.371,452.744,1
79,135.699,97.6655,264.427,280.216,249.839,185.137,0
80,312.71,239.709,444.894,487.243,599.807,518.879,1
81,105.499,98.2053,241.075,626.022,144.834,616.221,0
82,18.6,18.8032,595.573,614.719,613.185,612.953,0
83,312.71,239.146,580.665,537.511,578.804,545.077,1
84,122.399,135.135,313.409,283.318,251.041,184.595,0
85,312.71,210.345,357.058,556.778,207.375,627.022,1
86,273.407,198.319,500.875,576.73,613.169,612.905,0
87,225.305,131.403,211.434,306.944,248.485,184.835,0
88,141.599,105.519,306.952,248.128,349.67,174.74,0
89,99.3991,77.0563,357.256,195.594,349.793,174.649,0
90,131.999,88.3763,572.956,674.689,613.188,613.019,0
91,57.0997,59.1459,569.849,780.52,611.238,755.563,0
92,103.799,115.161,573.006,442.172,615.5,539.99,0
93,96.4991,108.675,87.8419,472.994,67.6651,405.621,0
94,287.608,152.253,205.337,317.948,249.361,185.245,0
95,107.299,90.5459,304.247,230.096,349.703,174.705,0
96,240.305,211.789,378.924,342.867,349.549,174.608,0
97,0,0,405.617,73.7946,405.617,73.7946,0
98,58.2997,72.2805,591.442,192.463,647.938,197.636,0
99,251.006,190.111,476.31,550.698,613.236,612.786,0
100,90.4992,109.796,575.623,446.331,615.533,540.173,0
101,229.505,113.552,225.091,294.28,249.357,185.209,0
102,165.001,207.67,513.567,259.651,647.852,197.754,0
103,312.71,204.122,388.698,517.112,523.065,443.697,1
104,169.601,107.39,423.227,233.179,356.083,173.523,0
105,85.4993,101.028,541.376,495.618,615.503,540.134,0
106,312.71,152.605,422.903,403.148,536.398,351.769,1
107,18.8,24.0433,167.696,623.023,144.635,616.238,0
108,312.71,98.5025,489.801,638.685,556.833,619.531,1
109,312.71,146.55,450.996,638.712,557.03,613.116,1
110,230.005,134.341,272.1,617.498,144.661,615.672,0
111,21.8,19.8227,87.0148,409.776,67.8403,405.335,0
112,50.3998,48.6155,605.797,133.528,653.525,130.034,0
113,312.71,255.815,449.268,487.402,606.709,533.368,1
