step,time,alive
0,0,7910
1,1,7898
2,2,7882
3,3,7862
4,4,7834
5,5,7810
6,6,7784
7,7,7756
8,8,7730
9,9,7702
10,10,7675
11,11,7649
12,12,7623
13,13,7599
14,14,7570
15,15,7542
16,16,7512
17,17,7484
18,18,7458
19,19,7428
20,20,7398
21,21,7368
22,22,7338
23,23,7300
24,24,7274
25,25,7241
26,26,7206
27,27,7178
28,28,7144
29,29,7109
30,30,7077
31,31,7042
32,32,7009
33,33,6974
34,34,6941
35,35,6903
36,36,6871
37,37,6834
38,38,6799
39,39,6760
40,40,6723
41,41,6691
42,42,6664
43,43,6629
44,44,6596
45,45,6559
46,46,6526
47,47,6497
48,48,6465
49,49,6434
50,50,6398
51,51,6364
52,52,6334
53,53,6308
54,54,6271
55,55,6247
56,56,6217
57,57,6187
58,58,6163
59,59,6132
60,60,6097
61,61,6070
62,62,6040
63,63,6010
64,64,5977
65,65,5953
66,66,5916
67,67,5893
68,68,5861
69,69,5829
70,70,5801
71,71,5768
72,72,5741
73,73,5715
74,74,5685
75,75,5656
76,76,5628
77,77,5602
78,78,5574
79,79,5542
80,80,5514
81,81,5486
82,82,5455
83,83,5428
84,84,5403
85,85,5373
86,86,5347
87,87,5320
88,88,5290
89,89,5263
90,90,5235
91,91,5208
92,92,5182
93,93,5153
94,94,5127
95,95,5096
96,96,5071
97,97,5041
98,98,5014
99,99,4989
100,100,4963
101,101,4932
102,102,4903
103,103,4875
104,104,4848
105,105,4823
106,106,4794
107,107,4766
108,108,4739
109,109,4707
110,110,4676
111,111,4648
112,112,4619
113,113,4590
114,114,4562
115,115,4532
116,116,4507
117,117,4479
118,118,4456
119,119,4423
120,120,4397
121,121,4368
122,122,4338
123,123,4310
124,124,4282
125,125,4255
126,126,4229
127,127,4204
128,128,4173
129,129,4145
130,130,4119
131,131,4095
132,132,4062
133,133,4035
134,134,4005
135,135,3977
136,136,3948
137,137,3923
138,138,3894
139,139,3868
140,140,3837
141,141,3812
142,142,3787
143,143,3762
144,144,3739
145,145,3719
146,146,3693
147,147,3663
148,148,3643
149,149,3618
150,150,3594
151,151,3571
152,152,3544
153,153,3521
154,154,3495
155,155,3469
156,156,3440
157,157,3420
158,158,3394
159,159,3365
160,160,3341
161,161,3317
162,162,3293
163,163,3262
164,164,3243
165,165,3215
166,166,3193
167,167,3168
168,168,3146
169,169,3124
170,170,3098
171,171,3075
172,172,3054
173,173,3030
174,174,3009
175,175,2985
176,176,2965
177,177,2943
178,178,2920
179,179,2893
180,180,2874
181,181,2853
182,182,2830
183,183,2812
184,184,2793
185,185,2772
186,186,2751
187,187,2731
188,188,2710
189,189,2691
190,190,2671
191,191,2652
192,192,2628
193,193,2608
194,194,2589
195,195,2568
196,196,2548
197,197,2526
198,198,2508
199,199,2485
200,200,2465
201,201,2443
202,202,2424
203,203,2404
204,204,2381
205,205,2362
206,206,2341
207,207,2322
208,208,2299
209,209,2277
210,210,2254
211,211,2238
212,212,2213
213,213,2192
214,214,2170
215,215,2150
216,216,2127
217,217,2108
218,218,2086
219,219,2067
220,220,2044
221,221,2020
222,222,2001
223,223,1984
224,224,1964
225,225,1943
226,226,1919
227,227,1899
228,228,1881
229,229,1862
230,230,1842
231,231,1821
232,232,1800
233,233,1785
234,234,1764
235,235,1748
236,236,1725
237,237,1705
238,238,1682
239,239,1666
240,240,1647
241,241,1627
242,242,1607
