step,time,alive
0,0,7910
1,1,7896
2,2,7875
3,3,7852
4,4,7820
5,5,7789
6,6,7756
7,7,7724
8,8,7693
9,9,7660
10,10,7631
11,11,7600
12,12,7572
13,13,7536
14,14,7499
15,15,7467
16,16,7435
17,17,7405
18,18,7369
19,19,7330
20,20,7291
21,21,7253
22,22,7215
23,23,7182
24,24,7140
25,25,7101
26,26,7060
27,27,7021
28,28,6983
29,29,6943
30,30,6903
31,31,6864
32,32,6831
33,33,6789
34,34,6752
35,35,6712
36,36,6677
37,37,6638
38,38,6603
39,39,6565
40,40,6527
41,41,6492
42,42,6451
43,43,6414
44,44,6377
45,45,6345
46,46,6306
47,47,6268
48,48,6233
49,49,6200
50,50,6166
51,51,6133
52,52,6103
53,53,6073
54,54,6042
55,55,6012
56,56,5977
57,57,5947
58,58,5918
59,59,5883
60,60,5853
61,61,5820
62,62,5792
63,63,5756
64,64,5731
65,65,5695
66,66,5662
67,67,5629
68,68,5593
69,69,5562
70,70,5531
71,71,5501
72,72,5469
73,73,5436
74,74,5400
75,75,5370
76,76,5341
77,77,5309
78,78,5278
79,79,5245
80,80,5212
81,81,5187
82,82,5149
83,83,5120
84,84,5092
85,85,5060
86,86,5030
87,87,4999
88,88,4967
89,89,4936
90,90,4904
91,91,4878
92,92,4846
93,93,4809
94,94,4775
95,95,4748
96,96,4717
97,97,4685
98,98,4652
99,99,4623
100,100,4593
101,101,4562
102,102,4532
103,103,4503
104,104,4471
105,105,4444
106,106,4409
107,107,4379
108,108,4352
109,109,4321
110,110,4289
111,111,4259
112,112,4230
113,113,4195
114,114,4169
115,115,4139
116,116,4111
117,117,4079
118,118,4049
119,119,4022
120,120,3990
121,121,3960
122,122,3930
123,123,3899
124,124,3869
125,125,3843
126,126,3817
127,127,3787
128,128,3757
129,129,3733
130,130,3702
131,131,3679
132,132,3651
133,133,3625
134,134,3598
135,135,3570
136,136,3543
137,137,3520
138,138,3492
139,139,3464
140,140,3439
141,141,3412
142,142,3384
143,143,3357
144,144,3330
145,145,3302
146,146,3277
147,147,3252
148,148,3228
149,149,3202
150,150,3175
151,151,3149
152,152,3124
153,153,3101
154,154,3083
155,155,3058
156,156,3038
157,157,3013
158,158,2991
159,159,2969
160,160,2949
161,161,2925
162,162,2903
163,163,2879
164,164,2858
165,165,2835
166,166,2815
167,167,2792
168,168,2770
169,169,2747
170,170,2728
171,171,2707
172,172,2686
173,173,2663
174,174,2644
175,175,2621
176,176,2599
177,177,2574
178,178,2552
179,179,2533
180,180,2512
181,181,2488
182,182,2466
183,183,2448
184,184,2424
185,185,2402
186,186,2381
187,187,2357
188,188,2337
189,189,2318
190,190,2295
191,191,2274
192,192,2250
193,193,2229
194,194,2207
195,195,2186
196,196,2163
197,197,2144
198,198,2121
199,199,2098
200,200,2077
201,201,2054
202,202,2034
203,203,2010
204,204,1989
205,205,1971
206,206,1951
207,207,1931
208,208,1908
209,209,1888
210,210,1867
211,211,1849
212,212,1827
213,213,1806
214,214,1789
215,215,1762
216,216,1745
217,217,1726
218,218,1711
219,219,1691
220,220,1670
221,221,1649
222,222,1630
223,223,1609
