ID, time, distance, start_x, start_y, end_x, end_y, state 
0,124.699,111.355,176.364,392.672,67.6401,404.867,0
1,167.601,142.766,202.264,305.852,248.117,184.719,0
2,116.099,166.202,308.744,680.888,312.154,818.18,0
3,29.0001,33.8572,146.764,660.143,149.488,693.199,0
4,4,3.11224,603.198,811.794,605.962,812.707,0
5,186.202,209.954,485.858,439.588,615.654,539.714,0
6,28.0001,39.7817,177.228,672.555,149.913,693.258,0
7,49.6998,68.7968,562.248,782.831,611.164,755.223,0
8,6.6,7.64611,360.535,180.118,355.84,174.144,0
9,15.6,21.2922,260.058,203.659,252.299,184.121,0
10,76.8994,90.4867,365.973,200.914,349.543,174.531,0
11,108.399,155.083,527.329,177.611,647.817,191.484,0
12,29.0001,41.9654,599.321,320.547,630.296,334.105,0
13,20.3,32.0909,175.361,624.853,144.721,615.943,0
14,49.8998,47.0385,115.22,399.661,67.7431,404.842,0
15,200.803,173.652,503.955,200.292,356.154,173.378,0
16,25.4001,29.1814,253.562,213.464,249.904,185.061,0
17,0,0,621.536,612.772,621.536,612.772,0
18,12.6,18.5595,404.915,96.4033,405.83,78.1175,0
19,114.299,97.6993,168.288,534.019,139.471,611.168,0
20,153.2,160.484,299.655,636.793,144.831,616.165,0
21,81.3993,83.1389,557.847,352.917,630.336,333.879,0
22,98.5991,139.892,531.258,188.603,647.907,191.448,0
23,118.799,157.223,320.564,305.96,250.856,184.686,0
24,98.9991,126.416,209.889,532.593,139.869,611.135,0
25,223.604,168.66,423.164,613.997,551.993,616.043,1
26,103.399,106.544,558.957,376.819,630.46,334.342,0
27,127.099,186.898,482.236,698.3,612.259,752.509,0
28,114.599,113.289,257.389,632.895,144.827,616.125,0
29,165.401,227.889,496.358,505.548,615.691,540.444,0
30,5.2,5.98259,605.919,752.248,611.691,753.822,0
31,23.4001,30.3417,572.31,832.479,602.393,833.321,0
32,140.199,128.078,510.94,653.921,613.355,612.483,0
33,39.4,61.8098,596.22,229.778,647.917,197.802,0
34,223.604,195.891,393.289,338.21,322.787,191.042,1
35,124.399,135.211,531.456,147.664,653.54,129.938,0
36,156,141.628,277.441,644.519,144.836,616.123,0
37,124.299,132.952,298.569,295.744,250.299,184.883,0
38,116.799,123.261,276.222,297.235,249.791,185.111,0
39,82.8993,69.8762,417.007,195.696,355.665,174.31,0
40,89.2992,86.8828,439.351,179,356.114,173.579,0
41,222.704,189.555,476.17,399.089,630.264,333.885,0
42,91.0992,103.874,204.268,562.487,139.937,611.116,0
43,91.3992,107.719,546.922,123.811,653.522,130.088,0
44,38.5,59.3158,193.333,679.733,149.496,693.212,0
45,223.604,156.09,498.021,539.339,579.886,617.302,1
46,223.604,195.422,478.994,414.088,622.38,334.207,1
47,223.604,148.756,213.373,438.762,94.1828,405.497,1
48,15,19.4332,151.972,674.273,149.722,693.215,0
49,91.7992,89.1249,541.832,635.338,613.167,612.668,0
50,223.604,249.891,448.727,480.204,605.222,537.376,1
51,193.903,227.879,352.225,360.52,349.144,174.399,0
52,116.899,130.199,536.159,152.806,653.557,130.062,0
53,218.904,206.837,248.069,416.615,67.7938,404.978,0
54,120.199,142.395,265.274,657.145,144.676,615.577,0
55,223.604,199.942,243.776,426.354,83.5189,406.283,1
56,73.0995,84.7321,583.226,187.694,648.424,190.897,0
57,223.604,168.695,425.143,434.932,535.495,353.275,1
58,38.7,57.849,554.379,758.105,611.202,754.807,0
59,223.604,175.929,409.814,442.512,529.973,357.561,1
60,144.3,143.76,293.245,300.333,250.373,184.93,0
61,99.1991,124.161,534.918,131.305,653.553,129.998,0
62,61.2996,65.1385,589.296,661.625,613.288,612.77,0
63,223.604,182.126,254.412,354.048,250.115,191.039,1
64,115.099,183.64,534.368,303.723,648.042,197.877,0
65,223.604,195.809,394.19,329.316,333.969,186.045,1
66,95.7991,147.824,316.218,694.286,312.04,818.184,0
67,5.5,7.20955,623.427,333.286,630.464,334.394,0
68,103.599,168.532,533.965,288.049,647.966,197.703,0
69,184.902,193.282,253.598,501.43,139.593,611.248,0
70,92.0992,115.118,362.946,234.946,349.668,174.593,0
71,75.5994,116.718,320.509,712.769,312.22,818.183,0
72,86.9992,121.587,351.188,703.579,312.779,818.114,0
73,223.604,248.973,313.453,375.917,251.386,185.575,1
74,223.604,278.734,389.963,442.229,324.776,199.283,1
75,77.1994,120.05,583.294,278.677,648.019,197.922,0
76,223.604,189.464,469.974,370.553,615.053,334.195,1
77,223.604,202.855,278.878,372.073,249.771,185.988,1
78,223.604,204.561,419.109,506.4,570.924,450.731,1
79,92.0992,98.5075,264.427,280.216,249.913,185.098,0
80,223.604,259.975,444.894,487.243,606.187,534.829,1
81,81.0993,97.828,241.075,626.022,144.723,616.16,0
82,15.4,19.3169,595.573,614.719,613.273,612.726,0
83,223.604,185.323,580.665,537.511,577.662,545.863,1
84,102.599,135.837,313.409,283.318,250.463,184.764,0
85,223.604,215.805,357.058,556.778,204.76,626.206,1
86,223.604,198.991,500.875,576.73,608.027,612.551,1
87,142.099,130.005,211.434,306.944,248.897,185.018,0
88,105.799,107.779,306.952,248.128,349.873,174.784,0
89,71.4995,75.7516,357.256,195.594,350.146,174.749,0
90,90.1992,89.3642,572.956,674.689,613.28,612.929,0
91,45.5999,60.5044,569.849,780.52,611.213,755.625,0
92,80.0993,116.122,573.006,442.172,615.617,540.255,0
93,77.6994,108.474,87.8419,472.994,67.6857,405.537,0
94,180.102,156.329,205.337,317.948,248.277,184.792,0
95,78.7994,91.3173,304.247,230.096,350.112,174.842,0
96,197.303,213.378,378.924,342.867,349.422,174.492,0
97,0,0,405.617,73.7946,405.617,73.7946,0
98,46.1999,72.2021,591.442,192.463,647.873,197.688,0
99,204.403,187.675,476.31,550.698,613.153,613.026,0
100,72.9995,108.795,575.623,446.331,615.458,540.138,0
101,135.599,115.317,225.091,294.28,248.184,184.709,0
102,132.999,209.677,513.567,259.651,647.875,197.677,0
103,223.604,225.213,388.698,517.112,547.917,448.535,1
104,118.699,108.97,423.227,233.179,355.541,174.395,0
105,66.5996,100.69,541.376,495.618,615.456,540.073,0
106,223.604,157.563,422.903,403.148,535.277,351.448,1
107,16.2,24.1929,167.696,623.023,144.616,616.472,0
108,223.604,127.495,489.801,638.685,559.428,619.663,1
109,223.604,126.062,450.996,638.712,557.819,618.254,1
110,169.301,136.434,272.1,617.498,144.675,615.621,0
111,18.6,19.5953,87.0148,409.776,67.666,404.821,0
112,39.3,48.2782,605.797,133.528,653.501,129.953,0
113,223.604,231.663,449.268,487.402,600.481,513.635,1
114,46.2999,68.4326,190.423,591.315,144.714,616.06,0
115,25.4001,29.5522,232.799,205.022,249.199,185.083,0
116,89.5992,102.062,244.592,631.142,144.829,615.887,0
117,29.9001,45.3555,612.423,192.95,647.846,197.593,0
118,185.702,214.548,385.039,645.766,312.024,818.257,0
119,69.4995,78.0496,268.716,258.645,250.022,184.998,0
120,223.604,240.559,442.832,497.419,597.69,511.797,1
121,129.499,147.03,277.107,648.449,144.709,616.304,0
122,120.699,147.119,233.61,775.701,152.763,701.67,0
123,116.799,184.713,534.131,305.375,648.007,197.949,0
124,103.499,129.486,525.75,706.958,611.932,753.19,0
125,67.1995,78.0027,188.981,211.898,248.205,184.677,0
126,64.8996,100.171,330.408,721.932,312.19,818.179,0
127,0,0,619.765,613.058,619.765,613.058,0
128,19.1,27.7083,159.186,600.817,144.605,616.38,0
