step,time,alive
0,0,7904
1,1,7891
2,2,7873
3,3,7851
4,4,7825
5,5,7803
6,6,7773
7,7,7744
8,8,7716
9,9,7686
10,10,7658
11,11,7631
12,12,7606
13,13,7584
14,14,7556
15,15,7527
16,16,7497
17,17,7465
18,18,7433
19,19,7400
20,20,7371
21,21,7342
22,22,7314
23,23,7282
24,24,7246
25,25,7219
26,26,7181
27,27,7149
28,28,7116
29,29,7086
30,30,7051
31,31,7017
32,32,6985
33,33,6953
34,34,6923
35,35,6888
36,36,6850
37,37,6825
38,38,6788
39,39,6753
40,40,6724
41,41,6689
42,42,6659
43,43,6627
44,44,6595
45,45,6559
46,46,6529
47,47,6491
48,48,6465
49,49,6430
50,50,6396
51,51,6365
52,52,6329
53,53,6295
54,54,6261
55,55,6233
56,56,6203
57,57,6173
58,58,6150
59,59,6121
60,60,6097
61,61,6067
62,62,6039
63,63,6007
64,64,5984
65,65,5951
66,66,5931
67,67,5899
68,68,5867
69,69,5837
70,70,5813
71,71,5782
72,72,5755
73,73,5731
74,74,5699
75,75,5670
76,76,5644
77,77,5613
78,78,5586
79,79,5559
80,80,5531
81,81,5505
82,82,5477
83,83,5449
84,84,5422
85,85,5398
86,86,5368
87,87,5341
88,88,5309
89,89,5286
90,90,5259
91,91,5231
92,92,5208
93,93,5174
94,94,5153
95,95,5128
96,96,5097
97,97,5072
98,98,5041
99,99,5017
100,100,4990
101,101,4960
102,102,4936
103,103,4906
104,104,4878
105,105,4851
106,106,4827
107,107,4803
108,108,4779
109,109,4747
110,110,4720
111,111,4694
112,112,4663
113,113,4636
114,114,4614
115,115,4581
116,116,4556
117,117,4532
118,118,4505
119,119,4478
120,120,4450
121,121,4423
122,122,4396
123,123,4372
124,124,4344
125,125,4315
126,126,4291
127,127,4263
128,128,4236
129,129,4212
130,130,4183
131,131,4157
132,132,4130
133,133,4102
134,134,4074
135,135,4052
136,136,4025
137,137,3999
138,138,3975
139,139,3946
140,140,3922
141,141,3893
142,142,3868
143,143,3841
144,144,3814
145,145,3786
146,146,3761
147,147,3735
148,148,3710
149,149,3688
150,150,3660
151,151,3635
152,152,3613
153,153,3590
154,154,3566
155,155,3544
156,156,3521
157,157,3499
158,158,3475
159,159,3452
160,160,3427
161,161,3404
162,162,3380
163,163,3356
164,164,3333
165,165,3311
166,166,3284
167,167,3258
168,168,3236
169,169,3214
170,170,3191
171,171,3169
172,172,3146
173,173,3122
174,174,3099
175,175,3075
176,176,3049
177,177,3028
178,178,3003
179,179,2984
180,180,2959
181,181,2940
182,182,2921
183,183,2898
184,184,2876
185,185,2857
186,186,2838
187,187,2814
188,188,2800
189,189,2775
190,190,2758
191,191,2741
192,192,2722
193,193,2700
194,194,2678
195,195,2660
196,196,2643
197,197,2622
198,198,2605
199,199,2585
200,200,2567
201,201,2545
202,202,2527
203,203,2510
204,204,2491
205,205,2473
206,206,2454
207,207,2431
208,208,2413
209,209,2395
210,210,2374
211,211,2355
212,212,2335
213,213,2316
214,214,2296
215,215,2278
216,216,2260
217,217,2241
218,218,2219
219,219,2201
220,220,2180
221,221,2162
222,222,2144
223,223,2125
224,224,2107
225,225,2085
226,226,2066
227,227,2050
228,228,2031
229,229,2010
230,230,1994
231,231,1975
232,232,1954
233,233,1938
234,234,1921
235,235,1902
236,236,1884
237,237,1869
238,238,1850
239,239,1834
240,240,1815
241,241,1795
242,242,1778
243,243,1761
244,244,1744
245,245,1725
246,246,1711
247,247,1692
248,248,1678
249,249,1659
250,250,1649
251,251,1628
252,252,1614
253,253,1598
254,254,1582
255,255,1563
256,256,1548
257,257,1535
258,258,1517
259,259,1501
260,260,1484
261,261,1472
262,262,1457
263,263,1442
264,264,1426
265,265,1410
266,266,1395
267,267,1378
268,268,1363
269,269,1349
270,270,1336
271,271,1321
272,272,1306
273,273,1292
274,274,1279
275,275,1266
276,276,1248
277,277,1234
278,278,1223
279,279,1207
280,280,1190
281,281,1177
282,282,1162
283,283,1148
284,284,1133
285,285,1121
286,286,1102
287,287,1089
288,288,1076
289,289,1062
290,290,1051
291,291,1040
292,292,1028
293,293,1016
294,294,1004
295,295,993
296,296,981
297,297,967
298,298,957
299,299,945
300,300,934
301,301,923
302,302,913
303,303,900
304,304,890
305,305,877
306,306,868
307,307,856
308,308,846
309,309,835
310,310,823
311,311,813
312,312,804
313,313,795
314,314,786
315,315,777
316,316,770
317,317,758
318,318,749
319,319,740
320,320,731
321,321,721
322,322,712
323,323,703
324,324,692
325,325,684
326,326,676
327,327,666
328,328,657
329,329,648
330,330,638
331,331,628
332,332,618
333,333,609
334,334,599
335,335,590
336,336,579
337,337,571
338,338,562
339,339,553
340,340,541
341,341,533
342,342,523
343,343,515
344,344,504
345,345,496
346,346,489
347,347,481
348,348,476
349,349,470
350,350,465
351,351,461
352,352,453
353,353,448
354,354,442
355,355,437
356,356,430
357,357,424
358,358,419
359,359,416
360,360,410
361,361,404
362,361.6,400
