ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,170.901,135.942,202.264,305.852,248.786,185.011,0,84.964,85.9372,2.01146
2,150,166.946,308.744,680.888,312.271,818.052,0,104.341,45.6586,1.43759
3,32.7001,33.5085,146.764,660.143,149.91,693.205,0,20.9428,11.7573,1.5614
4,4.9,3.19733,603.198,811.794,606.034,812.763,0,1.99833,2.90167,2.45204
5,229.005,206.836,485.858,439.588,615.468,539.761,0,129.272,99.7323,1.77149
6,31.9001,39.3474,177.228,672.555,149.818,693.165,0,24.5921,7.30799,1.29717
7,59.7997,66.9871,562.248,782.831,611.157,755.105,0,41.8669,17.9327,1.42833
8,7.79999,7.64027,360.535,180.118,355.822,174.167,0,4.77517,3.02482,1.63345
9,18.2,21.3068,260.058,203.659,252.375,183.992,0,13.3167,4.88331,1.3667
10,91.2992,92.9957,365.973,200.914,349.761,174.693,0,58.1223,33.1769,1.57081
11,137.399,155.145,527.329,177.611,647.655,191.775,0,96.9656,40.4336,1.41699
12,36.4,44.2796,599.321,320.547,630.277,334.077,0,27.6747,8.7253,1.31528
13,24.7001,31.9122,175.361,624.853,144.751,616.246,0,19.9451,4.75496,1.2384
14,55.8997,49.1345,115.22,399.661,67.7029,404.786,0,30.7091,25.1907,1.8203
15,251.406,170.894,503.955,200.292,356.188,173.22,0,106.809,144.597,2.3538
16,28.4001,29.1738,253.562,213.464,249.904,185.123,0,18.2336,10.1665,1.55757
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.3,18.4363,404.915,96.4033,405.894,78.2287,0,11.5227,3.77731,1.32781
19,106.399,95.4386,168.288,534.019,139.719,611.087,0,59.6491,46.7498,1.78375
20,81.2993,83.8812,557.847,352.917,630.335,334.069,0,52.4257,28.8736,1.55075
21,114.599,138.757,531.258,188.603,647.604,191.87,0,86.7232,27.8757,1.32143
22,182.302,157.179,320.564,305.96,251.201,184.538,0,98.2368,84.0651,1.85574
23,355.712,243.548,423.164,613.997,613.181,612.764,0,152.218,203.495,2.33687
24,113.099,107.408,558.957,376.819,630.416,334.398,0,67.1298,45.969,1.68478
25,148.8,183.079,482.236,698.3,612.182,752.478,0,114.425,34.3754,1.30042
26,136.399,115.257,257.389,632.895,144.695,615.57,0,72.0358,64.3633,1.89349
27,212.804,230.372,496.358,505.548,615.658,540.305,0,143.982,68.8214,1.47798
28,6,5.84585,605.919,752.248,611.559,753.787,0,3.65366,2.34634,1.64219
29,28.4001,30.4417,572.31,832.479,602.445,833.283,0,19.026,9.37403,1.4927
30,176.402,130.312,510.94,653.921,613.28,613.062,0,81.4448,94.9567,2.1659
31,47.4998,61.8278,596.22,229.778,648.3,198.093,0,38.6423,8.8575,1.22922
32,273.507,220.93,393.289,338.21,349.928,174.778,0,138.082,135.426,1.98077
33,143,135.914,531.456,147.664,653.516,129.881,0,84.9464,58.0531,1.68341
34,183.602,143.114,277.441,644.519,144.744,615.831,0,89.4463,94.1557,2.05265
35,165.601,134.769,298.569,295.744,250.976,184.627,0,84.2305,81.3704,1.96604
36,139.099,125.43,276.222,297.235,249.554,185.197,0,78.3936,60.7057,1.77437
37,95.6991,87.4823,439.351,179,355.637,174.318,0,54.6764,41.0227,1.75028
38,251.306,203.206,476.17,399.089,630.356,334.081,0,127.004,124.303,1.97873
39,104.899,105.091,204.268,562.487,144.763,615.862,0,65.6821,39.2169,1.59707
40,108.399,108.032,546.922,123.811,653.504,130.045,0,67.52,40.8789,1.60543
41,46.0999,58.7939,193.333,679.733,149.485,693.198,0,36.7462,9.35371,1.25455
42,313.61,205.242,498.021,539.339,613.177,612.575,0,128.277,185.333,2.4448
43,269.007,217.763,478.994,414.088,630.266,334.051,0,136.102,132.905,1.97651
