step,time,alive
0,0,7904
1,1,7891
2,2,7873
3,3,7851
4,4,7825
5,5,7803
6,6,7773
7,7,7744
8,8,7716
9,9,7686
10,10,7658
11,11,7631
12,12,7606
13,13,7584
14,14,7556
15,15,7527
16,16,7497
17,17,7465
18,18,7433
19,19,7400
20,20,7371
21,21,7342
22,22,7313
23,23,7282
24,24,7246
25,25,7219
26,26,7181
27,27,7149
28,28,7116
29,29,7085
30,30,7051
31,31,7016
32,32,6985
33,33,6953
34,34,6923
35,35,6886
36,36,6850
37,37,6826
38,38,6788
39,39,6755
40,40,6724
41,41,6692
42,42,6657
43,43,6627
44,44,6596
45,45,6559
46,46,6526
47,47,6492
48,48,6464
49,49,6429
50,50,6397
51,51,6365
52,52,6332
53,53,6296
54,54,6264
55,55,6237
56,56,6205
57,57,6174
58,58,6147
59,59,6122
60,60,6096
61,61,6068
62,62,6039
63,63,6012
64,64,5982
65,65,5955
66,66,5927
67,67,5894
68,68,5871
69,69,5841
70,70,5813
71,71,5783
72,72,5760
73,73,5727
74,74,5699
75,75,5675
76,76,5645
77,77,5618
78,78,5590
79,79,5560
80,80,5532
81,81,5504
82,82,5475
83,83,5445
84,84,5424
85,85,5397
86,86,5369
87,87,5342
88,88,5315
89,89,5288
90,90,5261
91,91,5236
92,92,5204
93,93,5179
94,94,5150
95,95,5126
96,96,5101
97,97,5073
98,98,5045
99,99,5017
100,100,4987
101,101,4966
102,102,4935
103,103,4908
104,104,4884
105,105,4857
106,106,4827
107,107,4802
108,108,4773
109,109,4750
110,110,4722
111,111,4695
112,112,4666
113,113,4640
114,114,4615
115,115,4586
116,116,4563
117,117,4535
118,118,4506
119,119,4481
120,120,4456
121,121,4429
122,122,4401
123,123,4375
124,124,4347
125,125,4322
126,126,4294
127,127,4269
128,128,4244
129,129,4215
130,130,4186
131,131,4160
132,132,4138
133,133,4110
134,134,4083
135,135,4058
136,136,4034
137,137,4005
138,138,3985
139,139,3955
140,140,3929
141,141,3905
142,142,3879
143,143,3854
144,144,3827
145,145,3805
146,146,3779
147,147,3755
148,148,3728
149,149,3703
150,150,3679
151,151,3655
152,152,3633
153,153,3607
154,154,3587
155,155,3566
156,156,3541
157,157,3516
158,158,3490
159,159,3469
160,160,3446
161,161,3421
162,162,3396
163,163,3373
164,164,3351
165,165,3323
166,166,3300
167,167,3279
168,168,3253
169,169,3228
170,170,3204
171,171,3183
172,172,3160
173,173,3134
174,174,3114
175,175,3089
176,176,3065
177,177,3042
178,178,3021
179,179,3001
180,180,2979
181,181,2961
182,182,2941
183,183,2924
184,184,2902
185,185,2879
186,186,2863
187,187,2842
188,188,2825
189,189,2803
190,190,2783
191,191,2764
192,192,2743
193,193,2725
194,194,2705
195,195,2685
196,196,2666
197,197,2646
198,198,2627
199,199,2606
200,200,2586
201,201,2568
202,202,2550
203,203,2527
204,204,2510
205,205,2492
206,206,2475
207,207,2454
208,208,2435
209,209,2417
210,210,2396
211,211,2377
212,212,2356
213,213,2343
214,214,2322
215,215,2301
216,216,2281
217,217,2262
218,218,2245
219,219,2224
220,220,2204
221,221,2186
222,222,2169
223,223,2149
224,224,2131
225,225,2111
226,226,2093
227,227,2073
228,228,2056
229,229,2040
230,230,2023
231,231,2003
232,232,1987
233,233,1968
234,234,1951
235,235,1935
236,236,1914
237,237,1898
238,238,1880
239,239,1863
240,240,1844
241,241,1827
242,242,1809
243,243,1791
244,244,1775
245,245,1756
246,246,1741
247,247,1725
248,248,1710
249,249,1694
250,250,1673
251,251,1658
252,252,1642
253,253,1627
254,254,1611
255,255,1593
256,256,1577
257,257,1564
258,258,1548
259,259,1531
260,260,1516
261,261,1498
262,262,1484
263,263,1470
264,264,1456
265,265,1438
266,266,1423
267,267,1409
268,268,1392
269,269,1378
270,270,1365
271,271,1351
272,272,1336
273,273,1321
274,274,1307
275,275,1290
276,276,1276
277,277,1260
278,278,1247
279,279,1231
280,280,1216
281,281,1201
282,282,1188
283,283,1173
284,284,1160
285,285,1146
286,286,1133
287,287,1122
288,288,1110
289,289,1097
290,290,1086
291,291,1077
292,292,1067
293,293,1055
294,294,1045
295,295,1032
296,296,1023
297,297,1010
298,298,1000
299,299,989
300,300,977
301,301,968
302,302,955
303,303,944
304,304,933
305,305,920
306,306,909
307,307,898
308,308,889
309,309,879
310,310,867
311,311,855
312,312,845
313,313,832
314,314,821
315,315,808
316,316,799
317,317,787
318,318,775
319,319,765
320,320,751
321,321,740
322,322,730
323,323,722
324,324,711
325,325,705
326,326,694
327,327,684
328,328,675
329,329,668
330,330,657
331,331,649
332,332,638
333,333,628
334,334,619
335,335,609
336,336,598
337,337,590
338,338,582
339,339,572
340,340,562
341,341,552
342,342,544
343,343,534
344,344,523
345,345,515
346,346,507
347,347,498
348,348,492
349,349,485
350,350,480
351,351,475
352,352,468
353,353,463
354,354,458
355,355,452
356,356,446
357,357,439
358,358,434
359,359,429
360,360,423
361,361,416
362,362,412
363,363,408
364,364,402
365,364.3,399
