ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,176.902,136.749,202.264,305.852,249.541,185.182,0,85.4683,91.4333,2.06979
2,147.2,166.876,308.744,680.888,312.318,818.09,0,104.297,42.9024,1.41135
3,32.7001,33.5146,146.764,660.143,149.912,693.211,0,20.9466,11.7535,1.56111
4,4.9,3.19733,603.198,811.794,606.034,812.763,0,1.99833,2.90167,2.45204
5,206.303,207.521,485.858,439.588,615.539,540.097,0,129.701,76.6027,1.59061
6,31.9001,39.3562,177.228,672.555,149.815,693.174,0,24.5976,7.30245,1.29688
7,60.6996,67.2062,562.248,782.831,611.144,755.201,0,42.0039,18.6958,1.4451
8,7.79999,7.64028,360.535,180.118,355.822,174.167,0,4.77517,3.02482,1.63345
9,18.2,21.3084,260.058,203.659,252.375,183.99,0,13.3178,4.88228,1.3666
10,93.7991,92.5578,365.973,200.914,349.461,174.541,0,57.8486,35.9505,1.62146
11,132.999,153.294,527.329,177.611,647.837,191.518,0,95.8085,37.1904,1.38817
12,36.4,44.2793,599.321,320.547,630.277,334.077,0,27.6746,8.72544,1.31529
13,24.7001,31.9111,175.361,624.853,144.753,616.246,0,19.9444,4.75564,1.23844
14,55.8997,49.1082,115.22,399.661,67.7255,404.798,0,30.6926,25.2071,1.82128
15,260.307,171.733,503.955,200.292,356.073,173.447,0,107.333,152.973,2.42522
16,28.4001,29.19,253.562,213.464,249.895,185.109,0,18.2438,10.1563,1.5567
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.3,18.4391,404.915,96.4033,405.893,78.226,0,11.5244,3.77558,1.32762
19,104.599,95.2565,168.288,534.019,139.614,611.24,0,59.5353,45.0637,1.75692
20,80.0993,83.8852,557.847,352.917,630.34,334.07,0,52.4283,27.6711,1.52779
21,114.499,139.374,531.258,188.603,647.888,191.364,0,87.1087,27.3902,1.31444
22,164.601,157.081,320.564,305.96,251.378,184.475,0,98.1759,66.425,1.67659
23,361.713,229.11,423.164,613.997,594.512,614.461,1,143.194,218.519,2.52603
24,112.599,108.214,558.957,376.819,630.382,334.429,0,67.6339,44.9649,1.66483
25,147.3,181.358,482.236,698.3,612.076,752.641,0,113.349,33.9508,1.29952
26,137.099,114.845,257.389,632.895,144.662,615.726,0,71.7782,65.3209,1.91004
27,214.204,230.295,496.358,505.548,615.54,540.141,0,143.935,70.2693,1.4882
28,6,5.84585,605.919,752.248,611.559,753.787,0,3.65366,2.34634,1.64219
29,28.4001,30.4493,572.31,832.479,602.455,833.255,0,19.0308,9.36925,1.49232
30,192.503,133.606,510.94,653.921,613.258,613.159,0,83.5036,108.999,2.30532
31,47.4998,61.82,596.22,229.778,648.298,198.101,0,38.6375,8.86234,1.22937
32,281.908,223.159,393.289,338.21,349.693,174.717,0,139.474,142.434,2.02122
33,142.9,135.665,531.456,147.664,653.521,130.048,0,84.7904,58.1091,1.68533
34,178.702,142.031,277.441,644.519,144.714,615.69,0,88.7693,89.9324,2.0131
35,163.801,135.092,298.569,295.744,250.849,184.703,0,84.4324,79.3684,1.94002
36,136.499,125.205,276.222,297.235,249.87,185.134,0,78.2529,58.2462,1.74433
37,93.9991,87.1132,439.351,179,355.833,174.343,0,54.4457,39.5534,1.72647
38,257.306,201.128,476.17,399.089,630.275,334.093,0,125.705,131.601,2.0469
39,106.599,106.753,204.268,562.487,144.75,615.779,0,66.7206,39.8784,1.59769
40,108.399,107.908,546.922,123.811,653.458,130.045,0,67.4427,40.9562,1.60727
41,46.0999,58.7857,193.333,679.733,149.465,693.186,0,36.7411,9.35881,1.25472
42,254.606,186.934,498.021,539.339,613.315,613.167,0,116.834,137.772,2.17922
43,284.308,218.929,478.994,414.088,630.32,334.095,0,136.83,147.478,2.07781
44,269.807,180.472,213.373,438.762,67.7245,405.558,0,112.795,157.012,2.39201
45,17.4,19.3354,151.972,674.273,149.695,693.276,0,12.0846,5.31542,1.43985
46,118.599,87.0788,541.832,635.338,613.239,612.843,0,54.4243,64.1745,2.17915
47,361.713,253.595,448.727,480.204,604.109,538.181,1,158.497,203.216,2.28215
48,232.005,224.296,352.225,360.52,349.456,174.647,0,140.185,91.8202,1.65499
49,130.299,129.96,536.159,152.806,653.454,130.049,0,81.2247,49.0741,1.60418
50,272.807,206.027,248.069,416.615,67.6992,404.862,0,128.767,144.041,2.11861
51,150.9,142.502,265.274,657.145,144.771,616.152,0,89.064,61.836,1.69429
52,284.308,210.606,243.776,426.354,67.7383,405.554,0,131.629,152.679,2.15992
53,74.9994,81.7903,583.226,187.694,648.438,190.827,0,51.119,23.8805,1.46715
54,337.211,270.268,425.143,434.932,615.672,539.571,0,168.917,168.294,1.99631
55,46.5999,57.6115,554.379,758.105,611.197,754.864,0,36.0072,10.5927,1.29418
56,356.913,286.649,409.814,442.512,615.475,539.868,0,179.155,177.757,1.9922
