step,time,alive
0,0,7904
1,1,7891
2,2,7871
3,3,7851
4,4,7824
5,5,7801
6,6,7772
7,7,7741
8,8,7714
9,9,7685
10,10,7657
11,11,7627
12,12,7600
13,13,7576
14,14,7545
15,15,7515
16,16,7486
17,17,7455
18,18,7424
19,19,7391
20,20,7358
21,21,7326
22,22,7297
23,23,7264
24,24,7232
25,25,7202
26,26,7168
27,27,7133
28,28,7100
29,29,7064
30,30,7029
31,31,6994
32,32,6963
33,33,6929
34,34,6898
35,35,6861
36,36,6825
37,37,6790
38,38,6755
39,39,6723
40,40,6685
41,41,6652
42,42,6622
43,43,6587
44,44,6553
45,45,6518
46,46,6487
47,47,6453
48,48,6420
49,49,6385
50,50,6348
51,51,6310
52,52,6278
53,53,6245
54,54,6219
55,55,6188
56,56,6158
57,57,6130
58,58,6102
59,59,6068
60,60,6037
61,61,6002
62,62,5978
63,63,5949
64,64,5916
65,65,5884
66,66,5854
67,67,5821
68,68,5792
69,69,5763
70,70,5733
71,71,5704
72,72,5674
73,73,5641
74,74,5615
75,75,5581
76,76,5554
77,77,5521
78,78,5492
79,79,5465
80,80,5434
81,81,5402
82,82,5373
83,83,5344
84,84,5315
85,85,5284
86,86,5253
87,87,5227
88,88,5194
89,89,5163
90,90,5138
91,91,5110
92,92,5082
93,93,5050
94,94,5020
95,95,4988
96,96,4961
97,97,4930
98,98,4899
99,99,4872
100,100,4842
101,101,4811
102,102,4785
103,103,4756
104,104,4727
105,105,4697
106,106,4666
107,107,4635
108,108,4609
109,109,4575
110,110,4550
111,111,4519
112,112,4491
113,113,4463
114,114,4432
115,115,4402
116,116,4375
117,117,4347
118,118,4318
119,119,4288
120,120,4258
121,121,4231
122,122,4201
123,123,4178
124,124,4146
125,125,4117
126,126,4089
127,127,4064
128,128,4035
129,129,4010
130,130,3979
131,131,3949
132,132,3919
133,133,3896
134,134,3866
135,135,3836
136,136,3808
137,137,3782
138,138,3752
139,139,3726
140,140,3696
141,141,3671
142,142,3640
143,143,3614
144,144,3590
145,145,3563
146,146,3537
147,147,3515
148,148,3487
149,149,3466
150,150,3443
151,151,3415
152,152,3387
153,153,3360
154,154,3337
155,155,3312
156,156,3288
157,157,3258
158,158,3235
159,159,3208
160,160,3180
161,161,3151
162,162,3124
163,163,3100
164,164,3072
165,165,3050
166,166,3025
167,167,3003
168,168,2974
169,169,2951
170,170,2923
171,171,2897
172,172,2873
173,173,2852
174,174,2835
175,175,2811
176,176,2787
177,177,2766
178,178,2741
179,179,2719
180,180,2699
181,181,2674
182,182,2654
183,183,2633
184,184,2610
185,185,2591
186,186,2568
187,187,2547
188,188,2523
189,189,2504
190,190,2481
191,191,2461
192,192,2440
193,193,2419
194,194,2397
195,195,2374
196,196,2355
197,197,2334
198,198,2312
199,199,2289
200,200,2270
201,201,2246
202,202,2227
203,203,2205
204,204,2182
205,205,2164
206,206,2142
207,207,2120
208,208,2101
209,209,2079
210,210,2060
211,211,2039
212,212,2021
213,213,1997
214,214,1976
215,215,1959
216,216,1940
217,217,1918
218,218,1899
219,219,1877
220,220,1862
221,221,1841
222,222,1821
223,223,1805
224,224,1786
225,225,1766
226,226,1746
227,227,1728
228,228,1710
229,229,1693
230,230,1676
231,231,1657
232,232,1639
233,233,1623
234,234,1606
235,235,1588
236,236,1569
237,237,1554
238,238,1533
239,239,1517
240,240,1496
241,241,1480
242,242,1460
243,243,1443
244,244,1428
245,245,1412
246,246,1395
247,247,1376
248,248,1360
249,249,1345
250,250,1327
251,251,1311
252,252,1293
253,253,1276
254,254,1260
255,255,1242
256,256,1226
257,257,1209
258,258,1192
259,259,1176
260,260,1159
261,261,1142
262,262,1127
263,263,1109
264,264,1092
265,265,1074
266,266,1058
267,267,1041
268,268,1024
269,269,1007
270,270,991
271,271,976
272,272,958
273,273,943
274,274,928
275,275,913
276,276,900
277,277,885
278,278,874
279,279,860
280,280,844
281,281,831
282,282,819
283,283,808
284,284,793
285,285,780
286,286,767
287,287,756
288,288,746
289,289,733
290,290,725
291,291,713
292,292,701
293,293,689
294,294,679
295,295,667
296,296,655
297,297,644
298,298,637
299,299,624
300,300,613
301,301,603
302,302,592
303,303,582
304,304,572
305,305,560
306,306,550
307,307,541
308,308,529
309,309,518
310,310,507
311,311,494
312,312,485
313,313,476
314,314,464
315,315,453
316,316,443
317,317,435
318,318,427
319,319,418
320,320,411
321,321,406
322,321.9,400
