ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,165.001,137.421,202.264,305.852,248.266,184.678,0,85.8884,79.1125,1.92111
2,148.3,168.117,308.744,680.888,312.368,818.116,0,105.073,43.2268,1.4114
3,32.6001,33.6754,146.764,660.143,150.018,693.312,0,21.0471,11.553,1.54891
4,4.7,3.14689,603.198,811.794,605.976,812.78,0,1.9668,2.73319,2.38966
5,186.602,206.825,485.858,439.588,615.509,540.004,0,129.266,57.3363,1.44355
6,31.6001,39.4093,177.228,672.555,149.956,693.273,0,24.6308,6.96924,1.28295
7,58.8997,67.2826,562.248,782.831,611.168,754.802,0,42.0516,16.8481,1.40065
8,7.6,7.57293,360.535,180.118,355.85,174.236,0,4.73308,2.86691,1.60572
9,18.2,21.4512,260.058,203.659,252.399,183.987,0,13.407,4.79304,1.3575
10,90.3992,94.6902,365.973,200.914,349.538,174.565,0,59.1814,31.2178,1.52749
11,134.099,154.331,527.329,177.611,647.702,191.752,0,96.4566,37.6424,1.39025
12,36.3,44.5211,599.321,320.547,630.361,334.079,0,27.8257,8.47433,1.30455
13,24.7001,32.0124,175.361,624.853,144.806,615.954,0,20.0077,4.69232,1.23453
14,55.1997,47.1536,115.22,399.661,67.7059,405.459,0,29.471,25.7287,1.87302
15,232.605,168.435,503.955,200.292,356.127,173.557,0,105.272,127.333,2.20956
16,28.2001,28.7582,253.562,213.464,249.91,185.082,0,17.9739,10.2262,1.56895
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15,18.5382,404.915,96.4033,405.927,78.1308,0,11.5864,3.41366,1.29463
19,100.599,95.0603,168.288,534.019,139.65,611.218,0,59.4127,41.1864,1.69322
20,77.5994,83.9977,557.847,352.917,630.265,333.971,0,52.4985,25.1008,1.47812
21,112.499,138.987,531.258,188.603,647.578,191.968,0,86.8667,25.6321,1.29507
22,136.699,155.612,320.564,305.96,250.899,184.681,0,97.2574,39.4417,1.40554
23,325.111,231.986,423.164,613.997,596.235,614.775,1,144.991,180.12,2.24228
24,111.599,106.584,558.957,376.819,630.288,333.994,0,66.6152,44.9837,1.67528
25,138.199,182.224,482.236,698.3,612.07,752.572,0,113.89,24.3094,1.21345
26,136.399,118.638,257.389,632.895,144.772,615.944,0,74.1487,62.2504,1.83953
27,195.603,229.022,496.358,505.548,615.561,540.112,0,143.139,52.4637,1.36652
28,6,5.87026,605.919,752.248,611.573,753.828,0,3.66891,2.33108,1.63536
29,29.6001,30.3351,572.31,832.479,602.401,833.257,0,18.9594,10.6407,1.56123
30,161.001,128.499,510.94,653.921,613.328,612.417,0,80.3116,80.689,2.0047
31,47.7998,61.7472,596.22,229.778,648.379,198.123,0,38.592,9.20781,1.23859
32,264.607,224.655,393.289,338.21,349.907,174.792,0,140.41,124.197,1.88454
33,138.899,135.557,531.456,147.664,653.542,130.164,0,84.7229,54.1763,1.63945
34,163.001,142.723,277.441,644.519,144.714,615.593,0,89.2018,73.799,1.82733
35,156.4,133.998,298.569,295.744,250.429,184.876,0,83.749,72.6513,1.86749
36,127.299,124.245,276.222,297.235,249.848,185.146,0,77.6534,49.6452,1.63932
37,91.8992,87.5538,439.351,179,355.656,174.328,0,54.7211,37.178,1.67941
38,240.405,200.375,476.17,399.089,630.348,334.081,0,125.234,115.171,1.91965
39,106.599,109.506,204.268,562.487,144.71,615.572,0,68.4411,38.1579,1.55753
40,104.999,107.084,546.922,123.811,653.523,129.952,0,66.9275,38.0714,1.56885
41,45.1999,58.142,193.333,679.733,149.511,693.193,0,36.3388,8.86111,1.24385
42,285.408,208.09,498.021,539.339,613.286,612.547,0,130.056,155.352,2.1945
43,264.107,213.823,478.994,414.088,630.327,334.069,0,133.64,130.467,1.97626
44,236.305,180.824,213.373,438.762,67.831,405.318,0,113.015,123.29,2.09092
45,17,19.3449,151.972,674.273,149.751,693.274,0,12.0905,4.90949,1.40606
46,106.799,86.3944,541.832,635.338,613.293,613.065,0,53.9965,52.8024,1.97789
47,325.111,241.314,448.727,480.204,600.314,517.992,1,150.821,174.289,2.1556
48,230.905,223.27,352.225,360.52,349.771,174.708,0,139.544,91.3611,1.65471
49,130.299,127.549,536.159,152.806,653.467,129.95,0,79.718,50.5808,1.6345
50,245.906,206.477,248.069,416.615,67.7247,404.86,0,129.048,116.858,1.90554
51,143.3,142.283,265.274,657.145,144.844,616.144,0,88.9269,54.3727,1.61143
52,276.908,211.982,243.776,426.354,67.6517,405.466,0,132.489,144.419,2.09005
53,73.8994,81.797,583.226,187.694,648.463,190.88,0,51.1231,22.7763,1.44552
54,325.111,268.269,425.143,434.932,614.571,539.697,1,167.668,157.443,1.93902
55,45.1999,57.6791,554.379,758.105,611.158,754.92,0,36.0495,9.15042,1.25383
56,325.111,276.519,409.814,442.512,605.466,539.201,1,172.824,152.286,1.88116
57,169.301,139.919,293.245,300.333,250.406,184.909,0,87.4496,81.8515,1.93598
58,113.199,123.134,534.918,131.305,653.488,130.049,0,76.9589,36.2399,1.4709
59,64.1996,65.4705,589.296,661.625,613.244,613.033,0,40.9191,23.2805,1.56894
60,256.006,184.84,254.412,354.048,249.897,185.095,0,115.525,140.482,2.21603
61,138.499,183.778,534.368,303.723,647.983,197.995,0,114.861,23.638,1.2058
62,216.704,215.731,394.19,329.316,349.422,174.495,0,134.832,81.8723,1.60722
63,114.099,148.079,316.218,694.286,312.279,818.059,0,92.5491,21.5498,1.23285
64,6.4,7.0094,623.427,333.286,630.266,334.04,0,4.38087,2.01912,1.4609
65,122.699,167.067,533.965,288.049,647.979,197.75,0,104.417,18.2817,1.17508
66,195.003,206.151,253.598,501.43,139.95,611.05,0,128.845,66.1582,1.51347
67,104.399,116.709,362.946,234.946,350.034,174.792,0,72.9434,31.4556,1.43123
68,87.7992,116.186,320.509,712.769,312.329,818.136,0,72.6162,15.1831,1.20909
69,94.9991,122.574,351.188,703.579,312.552,817.967,0,76.6088,18.3903,1.24005
70,263.707,246.33,313.453,375.917,250.112,184.996,0,153.957,109.75,1.71287
71,304.209,321.061,389.963,442.229,349.893,174.791,0,200.663,103.546,1.51602
72,92.8992,119.628,583.294,278.677,647.955,198.02,0,74.7674,18.1317,1.24251
73,298.609,220.434,469.974,370.553,630.325,334.074,0,137.771,160.838,2.16743
74,241.606,203.681,278.878,372.073,249.916,185.101,0,127.301,114.305,1.89791
75,325.111,194.947,419.109,506.4,548.02,450.028,1,121.842,203.269,2.6683
76,103.299,98.0703,264.427,280.216,249.915,185.12,0,61.2939,42.0051,1.68531
77,325.111,230.159,444.894,487.243,595.123,495.204,1,143.849,181.261,2.26008
78,82.3993,101.029,241.075,626.022,144.79,616.11,0,63.1432,19.2561,1.30496
79,17.6,19.0993,595.573,614.719,613.208,612.803,0,11.9371,5.66296,1.4744
80,325.111,263.786,580.665,537.511,575.532,545.459,1,164.866,160.244,1.97196
81,122.499,135.095,313.409,283.318,250.101,185.031,0,84.4346,38.0641,1.45081
82,262.507,280.465,357.058,556.778,144.756,616.175,0,175.291,87.2159,1.49755
83,231.605,199.66,500.875,576.73,613.343,613.124,0,124.787,106.818,1.856
84,152.2,130.649,211.434,306.944,248.151,184.698,0,81.6555,70.5446,1.86393
85,108.099,110.989,306.952,248.128,349.791,174.708,0,69.3682,38.7307,1.55834
86,70.9995,78.9632,357.256,195.594,349.762,174.719,0,49.352,21.6475,1.43864
87,87.7992,89.183,572.956,674.689,613.319,613.124,0,55.7394,32.0598,1.57517
88,50.7998,58.5629,569.849,780.52,611.214,754.834,0,36.6018,14.198,1.3879
89,95.4991,114.716,573.006,442.172,615.585,540.237,0,71.6977,23.8014,1.33197
90,90.1992,109.428,87.8419,472.994,67.7855,405.207,0,68.3922,21.807,1.31885
91,185.702,153.521,205.337,317.948,248.521,184.821,0,95.9505,89.7517,1.9354
92,86.5993,92.7839,304.247,230.096,349.731,174.658,0,57.9899,28.6093,1.49335
