ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,165.801,137.994,202.264,305.852,248.059,184.697,0,86.2463,79.5546,1.92241
2,142.199,166.579,308.744,680.888,312.292,818.061,0,104.112,38.0876,1.36583
3,32.6001,33.6774,146.764,660.143,150.018,693.313,0,21.0483,11.5517,1.54882
4,4.7,3.14689,603.198,811.794,605.976,812.78,0,1.9668,2.73319,2.38966
5,200.103,204.854,485.858,439.588,615.502,539.93,0,128.034,72.0691,1.56289
6,31.6001,39.4093,177.228,672.555,149.957,693.273,0,24.6308,6.96924,1.28295
7,59.0997,67.4332,562.248,782.831,611.164,754.809,0,42.1457,16.9539,1.40227
8,7.6,7.57293,360.535,180.118,355.85,174.236,0,4.73308,2.86691,1.60572
9,18.2,21.4331,260.058,203.659,252.405,184.019,0,13.3957,4.80432,1.35865
10,84.2993,93.9332,365.973,200.914,350.001,174.779,0,58.7082,25.591,1.4359
11,126.199,152.172,527.329,177.611,647.664,191.76,0,95.1078,31.0908,1.3269
12,36.3,44.5209,599.321,320.547,630.361,334.079,0,27.8256,8.47443,1.30456
13,24.7001,32.0124,175.361,624.853,144.806,615.954,0,20.0078,4.69229,1.23452
14,55.3997,47.1381,115.22,399.661,67.7913,405.435,0,29.4613,25.9384,1.88042
15,218.104,171.712,503.955,200.292,356.137,173.538,0,107.32,110.784,2.03228
16,28.2001,28.7546,253.562,213.464,249.911,185.083,0,17.9716,10.2284,1.56914
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15,18.5382,404.915,96.4033,405.927,78.1308,0,11.5864,3.41366,1.29463
19,100.699,94.9286,168.288,534.019,139.653,611.179,0,59.3304,41.3686,1.69726
20,77.8994,84.0793,557.847,352.917,630.28,334.037,0,52.5496,25.3498,1.4824
21,111.899,139.43,531.258,188.603,647.602,191.939,0,87.1435,24.7553,1.28408
22,153.2,155.515,320.564,305.96,250.792,184.682,0,97.1966,56.0036,1.57619
23,322.01,235.629,423.164,613.997,595.238,613.069,1,147.268,174.742,2.18656
24,108.799,107.217,558.957,376.819,630.303,333.882,0,67.0108,41.7881,1.6236
25,139.699,182.585,482.236,698.3,612.294,752.338,0,114.116,25.5837,1.22419
26,123.699,114.563,257.389,632.895,144.756,615.841,0,71.6016,52.0971,1.7276
27,200.703,229.393,496.358,505.548,615.495,540,0,143.37,57.3326,1.39989
28,6,5.87026,605.919,752.248,611.573,753.828,0,3.66891,2.33108,1.63536
29,29.6001,30.3363,572.31,832.479,602.403,833.262,0,18.9602,10.6399,1.56117
