step,time,alive
0,0,7904
1,1,7891
2,2,7870
3,3,7851
4,4,7824
5,5,7799
6,6,7769
7,7,7738
8,8,7713
9,9,7680
10,10,7653
11,11,7621
12,12,7597
13,13,7567
14,14,7540
15,15,7508
16,16,7476
17,17,7450
18,18,7415
19,19,7383
20,20,7347
21,21,7316
22,22,7285
23,23,7250
24,24,7216
25,25,7177
26,26,7144
27,27,7111
28,28,7074
29,29,7035
30,30,7003
31,31,6963
32,32,6936
33,33,6898
34,34,6865
35,35,6824
36,36,6790
37,37,6756
38,38,6719
39,39,6686
40,40,6652
41,41,6616
42,42,6582
43,43,6544
44,44,6511
45,45,6477
46,46,6439
47,47,6397
48,48,6367
49,49,6332
50,50,6296
51,51,6260
52,52,6227
53,53,6195
54,54,6166
55,55,6136
56,56,6104
57,57,6073
58,58,6040
59,59,6010
60,60,5974
61,61,5939
62,62,5908
63,63,5873
64,64,5844
65,65,5810
66,66,5780
67,67,5749
68,68,5719
69,69,5687
70,70,5660
71,71,5631
72,72,5601
73,73,5570
74,74,5535
75,75,5507
76,76,5473
77,77,5444
78,78,5409
79,79,5377
80,80,5344
81,81,5312
82,82,5281
83,83,5252
84,84,5221
85,85,5187
86,86,5158
87,87,5129
88,88,5096
89,89,5063
90,90,5034
91,91,5002
92,92,4970
93,93,4936
94,94,4905
95,95,4875
96,96,4841
97,97,4807
98,98,4773
99,99,4744
100,100,4714
101,101,4680
102,102,4644
103,103,4613
104,104,4583
105,105,4551
106,106,4519
107,107,4489
108,108,4457
109,109,4423
110,110,4395
111,111,4362
112,112,4331
113,113,4297
114,114,4267
115,115,4242
116,116,4206
117,117,4176
118,118,4144
119,119,4113
120,120,4087
121,121,4057
122,122,4027
123,123,3998
124,124,3968
125,125,3937
126,126,3909
127,127,3876
128,128,3843
129,129,3815
130,130,3787
131,131,3760
132,132,3725
133,133,3695
134,134,3671
135,135,3641
136,136,3609
137,137,3580
138,138,3550
139,139,3523
140,140,3493
141,141,3463
142,142,3437
143,143,3410
144,144,3381
145,145,3356
146,146,3323
147,147,3294
148,148,3270
149,149,3238
150,150,3215
151,151,3188
152,152,3157
153,153,3132
154,154,3105
155,155,3077
156,156,3045
157,157,3018
158,158,2993
159,159,2966
160,160,2941
161,161,2913
162,162,2885
163,163,2860
164,164,2834
165,165,2810
166,166,2783
167,167,2759
168,168,2735
169,169,2712
170,170,2687
171,171,2663
172,172,2643
173,173,2616
174,174,2592
175,175,2572
176,176,2547
177,177,2521
178,178,2499
179,179,2475
180,180,2450
181,181,2426
182,182,2403
183,183,2378
184,184,2358
185,185,2336
186,186,2313
187,187,2292
188,188,2267
189,189,2245
190,190,2226
191,191,2199
192,192,2176
193,193,2154
194,194,2130
195,195,2106
196,196,2083
197,197,2062
198,198,2041
199,199,2020
200,200,1997
201,201,1973
202,202,1951
203,203,1929
204,204,1911
205,205,1890
206,206,1872
207,207,1850
208,208,1830
209,209,1811
210,210,1792
211,211,1773
212,212,1752
213,213,1731
214,214,1711
215,215,1692
216,216,1675
217,217,1654
218,218,1634
219,219,1614
220,220,1595
221,221,1578
222,222,1557
223,223,1541
224,224,1519
225,225,1499
226,226,1480
227,227,1461
228,228,1441
229,229,1420
230,230,1401
231,231,1382
232,232,1363
233,233,1345
234,234,1327
235,235,1307
236,236,1288
237,237,1271
238,238,1251
239,239,1231
240,240,1213
241,241,1193
242,242,1178
243,243,1156
244,244,1138
245,245,1119
246,246,1104
247,247,1086
248,248,1064
249,249,1045
250,250,1028
251,251,1010
252,252,989
253,253,970
254,254,955
255,255,935
256,256,918
257,257,901
258,258,883
259,259,867
260,260,850
261,261,836
262,262,821
263,263,804
264,264,789
265,265,772
266,266,757
267,267,744
268,268,732
269,269,718
270,270,708
271,271,696
272,272,681
273,273,670
274,274,657
275,275,642
276,276,632
277,277,619
278,278,609
279,279,600
280,280,587
281,281,577
282,282,564
283,283,553
284,284,543
285,285,531
286,286,518
287,287,508
288,288,498
289,289,487
290,290,476
291,291,464
292,292,454
293,293,440
294,294,429
295,295,418
296,296,409
297,297,400
