step,time,alive
0,0,7904
1,1,7891
2,2,7873
3,3,7851
4,4,7826
5,5,7805
6,6,7776
7,7,7749
8,8,7718
9,9,7689
10,10,7662
11,11,7640
12,12,7612
13,13,7591
14,14,7561
15,15,7535
16,16,7507
17,17,7476
18,18,7444
19,19,7414
20,20,7384
21,21,7357
22,22,7327
23,23,7296
24,24,7262
25,25,7233
26,26,7199
27,27,7171
28,28,7136
29,29,7103
30,30,7072
31,31,7040
32,32,7009
33,33,6978
34,34,6945
35,35,6910
36,36,6880
37,37,6849
38,38,6821
39,39,6782
40,40,6756
41,41,6724
42,42,6690
43,43,6661
44,44,6632
45,45,6600
46,46,6570
47,47,6540
48,48,6509
49,49,6478
50,50,6451
51,51,6419
52,52,6387
53,53,6358
54,54,6327
55,55,6297
56,56,6262
57,57,6234
58,58,6204
59,59,6178
60,60,6142
61,61,6115
62,62,6092
63,63,6063
64,64,6038
65,65,6011
66,66,5988
67,67,5960
68,68,5935
69,69,5909
70,70,5882
71,71,5853
72,72,5832
73,73,5804
74,74,5782
75,75,5751
76,76,5727
77,77,5699
78,78,5675
79,79,5648
80,80,5623
81,81,5601
82,82,5571
83,83,5548
84,84,5523
85,85,5497
86,86,5474
87,87,5450
88,88,5425
89,89,5398
90,90,5374
91,91,5351
92,92,5322
93,93,5301
94,94,5273
95,95,5246
96,96,5223
97,97,5202
98,98,5178
99,99,5150
100,100,5124
101,101,5102
102,102,5079
103,103,5051
104,104,5028
105,105,5007
106,106,4978
107,107,4954
108,108,4930
109,109,4903
110,110,4880
111,111,4856
112,112,4831
113,113,4811
114,114,4779
115,115,4755
116,116,4733
117,117,4711
118,118,4685
119,119,4661
120,120,4637
121,121,4613
122,122,4585
123,123,4562
124,124,4535
125,125,4514
126,126,4487
127,127,4469
128,128,4442
129,129,4415
130,130,4391
131,131,4367
132,132,4341
133,133,4315
134,134,4287
135,135,4265
136,136,4239
137,137,4212
138,138,4190
139,139,4164
140,140,4137
141,141,4110
142,142,4084
143,143,4058
144,144,4038
145,145,4006
146,146,3988
147,147,3957
148,148,3934
149,149,3910
150,150,3886
151,151,3862
152,152,3835
153,153,3813
154,154,3792
155,155,3768
156,156,3747
157,157,3720
158,158,3699
159,159,3674
160,160,3651
161,161,3626
162,162,3604
163,163,3583
164,164,3560
165,165,3539
166,166,3516
167,167,3494
168,168,3471
169,169,3450
170,170,3432
171,171,3405
172,172,3384
173,173,3362
174,174,3341
175,175,3317
176,176,3295
177,177,3277
178,178,3255
179,179,3233
180,180,3210
181,181,3192
182,182,3169
183,183,3147
184,184,3125
185,185,3106
186,186,3088
187,187,3066
188,188,3051
189,189,3032
190,190,3016
191,191,2997
192,192,2978
193,193,2963
194,194,2943
195,195,2928
196,196,2909
197,197,2893
198,198,2876
199,199,2860
200,200,2842
201,201,2825
202,202,2806
203,203,2790
204,204,2772
205,205,2752
206,206,2736
207,207,2719
208,208,2700
209,209,2680
210,210,2668
211,211,2649
212,212,2630
213,213,2613
214,214,2595
215,215,2578
216,216,2562
217,217,2546
218,218,2526
219,219,2509
220,220,2494
221,221,2474
222,222,2456
223,223,2440
224,224,2422
225,225,2407
226,226,2387
227,227,2370
228,228,2355
229,229,2335
230,230,2318
231,231,2301
232,232,2284
233,233,2268
234,234,2248
235,235,2232
236,236,2218
237,237,2200
238,238,2183
239,239,2164
240,240,2148
241,241,2130
242,242,2112
243,243,2098
244,244,2078
245,245,2059
246,246,2043
247,247,2027
248,248,2010
249,249,1994
250,250,1978
251,251,1963
252,252,1948
253,253,1934
254,254,1917
255,255,1900
256,256,1882
257,257,1868
258,258,1853
259,259,1838
260,260,1820
261,261,1805
262,262,1794
263,263,1778
264,264,1765
265,265,1748
266,266,1733
267,267,1719
268,268,1701
269,269,1688
270,270,1676
271,271,1656
272,272,1643
273,273,1629
274,274,1612
275,275,1596
276,276,1585
277,277,1569
278,278,1555
279,279,1542
280,280,1530
281,281,1515
282,282,1498
283,283,1485
284,284,1472
285,285,1458
286,286,1444
287,287,1432
288,288,1417
289,289,1404
290,290,1390
291,291,1377
292,292,1363
293,293,1348
294,294,1338
295,295,1324
296,296,1313
297,297,1302
298,298,1288
299,299,1278
300,300,1267
301,301,1254
302,302,1242
303,303,1227
304,304,1219
305,305,1207
306,306,1196
307,307,1186
308,308,1175
309,309,1163
310,310,1154
311,311,1142
312,312,1134
313,313,1124
314,314,1114
315,315,1102
316,316,1094
317,317,1083
318,318,1073
319,319,1061
320,320,1052
321,321,1042
322,322,1034
323,323,1022
324,324,1011
325,325,1000
326,326,989
327,327,979
328,328,970
329,329,959
330,330,949
331,331,936
332,332,928
333,333,917
334,334,905
335,335,897
336,336,886
337,337,876
338,338,866
339,339,857
340,340,847
341,341,835
342,342,828
343,343,818
344,344,811
345,345,801
346,346,794
347,347,787
348,348,776
349,349,767
350,350,759
351,351,750
352,352,741
353,353,731
354,354,723
355,355,716
356,356,708
357,357,699
358,358,689
359,359,680
360,360,672
361,361,664
362,362,655
363,363,646
364,364,636
365,365,629
366,366,618
367,367,608
368,368,600
369,369,591
370,370,584
371,371,575
372,372,567
373,373,559
374,374,550
375,375,543
376,376,536
377,377,529
378,378,523
379,379,517
380,380,511
381,381,507
382,382,500
383,383,495
384,384,490
385,385,485
386,386,479
387,387,477
388,388,468
389,389,464
390,390,460
391,391,453
392,392,449
393,393,443
394,394,439
395,395,435
396,396,429
397,397,423
398,398,419
399,399,415
400,400,410
401,401,405
402,402,401
403,402.2,400
