ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,191.803,136.837,202.264,305.852,248.832,185.017,0,85.5232,106.279,2.2427
2,153,166.507,308.744,680.888,312.132,818.219,0,104.067,48.9336,1.47021
3,33.2001,33.4982,146.764,660.143,149.774,693.174,0,20.9364,12.2637,1.58576
4,5,3.17444,603.198,811.794,606.024,812.722,0,1.98403,3.01597,2.52013
5,241.306,207.829,485.858,439.588,615.56,539.656,0,129.893,111.412,1.85772
6,32.4001,39.369,177.228,672.555,149.903,693.244,0,24.6056,7.79446,1.31678
7,60.2997,67.1809,562.248,782.831,611.147,754.956,0,41.988,18.3116,1.43611
8,7.99999,7.70305,360.535,180.118,355.837,174.069,0,4.81441,3.18559,1.66168
9,18.5,21.3165,260.058,203.659,252.314,184.066,0,13.3228,5.17721,1.3886
10,96.1991,91.4517,365.973,200.914,349.494,174.606,0,57.1573,39.0418,1.68306
11,136.399,153.197,527.329,177.611,648.233,190.901,0,95.7483,40.6508,1.42456
12,36.8,44.2874,599.321,320.547,630.315,334.133,0,27.6796,9.12038,1.3295
13,25.0001,31.9167,175.361,624.853,144.645,616.277,0,19.9479,5.05213,1.25327
14,59.2997,48.5249,115.22,399.661,67.6514,404.795,0,30.3281,28.9716,1.95527
15,287.308,170.584,503.955,200.292,356.163,173.358,0,106.615,180.693,2.69482
16,28.3001,29.14,253.562,213.464,249.918,185.068,0,18.2125,10.0876,1.55388
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.6,18.4323,404.915,96.4033,405.836,78.2324,0,11.5202,4.07981,1.35414
19,117.799,95.4126,168.288,534.019,140.067,611.11,0,59.6329,58.1659,1.9754
20,82.7993,83.1233,557.847,352.917,630.26,334.085,0,51.952,30.8473,1.59376
21,115.099,138.964,531.258,188.603,647.886,191.661,0,86.8527,28.2461,1.32522
22,147.6,155.361,320.564,305.96,251.535,184.427,0,97.1005,50.4993,1.52007
23,402.315,228.012,423.164,613.997,597.359,614.007,1,142.507,259.808,2.82312
24,124.899,107.018,558.957,376.819,630.343,334.084,0,66.8865,58.0122,1.86732
25,155.1,183.135,482.236,698.3,612.065,752.772,0,114.46,40.6406,1.35506
26,139.099,114.106,257.389,632.895,144.682,615.696,0,71.3163,67.783,1.95045
27,238.405,226.957,496.358,505.548,615.55,540.179,0,141.848,96.5572,1.68071
28,6.1,5.94171,605.919,752.248,611.659,753.785,0,3.71357,2.38642,1.64262
